      Step     Time          Energy         fmax
BFGS:    0 03:38:11     -255.060559        0.8811
BFGS:    1 05:20:41     -255.042808        2.2260
BFGS:    2 06:27:45     -255.063920        0.1317
BFGS:    3 06:46:23     -255.064558        0.0781
BFGS:    4 07:23:16     -255.068655        0.4403
BFGS:    5 08:01:10     -255.071889        0.4308
BFGS:    6 08:39:45     -255.074417        0.2342
BFGS:    7 09:12:44     -255.075274        0.0848
BFGS:    8 10:03:05     -255.075693        0.1095
BFGS:    9 11:31:17     -255.076325        0.2093
BFGS:   10 12:45:20     -255.076722        0.1644
BFGS:   11 14:01:25     -255.077327        0.0859
BFGS:   12 15:13:16     -255.077803        0.0964
BFGS:   13 16:36:13     -255.078406        0.1342
BFGS:   14 18:34:39     -255.079832        0.1560
BFGS:   15 20:35:37     -255.082018        0.1771
BFGS:   16 22:46:58     -255.080404        0.6099
BFGS:   17 00:41:09     -255.082433        0.2979
BFGS:   18 02:02:25     -255.082627        0.1708
BFGS:   19 03:17:44     -255.083038        0.2084
BFGS:   20 04:44:37     -255.083519        0.2122
BFGS:   21 06:34:06     -255.084209        0.1606
BFGS:   22 07:36:02     -255.084473        0.1160
BFGS:   23 08:57:21     -255.085078        0.1098
BFGS:   24 09:55:38     -255.085348        0.1669
BFGS:   25 11:07:01     -255.085544        0.1946
BFGS:   26 12:08:33     -255.085789        0.1687
BFGS:   27 14:19:51     -255.086636        0.0849
BFGS:   28 16:45:22     -255.087065        0.5681
BFGS:   29 18:22:38     -255.087989        0.2881
BFGS:   30 20:48:01     -255.087489        0.0728
BFGS:   31 22:46:31     -255.088801        0.1063
BFGS:   32 00:34:47     -255.089267        0.1610
BFGS:   33 02:47:30     -255.090332        0.4756
BFGS:   34 04:22:34     -255.090732        0.0887
BFGS:   35 06:07:53     -255.091232        0.0535
BFGS:   36 07:08:25     -255.091399        0.0675
BFGS:   37 08:05:29     -255.091599        0.0649
BFGS:   38 08:59:33     -255.091723        0.0282
