      Step     Time          Energy         fmax
BFGS:    0 01:43:16     -255.060543        0.8835
BFGS:    1 04:36:20     -255.042586        2.2373
BFGS:    2 05:41:04     -255.063927        0.1299
BFGS:    3 05:59:43     -255.064559        0.0782
BFGS:    4 06:37:22     -255.068584        0.4318
BFGS:    5 07:20:31     -255.071868        0.4328
BFGS:    6 07:59:51     -255.074391        0.2336
BFGS:    7 08:27:57     -255.075239        0.0858
BFGS:    8 08:45:43     -255.075713        0.1247
BFGS:    9 09:09:52     -255.076333        0.2209
BFGS:   10 10:10:03     -255.076810        0.1865
BFGS:   11 11:28:19     -255.077448        0.0923
BFGS:   12 12:36:37     -255.077991        0.0928
BFGS:   13 13:49:38     -255.078574        0.1429
BFGS:   14 15:21:03     -255.079495        0.1398
BFGS:   15 17:37:11     -255.081211        0.1548
BFGS:   16 19:27:02     -255.080728        0.2668
BFGS:   17 21:01:52     -255.082357        0.1650
BFGS:   18 22:09:35     -255.082721        0.1156
BFGS:   19 23:22:34     -255.083431        0.0993
BFGS:   20 01:04:48     -255.084449        0.0850
BFGS:   21 02:13:50     -255.084741        0.0681
BFGS:   22 04:07:19     -255.085063        0.1146
BFGS:   23 05:23:26     -255.085361        0.0968
BFGS:   24 06:52:07     -255.085552        0.0617
BFGS:   25 08:00:02     -255.085865        0.0653
BFGS:   26 09:22:28     -255.086249        0.0547
BFGS:   27 10:19:06     -255.086505        0.0512
BFGS:   28 11:58:52     -255.087134        0.0975
BFGS:   29 14:00:19     -255.087726        0.1673
BFGS:   30 16:31:58     -255.086940        0.4663
BFGS:   31 18:32:29     -255.079493        0.7826
BFGS:   32 20:47:18     -255.087661        0.7153
BFGS:   33 23:03:41     -255.090250        0.2103
BFGS:   34 00:10:17     -255.090624        0.0886
BFGS:   35 01:16:00     -255.090955        0.0420
