      Step     Time          Energy         fmax
BFGS:    0 15:25:37     -252.223337       11.8558
BFGS:    1 18:18:15     -252.886583        5.0633
BFGS:    2 20:34:21     -253.325305        3.6300
BFGS:    3 22:51:32     -253.702888        3.0072
BFGS:    4 00:31:10     -253.990357        2.7713
BFGS:    5 02:20:58     -254.224138        2.6550
BFGS:    6 04:07:32     -254.421545        2.5633
BFGS:    7 05:42:11     -254.595698        2.4675
BFGS:    8 07:18:13     -254.752389        2.3125
BFGS:    9 08:53:09     -254.897546        2.2395
BFGS:   10 10:30:49     -255.029681        2.1229
BFGS:   11 12:03:33     -255.151047        1.9234
BFGS:   12 13:39:21     -255.264409        1.8928
BFGS:   13 15:16:37     -255.370043        1.9855
BFGS:   14 16:51:37     -255.464943        1.9897
BFGS:   15 18:28:41     -255.551569        1.9569
BFGS:   16 20:06:06     -255.630542        1.9222
BFGS:   17 21:45:55     -255.701181        1.8287
BFGS:   18 23:27:26     -255.764821        1.7545
BFGS:   19 00:58:08     -255.822577        1.6145
BFGS:   20 02:36:02     -255.872608        1.4509
BFGS:   21 04:20:21     -255.918895        1.2555
BFGS:   22 06:06:12     -255.960947        1.0743
BFGS:   23 07:51:34     -256.002011        0.8264
BFGS:   24 09:33:49     -256.041298        0.6992
BFGS:   25 11:13:50     -256.085441        0.7245
BFGS:   26 12:58:54     -256.131781        0.7464
BFGS:   27 14:38:37     -256.175513        0.7305
BFGS:   28 16:16:43     -256.221855        0.7093
BFGS:   29 17:52:07     -256.268363        0.8588
BFGS:   30 19:32:42     -256.314446        0.9411
BFGS:   31 21:05:28     -256.354575        1.1008
BFGS:   32 22:45:03     -256.396904        1.1729
BFGS:   33 00:22:03     -256.436367        1.1583
BFGS:   34 02:04:21     -256.474109        1.0828
BFGS:   35 02:44:53     -256.509567        0.8302
BFGS:   36 03:17:40     -256.533639        0.6850
BFGS:   37 03:50:27     -256.565422        0.5437
BFGS:   38 04:22:22     -256.587604        0.4712
BFGS:   39 04:47:38     -256.599469        0.4079
BFGS:   40 05:22:53     -256.623991        0.4349
BFGS:   41 05:53:59     -256.641878        0.4769
BFGS:   42 06:26:45     -256.658816        0.3874
BFGS:   43 06:57:53     -256.673193        0.4397
BFGS:   44 07:27:21     -256.686964        0.5098
BFGS:   45 08:21:28     -256.705038        0.7080
BFGS:   46 09:48:10     -256.723293        0.7958
BFGS:   47 11:13:16     -256.739635        0.7850
BFGS:   48 12:41:44     -256.758522        0.7270
BFGS:   49 14:10:04     -256.774524        0.6292
BFGS:   50 15:48:29     -256.788782        0.4135
BFGS:   51 17:16:19     -256.799460        0.3977
BFGS:   52 18:36:44     -256.809777        0.3411
BFGS:   53 20:08:41     -256.825805        0.4984
BFGS:   54 21:41:19     -256.846672        0.6039
BFGS:   55 23:08:23     -256.863419        0.6247
BFGS:   56 00:38:13     -256.879399        0.6739
BFGS:   57 02:01:06     -256.899654        0.7412
BFGS:   58 03:31:46     -256.919423        0.7605
BFGS:   59 04:50:58     -256.936942        0.7656
BFGS:   60 06:15:24     -256.959624        0.6920
BFGS:   61 07:45:15     -256.979180        0.5470
BFGS:   62 09:12:14     -256.993657        0.3672
BFGS:   63 10:41:50     -257.005533        0.3662
BFGS:   64 12:02:33     -257.013977        0.3466
BFGS:   65 13:37:49     -257.035276        0.4338
BFGS:   66 15:24:47     -257.061977        0.5897
BFGS:   67 17:10:14     -257.085050        0.6537
BFGS:   68 18:50:16     -257.107245        0.6427
BFGS:   69 20:25:56     -257.130171        0.5851
BFGS:   70 22:03:50     -257.150615        0.4484
BFGS:   71 23:35:58     -257.168342        0.2722
BFGS:   72 00:57:41     -257.179072        0.2347
BFGS:   73 02:24:58     -257.188518        0.2868
BFGS:   74 03:44:08     -257.201047        0.4469
BFGS:   75 05:03:33     -257.213453        0.4900
BFGS:   76 06:26:00     -257.227708        0.4175
BFGS:   77 07:46:17     -257.237799        0.3333
BFGS:   78 09:06:05     -257.248092        0.3459
BFGS:   79 10:27:24     -257.258116        0.3818
BFGS:   80 11:44:53     -257.268611        0.3909
BFGS:   81 13:07:58     -257.280443        0.3986
BFGS:   82 14:35:55     -257.294743        0.4173
BFGS:   83 15:52:05     -257.308210        0.4374
BFGS:   84 17:13:35     -257.321160        0.4731
BFGS:   85 18:36:12     -257.340791        0.4916
BFGS:   86 20:01:11     -257.357519        0.4769
BFGS:   87 21:28:29     -257.377447        0.4477
BFGS:   88 22:50:43     -257.397533        0.3575
BFGS:   89 23:32:52     -257.412263        0.3805
BFGS:   90 00:01:43     -257.428081        0.3401
BFGS:   91 00:28:47     -257.442479        0.3521
BFGS:   92 00:57:25     -257.452969        0.2736
BFGS:   93 02:01:04     -257.459560        0.2634
BFGS:   94 03:18:23     -257.468007        0.2604
BFGS:   95 04:35:31     -257.475497        0.3176
BFGS:   96 05:50:29     -257.485015        0.3259
BFGS:   97 07:05:36     -257.492387        0.3300
