      Step     Time          Energy         fmax
BFGS:    0 07:32:47     -251.518545       12.1144
BFGS:    1 10:25:13     -252.186089        6.6271
BFGS:    2 12:48:41     -252.695092        5.2552
BFGS:    3 14:59:56     -253.079092        3.9844
BFGS:    4 17:00:52     -253.373072        2.7457
BFGS:    5 18:49:02     -253.604879        1.7317
BFGS:    6 20:35:54     -253.782520        1.0392
BFGS:    7 22:18:01     -253.914006        0.9582
BFGS:    8 00:05:05     -254.009069        1.0976
BFGS:    9 01:46:31     -254.068808        1.0124
BFGS:   10 02:27:39     -254.113342        0.7715
BFGS:   11 03:07:53     -254.149638        0.6528
BFGS:   12 03:51:29     -254.173658        0.8628
BFGS:   13 04:24:58     -254.189109        0.7444
BFGS:   14 05:09:18     -254.224955        1.1467
BFGS:   15 05:48:47     -254.257159        1.3746
BFGS:   16 06:24:03     -254.291655        1.4660
BFGS:   17 06:59:15     -254.327232        1.5195
BFGS:   18 07:33:37     -254.364171        1.4869
BFGS:   19 08:07:09     -254.403492        1.3742
BFGS:   20 09:34:20     -254.437673        1.2945
BFGS:   21 11:12:26     -254.473021        1.1648
BFGS:   22 12:44:45     -254.506552        1.1093
BFGS:   23 14:20:17     -254.539786        1.0521
BFGS:   24 15:59:18     -254.569000        0.9208
BFGS:   25 17:27:25     -254.600234        0.8355
BFGS:   26 18:58:18     -254.625464        0.6848
BFGS:   27 20:33:38     -254.652935        0.6682
BFGS:   28 22:22:49     -254.676543        0.6150
BFGS:   29 00:07:46     -254.702016        0.6273
BFGS:   30 01:59:23     -254.726461        0.6493
BFGS:   31 04:07:55     -254.752897        0.6176
BFGS:   32 06:33:43     -254.777342        0.6552
BFGS:   33 08:42:11     -254.803109        0.6843
BFGS:   34 10:47:33     -254.825699        0.6779
BFGS:   35 12:41:36     -254.850962        0.7452
BFGS:   36 14:32:55     -254.875110        1.0255
BFGS:   37 16:24:06     -254.900875        1.1802
BFGS:   38 18:21:07     -254.925607        1.4367
BFGS:   39 20:21:11     -254.966982        1.3706
BFGS:   40 22:06:18     -254.995167        1.3803
BFGS:   41 23:48:29     -255.020693        1.2839
BFGS:   42 01:25:09     -255.044846        0.9749
BFGS:   43 04:03:45     -255.064336        0.9244
BFGS:   44 05:39:06     -255.083585        0.8189
BFGS:   45 07:21:08     -255.098562        0.7405
BFGS:   46 09:08:46     -255.116135        0.6651
BFGS:   47 11:03:39     -255.136078        0.5619
BFGS:   48 13:00:32     -255.163297        0.6994
BFGS:   49 14:38:01     -255.192343        0.8054
BFGS:   50 16:15:48     -255.221943        0.8165
BFGS:   51 18:03:10     -255.257545        0.9734
BFGS:   52 19:42:35     -255.286179        1.1051
BFGS:   53 21:28:32     -255.317551        1.2924
BFGS:   54 23:06:08     -255.351181        1.4673
BFGS:   55 00:38:18     -255.382217        1.6261
BFGS:   56 02:10:00     -255.424634        1.7280
BFGS:   57 03:42:17     -255.492784        1.6284
BFGS:   58 05:31:09     -255.563896        1.1793
BFGS:   59 07:04:58     -255.607350        1.0187
BFGS:   60 09:00:52     -255.632290        0.4815
BFGS:   61 10:29:13     -255.647430        0.3663
BFGS:   62 11:57:35     -255.657188        0.5100
BFGS:   63 13:07:09     -255.663922        0.4809
BFGS:   64 14:30:36     -255.680414        0.3940
BFGS:   65 16:14:06     -255.693116        0.3289
BFGS:   66 17:48:06     -255.700969        0.2991
BFGS:   67 18:59:17     -255.707195        0.2885
BFGS:   68 20:32:39     -255.716243        0.2143
BFGS:   69 21:36:52     -255.719030        0.1720
BFGS:   70 22:48:29     -255.723897        0.1927
BFGS:   71 23:58:06     -255.727537        0.1537
BFGS:   72 01:11:06     -255.729638        0.1208
BFGS:   73 02:37:01     -255.731567        0.2224
BFGS:   74 03:35:39     -255.733478        0.1723
BFGS:   75 04:58:43     -255.738436        0.0887
BFGS:   76 06:13:56     -255.739649        0.0813
BFGS:   77 07:25:40     -255.740489        0.0911
BFGS:   78 08:58:47     -255.741007        0.1458
BFGS:   79 10:01:21     -255.741757        0.1468
BFGS:   80 11:31:57     -255.741935        0.1334
BFGS:   81 12:56:16     -255.743830        0.1059
BFGS:   82 14:21:31     -255.744994        0.1682
BFGS:   83 16:04:17     -255.748963        0.1349
BFGS:   84 17:51:06     -255.747924        0.1525
BFGS:   85 19:22:54     -255.749982        0.1326
BFGS:   86 20:51:24     -255.749634        0.0720
BFGS:   87 22:06:03     -255.750475        0.0695
BFGS:   88 23:49:20     -255.749502        0.0744
BFGS:   89 01:09:41     -255.750932        0.0683
BFGS:   90 02:56:33     -255.750206        0.0640
BFGS:   91 04:18:10     -255.750956        0.0341
