      Step     Time          Energy         fmax
BFGS:    0 15:59:45     -250.964108       12.2634
BFGS:    1 19:15:04     -251.737749        6.2586
BFGS:    2 21:51:54     -252.234112        4.8255
BFGS:    3 00:22:31     -252.732129        3.8629
BFGS:    4 02:41:44     -253.172658        3.3906
BFGS:    5 05:17:47     -253.555284        2.9992
BFGS:    6 07:14:36     -253.897483        2.6973
BFGS:    7 09:13:51     -254.204543        2.3796
BFGS:    8 11:05:21     -254.482918        2.2102
BFGS:    9 12:43:05     -254.732819        2.2928
BFGS:   10 14:31:15     -254.960621        2.3166
BFGS:   11 16:14:16     -255.163008        2.2107
BFGS:   12 17:51:43     -255.339156        2.0764
BFGS:   13 19:31:42     -255.490343        1.8295
BFGS:   14 21:01:53     -255.613149        1.5981
BFGS:   15 22:33:39     -255.702808        1.2365
BFGS:   16 00:16:44     -255.755856        0.6758
BFGS:   17 02:11:10     -255.777098        0.4024
BFGS:   18 03:37:46     -255.787250        0.3639
BFGS:   19 04:14:54     -255.813946        0.4039
BFGS:   20 04:46:46     -255.827135        0.3976
BFGS:   21 05:19:32     -255.836774        0.3106
BFGS:   22 05:49:48     -255.844006        0.3101
BFGS:   23 06:32:33     -255.854130        0.4440
BFGS:   24 07:10:13     -255.859503        0.3474
BFGS:   25 07:48:09     -255.863802        0.2286
BFGS:   26 09:30:15     -255.867080        0.2200
BFGS:   27 11:24:50     -255.870471        0.2596
BFGS:   28 12:32:05     -255.871959        0.1836
BFGS:   29 13:41:56     -255.873805        0.0800
BFGS:   30 14:41:48     -255.874580        0.1192
BFGS:   31 15:53:40     -255.876131        0.1647
BFGS:   32 17:18:13     -255.879719        0.1841
BFGS:   33 18:40:02     -255.880954        0.1623
BFGS:   34 20:05:26     -255.882963        0.0993
BFGS:   35 21:48:29     -255.883790        0.1853
BFGS:   36 23:06:07     -255.886157        0.1143
BFGS:   37 00:53:19     -255.885052        0.1245
BFGS:   38 02:27:49     -255.888519        0.0832
BFGS:   39 03:45:19     -255.889448        0.0835
BFGS:   40 05:09:39     -255.890975        0.0778
BFGS:   41 07:13:43     -255.893055        0.0845
BFGS:   42 08:24:19     -255.894265        0.0743
BFGS:   43 09:36:52     -255.895410        0.0806
BFGS:   44 10:39:44     -255.895963        0.0661
BFGS:   45 11:47:09     -255.896973        0.0609
BFGS:   46 13:31:17     -255.899315        0.1470
BFGS:   47 14:55:07     -255.901349        0.1418
BFGS:   48 16:39:54     -255.903124        0.1263
BFGS:   49 17:36:29     -255.903795        0.0765
BFGS:   50 18:39:30     -255.904958        0.0638
BFGS:   51 19:56:36     -255.906730        0.0707
BFGS:   52 21:32:34     -255.909001        0.1189
BFGS:   53 22:40:46     -255.910250        0.1082
BFGS:   54 00:11:00     -255.911711        0.0973
BFGS:   55 01:13:30     -255.912377        0.0952
BFGS:   56 02:44:43     -255.913535        0.0655
BFGS:   57 03:56:42     -255.914209        0.0817
BFGS:   58 05:31:09     -255.915775        0.0699
BFGS:   59 06:57:23     -255.916455        0.0969
BFGS:   60 08:04:37     -255.917385        0.0936
BFGS:   61 09:38:24     -255.919374        0.0847
BFGS:   62 10:57:48     -255.920869        0.1031
BFGS:   63 12:36:06     -255.923793        0.1597
BFGS:   64 14:01:30     -255.925028        0.1670
BFGS:   65 15:29:41     -255.925707        0.2237
BFGS:   66 16:41:25     -255.927795        0.1877
BFGS:   67 18:29:07     -255.932689        0.1205
BFGS:   68 20:01:20     -255.934247        0.0914
BFGS:   69 21:37:29     -255.936039        0.1406
BFGS:   70 22:42:09     -255.937768        0.1491
BFGS:   71 00:13:34     -255.940760        0.2789
BFGS:   72 01:46:14     -255.942855        0.2748
BFGS:   73 03:47:13     -255.946801        0.2408
BFGS:   74 05:38:32     -255.949551        0.2405
BFGS:   75 07:18:56     -255.954559        0.3753
BFGS:   76 08:59:28     -255.958119        0.4959
BFGS:   77 10:48:25     -255.961257        0.5432
BFGS:   78 12:21:45     -255.965770        0.6255
BFGS:   79 14:00:28     -255.971712        0.6551
BFGS:   80 15:30:05     -255.976829        0.6294
BFGS:   81 17:03:17     -255.982447        0.6133
BFGS:   82 18:24:50     -255.990331        0.6607
BFGS:   83 19:48:33     -255.999597        0.5815
BFGS:   84 21:12:41     -256.009133        0.5680
BFGS:   85 22:33:17     -256.020313        0.6052
