      Step     Time          Energy         fmax
BFGS:    0 16:00:18     -254.382950        2.8043
BFGS:    1 16:39:32     -254.700065        1.7408
BFGS:    2 17:10:19     -255.001326        1.6888
BFGS:    3 17:45:11     -255.211871        1.5592
BFGS:    4 18:07:20     -255.379724        1.3389
BFGS:    5 18:37:36     -255.504439        1.1359
BFGS:    6 19:03:41     -255.598608        0.8981
BFGS:    7 19:30:00     -255.669692        0.6598
BFGS:    8 19:54:13     -255.720323        0.5430
BFGS:    9 20:17:00     -255.753553        0.3775
BFGS:   10 20:43:45     -255.769113        0.2701
BFGS:   11 21:02:23     -255.775302        0.1726
BFGS:   12 21:22:17     -255.778798        0.1046
BFGS:   13 21:38:51     -255.780877        0.1253
BFGS:   14 22:02:11     -255.784488        0.1454
BFGS:   15 22:26:57     -255.788872        0.2685
BFGS:   16 22:54:30     -255.793745        0.3110
BFGS:   17 23:23:59     -255.797589        0.2866
BFGS:   18 23:49:39     -255.799399        0.1779
BFGS:   19 00:07:35     -255.800164        0.0531
BFGS:   20 00:21:28     -255.800529        0.0643
BFGS:   21 00:37:24     -255.800974        0.0634
BFGS:   22 00:54:38     -255.801753        0.1041
BFGS:   23 01:16:02     -255.803414        0.2029
BFGS:   24 01:34:42     -255.804978        0.1581
BFGS:   25 01:58:48     -255.807740        0.2211
BFGS:   26 02:18:47     -255.808968        0.1141
BFGS:   27 02:41:27     -255.810170        0.2980
BFGS:   28 02:58:43     -255.811630        0.2427
BFGS:   29 03:30:20     -255.814238        0.3777
BFGS:   30 03:51:08     -255.815511        0.1459
BFGS:   31 04:12:38     -255.816654        0.1114
BFGS:   32 04:31:34     -255.817229        0.1457
BFGS:   33 04:51:41     -255.818460        0.0760
BFGS:   34 05:08:59     -255.819266        0.1235
BFGS:   35 05:33:03     -255.821733        0.2347
BFGS:   36 05:52:21     -255.823545        0.1098
BFGS:   37 06:09:34     -255.825930        0.1095
BFGS:   38 06:31:35     -255.827640        0.2244
BFGS:   39 06:51:31     -255.829157        0.1720
BFGS:   40 07:12:03     -255.831483        0.1447
BFGS:   41 07:34:02     -255.832932        0.0742
BFGS:   42 07:56:47     -255.833265        0.0762
BFGS:   43 08:13:26     -255.833955        0.1018
BFGS:   44 08:40:13     -255.833816        0.0921
BFGS:   45 08:59:32     -255.835062        0.0717
BFGS:   46 09:21:34     -255.834554        0.0659
BFGS:   47 09:42:11     -255.836088        0.0349
