      Step     Time          Energy         fmax
BFGS:    0 22:17:04     -298.314367       15.7911
BFGS:    1 22:24:10     -299.706002       13.0482
BFGS:    2 22:31:02     -300.735107       11.7354
BFGS:    3 22:36:56     -301.700267       10.5143
BFGS:    4 22:43:02     -302.554590        9.3497
BFGS:    5 22:48:39     -303.311936        8.3039
BFGS:    6 22:54:32     -303.977123        7.3372
BFGS:    7 22:59:44     -304.559783        6.4022
BFGS:    8 23:04:45     -305.073469        5.5360
BFGS:    9 23:09:57     -305.526974        4.8492
BFGS:   10 23:15:10     -305.917336        4.1239
BFGS:   11 23:20:24     -306.272412        3.5010
BFGS:   12 23:25:21     -306.583199        2.9556
BFGS:   13 23:30:19     -306.857881        2.5082
BFGS:   14 23:35:28     -307.099971        2.1350
BFGS:   15 23:40:30     -307.307535        1.9006
BFGS:   16 23:45:28     -307.490260        1.7389
BFGS:   17 23:50:50     -307.653402        1.5736
BFGS:   18 23:55:51     -307.803012        1.4583
BFGS:   19 00:01:05     -307.941424        1.4221
BFGS:   20 00:06:31     -308.068734        1.3240
BFGS:   21 00:11:33     -308.191253        1.2980
BFGS:   22 00:16:59     -308.308882        1.2984
BFGS:   23 00:22:04     -308.423665        1.3005
BFGS:   24 00:27:16     -308.533526        1.3003
BFGS:   25 00:32:34     -308.638862        1.3647
BFGS:   26 00:37:45     -308.740708        1.4055
BFGS:   27 00:42:47     -308.838289        1.4540
BFGS:   28 00:47:32     -308.929859        1.4431
BFGS:   29 00:52:33     -309.015148        1.4193
BFGS:   30 00:57:16     -309.094104        1.3746
BFGS:   31 01:01:37     -309.164962        1.3083
BFGS:   32 01:06:08     -309.229721        1.2340
BFGS:   33 01:10:41     -309.290724        1.1667
BFGS:   34 01:14:56     -309.346872        1.0240
BFGS:   35 01:19:09     -309.399790        0.9274
BFGS:   36 01:23:25     -309.447470        0.8865
BFGS:   37 01:27:46     -309.492698        0.8728
BFGS:   38 01:31:59     -309.535256        0.7975
BFGS:   39 01:36:04     -309.573206        0.8166
BFGS:   40 01:40:28     -309.611502        0.6739
BFGS:   41 01:44:40     -309.644518        0.6101
BFGS:   42 01:48:56     -309.673429        0.5548
BFGS:   43 01:53:08     -309.699563        0.5468
BFGS:   44 01:57:15     -309.726736        0.5044
BFGS:   45 02:01:25     -309.749678        0.5132
BFGS:   46 02:05:29     -309.773558        0.5460
BFGS:   47 02:09:49     -309.802988        0.7302
BFGS:   48 02:14:01     -309.821036        0.6641
BFGS:   49 02:18:24     -309.833507        0.4013
BFGS:   50 02:22:01     -309.844068        0.2403
BFGS:   51 02:26:03     -309.853769        0.2544
BFGS:   52 02:29:38     -309.858719        0.1943
BFGS:   53 02:33:17     -309.861759        0.1973
BFGS:   54 02:36:03     -309.863887        0.2046
BFGS:   55 02:40:22     -309.874243        0.1201
BFGS:   56 02:44:02     -309.876555        0.1243
BFGS:   57 02:47:06     -309.878020        0.1443
BFGS:   58 02:50:37     -309.881661        0.1618
BFGS:   59 02:53:53     -309.884512        0.1935
BFGS:   60 02:57:46     -309.887552        0.2523
BFGS:   61 03:00:39     -309.890184        0.1747
BFGS:   62 03:03:39     -309.893287        0.0883
BFGS:   63 03:06:10     -309.894091        0.0781
BFGS:   64 03:09:18     -309.896074        0.1376
BFGS:   65 03:12:55     -309.898257        0.1428
BFGS:   66 03:16:35     -309.900743        0.1224
BFGS:   67 03:20:12     -309.903091        0.1177
BFGS:   68 03:22:58     -309.905137        0.1202
BFGS:   69 03:26:34     -309.908340        0.1188
BFGS:   70 03:29:57     -309.910975        0.1475
BFGS:   71 03:32:31     -309.912532        0.0901
BFGS:   72 03:35:59     -309.914693        0.1066
BFGS:   73 03:39:29     -309.916226        0.2048
BFGS:   74 03:42:09     -309.917331        0.1018
BFGS:   75 03:45:22     -309.918720        0.0684
BFGS:   76 03:48:17     -309.919832        0.0774
BFGS:   77 03:51:25     -309.921298        0.1349
BFGS:   78 03:54:11     -309.922662        0.1063
BFGS:   79 03:57:40     -309.924625        0.1065
BFGS:   80 04:00:54     -309.926013        0.2511
BFGS:   81 04:03:36     -309.927356        0.1250
BFGS:   82 04:07:02     -309.928681        0.1860
BFGS:   83 04:09:40     -309.929479        0.1218
BFGS:   84 04:12:19     -309.930472        0.0863
BFGS:   85 04:15:17     -309.931113        0.0765
BFGS:   86 04:18:27     -309.932058        0.0936
BFGS:   87 04:21:14     -309.932753        0.0644
BFGS:   88 04:24:51     -309.934109        0.1106
BFGS:   89 04:27:24     -309.935221        0.0941
BFGS:   90 04:30:44     -309.936925        0.0999
BFGS:   91 04:33:24     -309.937451        0.0737
BFGS:   92 04:36:13     -309.938038        0.0561
BFGS:   93 04:38:55     -309.938608        0.0709
BFGS:   94 04:41:28     -309.938898        0.0490
