      Step     Time          Energy         fmax
BFGS:    0 22:13:32     -300.415629       14.6303
BFGS:    1 22:19:50     -301.693528        9.9213
BFGS:    2 22:25:27     -302.690423        8.4178
BFGS:    3 22:32:02     -303.540457        7.2832
BFGS:    4 22:38:16     -304.253719        6.2903
BFGS:    5 22:44:56     -304.843041        5.4771
BFGS:    6 22:51:23     -305.349260        4.7729
BFGS:    7 22:57:49     -305.778774        4.1919
BFGS:    8 23:03:48     -306.145281        3.6814
BFGS:    9 23:09:41     -306.460509        3.2139
BFGS:   10 23:15:23     -306.728575        2.8133
BFGS:   11 23:20:36     -306.959263        2.5164
BFGS:   12 23:25:16     -307.157252        2.2405
BFGS:   13 23:29:46     -307.331659        1.9792
BFGS:   14 23:34:00     -307.483031        1.7695
BFGS:   15 23:38:14     -307.617534        1.5758
BFGS:   16 23:42:19     -307.736880        1.4496
BFGS:   17 23:46:22     -307.844766        1.3204
BFGS:   18 23:50:31     -307.940998        1.1969
BFGS:   19 23:54:31     -308.029455        1.0681
BFGS:   20 23:58:31     -308.108835        0.9809
BFGS:   21 00:03:03     -308.182434        0.8482
BFGS:   22 00:07:29     -308.251375        0.7987
BFGS:   23 00:11:48     -308.313833        0.7622
BFGS:   24 00:16:15     -308.371709        0.6834
BFGS:   25 00:20:48     -308.425057        0.6084
BFGS:   26 00:25:24     -308.474339        0.6155
BFGS:   27 00:29:53     -308.519754        0.5788
BFGS:   28 00:34:17     -308.561000        0.5559
BFGS:   29 00:38:59     -308.598370        0.6017
BFGS:   30 00:43:33     -308.632885        0.5947
BFGS:   31 00:48:15     -308.665022        0.5887
BFGS:   32 00:53:06     -308.694861        0.5483
BFGS:   33 00:58:04     -308.721770        0.5429
BFGS:   34 01:02:54     -308.746644        0.5666
BFGS:   35 01:07:53     -308.771109        0.5211
BFGS:   36 01:12:42     -308.795075        0.5387
BFGS:   37 01:17:49     -308.817708        0.5876
BFGS:   38 01:22:48     -308.842439        0.6507
BFGS:   39 01:27:45     -308.869176        0.7535
BFGS:   40 01:33:00     -308.894772        0.8225
BFGS:   41 01:37:50     -308.919687        0.8860
BFGS:   42 01:42:50     -308.947682        0.9619
BFGS:   43 01:47:35     -308.977158        1.0461
BFGS:   44 01:52:18     -309.006285        1.0990
BFGS:   45 01:56:46     -309.037012        1.1312
BFGS:   46 02:01:37     -309.066221        1.1325
BFGS:   47 02:05:59     -309.095152        1.1781
BFGS:   48 02:10:36     -309.130242        1.1079
BFGS:   49 02:15:09     -309.165032        1.0762
BFGS:   50 02:19:22     -309.204224        0.9545
BFGS:   51 02:24:03     -309.246996        0.8070
BFGS:   52 02:28:55     -309.294502        0.7620
BFGS:   53 02:33:41     -309.334537        0.7267
BFGS:   54 02:38:09     -309.366074        0.7321
BFGS:   55 02:42:17     -309.394792        0.6687
BFGS:   56 02:46:15     -309.420744        0.7204
BFGS:   57 02:50:08     -309.446140        0.7274
BFGS:   58 02:54:08     -309.470167        0.6328
BFGS:   59 02:58:24     -309.494807        0.6806
BFGS:   60 03:02:31     -309.520810        0.6738
BFGS:   61 03:06:23     -309.548704        0.6880
BFGS:   62 03:10:23     -309.578126        0.7381
BFGS:   63 03:14:18     -309.614350        0.7508
BFGS:   64 03:18:31     -309.650260        0.8096
BFGS:   65 03:22:51     -309.687713        0.8170
BFGS:   66 03:27:20     -309.724392        0.8448
BFGS:   67 03:31:48     -309.758148        0.8153
BFGS:   68 03:35:48     -309.784806        0.7383
BFGS:   69 03:39:49     -309.805724        0.6198
BFGS:   70 03:43:33     -309.823861        0.6144
BFGS:   71 03:47:14     -309.838690        0.3917
BFGS:   72 03:51:16     -309.851293        0.3318
BFGS:   73 03:55:31     -309.859732        0.2566
BFGS:   74 03:58:26     -309.866194        0.2596
BFGS:   75 04:02:24     -309.875969        0.5002
BFGS:   76 04:06:28     -309.881451        0.3581
BFGS:   77 04:09:16     -309.884568        0.2528
BFGS:   78 04:12:46     -309.888927        0.2269
BFGS:   79 04:16:17     -309.892637        0.2944
BFGS:   80 04:20:04     -309.896809        0.3038
BFGS:   81 04:24:18     -309.902422        0.2505
BFGS:   82 04:27:11     -309.904898        0.1442
BFGS:   83 04:31:05     -309.909135        0.1698
BFGS:   84 04:34:33     -309.911310        0.2141
BFGS:   85 04:37:42     -309.912978        0.1892
BFGS:   86 04:41:27     -309.914628        0.1271
BFGS:   87 04:44:22     -309.915518        0.1301
BFGS:   88 04:47:37     -309.916281        0.1363
BFGS:   89 04:50:19     -309.917352        0.0814
BFGS:   90 04:54:11     -309.921690        0.1071
BFGS:   91 04:57:55     -309.923006        0.0818
BFGS:   92 05:01:18     -309.923717        0.0890
BFGS:   93 05:04:06     -309.924549        0.0749
BFGS:   94 05:07:37     -309.925403        0.0869
BFGS:   95 05:10:31     -309.926387        0.0760
BFGS:   96 05:13:53     -309.927955        0.0794
BFGS:   97 05:17:23     -309.929043        0.0849
BFGS:   98 05:21:27     -309.929749        0.0710
BFGS:   99 05:24:28     -309.930624        0.0553
BFGS:  100 05:27:54     -309.930781        0.0707
BFGS:  101 05:31:19     -309.931480        0.0576
BFGS:  102 05:34:13     -309.931987        0.0388
