      Step     Time          Energy         fmax
BFGS:    0 12:48:29     -306.051955        4.7497
BFGS:    1 14:54:25     -306.428915        4.2814
BFGS:    2 17:09:38     -306.723870        3.5404
BFGS:    3 19:00:10     -306.987825        3.1410
BFGS:    4 21:07:33     -307.210304        2.6361
BFGS:    5 22:59:04     -307.402988        2.2772
BFGS:    6 00:51:41     -307.567192        1.9608
BFGS:    7 02:40:41     -307.710203        1.6789
BFGS:    8 04:27:25     -307.832256        1.4024
BFGS:    9 06:18:48     -307.938078        1.1952
BFGS:   10 08:08:07     -308.028209        0.9837
BFGS:   11 10:03:59     -308.106932        0.8792
BFGS:   12 11:51:10     -308.172611        0.6971
BFGS:   13 13:32:13     -308.229701        0.5933
BFGS:   14 15:04:50     -308.278514        0.4788
BFGS:   15 16:44:30     -308.319851        0.3485
BFGS:   16 18:13:22     -308.355158        0.3353
BFGS:   17 19:50:57     -308.384025        0.2655
BFGS:   18 21:19:37     -308.408608        0.2449
BFGS:   19 22:41:10     -308.429932        0.2286
BFGS:   20 00:06:40     -308.446402        0.1406
BFGS:   21 01:24:52     -308.460409        0.1616
BFGS:   22 02:45:13     -308.471738        0.1434
BFGS:   23 04:02:34     -308.479957        0.1090
BFGS:   24 05:21:28     -308.486158        0.1393
BFGS:   25 06:37:05     -308.490337        0.1408
BFGS:   26 07:45:02     -308.492673        0.1024
BFGS:   27 09:05:27     -308.496420        0.1671
BFGS:   28 10:19:33     -308.499293        0.1224
BFGS:   29 11:38:07     -308.503335        0.1444
BFGS:   30 12:46:16     -308.507047        0.2335
BFGS:   31 14:12:44     -308.515142        0.2808
BFGS:   32 15:50:51     -308.523358        0.4296
BFGS:   33 17:27:15     -308.530901        0.2787
BFGS:   34 18:42:56     -308.535232        0.1926
BFGS:   35 20:11:07     -308.539214        0.2225
BFGS:   36 21:31:08     -308.544256        0.2274
BFGS:   37 22:57:57     -308.549182        0.3500
BFGS:   38 00:10:29     -308.554429        0.2710
BFGS:   39 01:50:37     -308.560929        0.7127
BFGS:   40 03:10:22     -308.568682        0.6646
BFGS:   41 04:29:20     -308.573794        0.2658
BFGS:   42 06:17:11     -308.577300        0.8173
BFGS:   43 07:45:54     -308.583906        0.4528
BFGS:   44 09:02:09     -308.588529        0.2052
BFGS:   45 10:25:31     -308.591981        0.2910
BFGS:   46 11:47:15     -308.596227        0.1148
BFGS:   47 13:18:52     -308.600286        0.1031
BFGS:   48 14:32:11     -308.601521        0.1618
BFGS:   49 15:52:56     -308.603492        0.1017
BFGS:   50 16:48:16     -308.604468        0.0771
BFGS:   51 18:28:37     -308.605564        0.3397
BFGS:   52 19:29:10     -308.606610        0.0673
BFGS:   53 20:33:15     -308.607176        0.2272
BFGS:   54 21:44:20     -308.608318        0.1913
BFGS:   55 23:25:54     -308.609846        0.3183
BFGS:   56 23:53:17     -308.610846        0.1112
BFGS:   57 00:18:05     -308.611818        0.1612
BFGS:   58 00:50:58     -308.614286        0.2569
BFGS:   59 01:30:54     -308.616992        0.1791
BFGS:   60 02:07:23     -308.620244        0.1346
BFGS:   61 02:48:14     -308.622232        0.2458
BFGS:   62 03:30:53     -308.623645        0.5625
BFGS:   63 04:03:43     -308.626511        0.5434
BFGS:   64 04:37:34     -308.630534        0.2801
BFGS:   65 05:21:16     -308.634747        0.5434
BFGS:   66 06:02:10     -308.638487        0.6454
BFGS:   67 06:36:48     -308.641779        0.2959
BFGS:   68 07:15:04     -308.645248        0.2473
BFGS:   69 08:01:24     -308.651506        0.2984
BFGS:   70 09:28:44     -308.655805        0.2843
BFGS:   71 10:53:22     -308.660342        0.2677
BFGS:   72 12:21:16     -308.664587        0.3478
BFGS:   73 14:06:03     -308.670168        0.2258
BFGS:   74 15:37:51     -308.675881        0.2033
BFGS:   75 17:03:53     -308.681639        0.1989
BFGS:   76 18:43:08     -308.682760        0.6264
BFGS:   77 20:12:13     -308.686675        0.1828
BFGS:   78 21:27:26     -308.688157        0.1788
BFGS:   79 22:25:47     -308.689885        0.1760
BFGS:   80 00:31:28     -308.697563        0.4604
BFGS:   81 01:48:36     -308.699797        0.2062
BFGS:   82 03:04:36     -308.702682        0.1501
BFGS:   83 04:28:16     -308.704497        0.2452
BFGS:   84 05:50:31     -308.706428        0.1899
BFGS:   85 07:16:39     -308.706565        0.1411
BFGS:   86 08:30:04     -308.708251        0.1338
BFGS:   87 10:07:28     -308.707372        0.2449
BFGS:   88 11:38:44     -308.709683        0.1625
BFGS:   89 12:56:18     -308.710637        0.1272
BFGS:   90 14:10:06     -308.712127        0.1513
BFGS:   91 15:53:27     -308.716089        0.2234
BFGS:   92 17:14:22     -308.718097        0.1085
BFGS:   93 18:25:15     -308.719539        0.1088
BFGS:   94 19:32:47     -308.720970        0.3030
BFGS:   95 20:35:25     -308.722152        0.1148
BFGS:   96 21:39:44     -308.723700        0.0760
BFGS:   97 22:41:34     -308.724374        0.1087
BFGS:   98 23:50:47     -308.725222        0.1212
BFGS:   99 00:52:29     -308.725757        0.1053
BFGS:  100 02:05:47     -308.726627        0.0719
BFGS:  101 03:23:34     -308.727754        0.1002
BFGS:  102 04:40:17     -308.728840        0.1031
BFGS:  103 05:43:50     -308.729532        0.1398
BFGS:  104 06:39:13     -308.729988        0.1654
BFGS:  105 07:31:42     -308.730525        0.1210
BFGS:  106 08:26:34     -308.730912        0.0799
BFGS:  107 09:25:09     -308.731246        0.1564
BFGS:  108 10:23:29     -308.731473        0.1083
BFGS:  109 11:19:41     -308.731698        0.0991
BFGS:  110 12:52:25     -308.731874        0.1261
BFGS:  111 13:45:16     -308.732516        0.1129
BFGS:  112 15:06:44     -308.732968        0.1293
BFGS:  113 16:09:44     -308.734251        0.0371
