      Step     Time          Energy         fmax
BFGS:    0 13:14:53     -306.069261        4.7610
BFGS:    1 16:01:46     -306.446604        4.3246
BFGS:    2 18:24:45     -306.742354        3.5566
BFGS:    3 20:20:10     -307.006952        3.1534
BFGS:    4 22:33:19     -307.230027        2.6658
BFGS:    5 00:18:30     -307.423583        2.3122
BFGS:    6 02:02:50     -307.588588        1.9980
BFGS:    7 03:41:29     -307.732589        1.7164
BFGS:    8 05:23:20     -307.856347        1.4464
BFGS:    9 07:01:06     -307.963692        1.2501
BFGS:   10 08:57:13     -308.055569        1.0465
BFGS:   11 10:50:21     -308.136323        0.9393
BFGS:   12 12:39:41     -308.204424        0.7497
BFGS:   13 14:27:41     -308.264482        0.6517
BFGS:   14 16:10:42     -308.315918        0.5367
BFGS:   15 17:44:42     -308.360298        0.3995
BFGS:   16 19:19:35     -308.398760        0.3806
BFGS:   17 21:02:44     -308.430916        0.3447
BFGS:   18 22:48:42     -308.458434        0.2974
BFGS:   19 00:17:12     -308.482721        0.2738
BFGS:   20 01:55:52     -308.502881        0.1853
BFGS:   21 03:35:36     -308.519027        0.1846
BFGS:   22 05:04:39     -308.532658        0.1911
BFGS:   23 06:37:08     -308.542110        0.1369
BFGS:   24 08:08:59     -308.549341        0.1562
BFGS:   25 09:47:39     -308.553449        0.1543
BFGS:   26 11:16:00     -308.555961        0.1565
BFGS:   27 12:11:36     -308.557842        0.1625
BFGS:   28 13:58:35     -308.570792        0.2148
BFGS:   29 15:30:30     -308.574497        0.2600
BFGS:   30 17:01:29     -308.576341        0.1120
BFGS:   31 18:01:43     -308.577727        0.1697
BFGS:   32 19:15:57     -308.579827        0.1761
BFGS:   33 20:16:36     -308.580812        0.1557
BFGS:   34 21:14:39     -308.581637        0.0665
BFGS:   35 21:58:58     -308.582294        0.1222
BFGS:   36 23:13:48     -308.583959        0.2810
BFGS:   37 00:11:12     -308.584924        0.1417
BFGS:   38 01:15:55     -308.586091        0.1083
BFGS:   39 02:25:39     -308.587390        0.2039
BFGS:   40 03:49:12     -308.589159        0.2171
BFGS:   41 04:54:10     -308.590089        0.1041
BFGS:   42 06:08:34     -308.591248        0.1030
BFGS:   43 07:09:25     -308.591934        0.1559
BFGS:   44 08:07:17     -308.592596        0.1124
BFGS:   45 09:04:28     -308.593049        0.0424
