atom Hirshfeld Bader
Li       -0.02 -0.23
Li       -0.01 -1.01
Li       -0.02  0.74
Li       -0.02  0.75
Li       -0.01 -0.98
Li       -0.02 -1.02
Li       -0.01 -0.84
Li       -0.02  0.75
Li       -0.02 -0.20
Li       -0.08 -1.04
Li       -0.09  0.74
Li       -0.08 -1.06
Li       -0.08 -1.05
Li       -0.08  0.73
Li       -0.08 -0.91
Li       -0.09  0.73
Li       -0.09  0.72
Li       -0.08  0.73
Li       -0.03  0.76
Li       -0.04  0.76
Li        0.01  0.77
Li       -0.07 -0.31
Li       -0.07  0.76
Li       -0.04  0.76
Li       -0.06  0.71
Li       -0.07  0.76
Li       -0.03  0.76
Li        0.09  0.83
Li        0.01 -0.37
Li        0.08 -0.31
Li        0.09  0.78
Li        0.01  0.73
Li        0.03 -0.37
Li        0.01 -0.35
Li       -0.04 -2.47
Li        0.00  0.72
O         0.11 -1.19
C         0.19  0.36
C         0.07 -0.18
H         0.08  0.06
H         0.09  0.08
H         0.10  0.08
H         0.09  0.07
H         0.09  0.05
H         0.18  0.59
N        -0.04 -1.14
N        -0.06 -1.24
