      Step     Time          Energy         fmax
BFGS:    0 12:20:08     -312.614065        5.7882
BFGS:    1 12:50:00     -313.053833        4.3750
BFGS:    2 13:19:52     -313.388443        3.4740
BFGS:    3 13:48:33     -313.620606        2.0016
BFGS:    4 14:18:39     -313.727130        0.9842
BFGS:    5 14:38:38     -313.755275        0.8204
BFGS:    6 15:02:10     -313.797736        0.2894
BFGS:    7 15:31:18     -313.815242        0.4658
BFGS:    8 15:54:10     -313.826375        0.5328
BFGS:    9 16:21:41     -313.852419        0.5588
BFGS:   10 16:52:26     -313.876558        0.4155
BFGS:   11 17:22:36     -313.892575        0.4298
BFGS:   12 17:49:13     -313.904846        0.4130
BFGS:   13 18:18:14     -313.918755        0.3125
BFGS:   14 18:41:27     -313.927441        0.2565
BFGS:   15 19:04:32     -313.933631        0.1828
BFGS:   16 19:33:00     -313.937004        0.1921
BFGS:   17 19:58:22     -313.940823        0.2099
BFGS:   18 20:24:54     -313.947613        0.2350
BFGS:   19 20:48:14     -313.952086        0.1875
BFGS:   20 21:12:46     -313.955446        0.1665
BFGS:   21 21:37:12     -313.957571        0.1681
BFGS:   22 22:04:48     -313.961409        0.2100
BFGS:   23 22:28:46     -313.964340        0.2338
BFGS:   24 23:00:26     -313.968663        0.1690
BFGS:   25 23:22:12     -313.970140        0.1417
BFGS:   26 23:48:28     -313.971938        0.1020
BFGS:   27 00:10:01     -313.973596        0.2025
BFGS:   28 00:34:41     -313.976419        0.3060
BFGS:   29 01:00:11     -313.978945        0.2430
BFGS:   30 01:24:03     -313.980796        0.1443
BFGS:   31 01:44:53     -313.981950        0.0807
BFGS:   32 02:04:14     -313.982997        0.1483
BFGS:   33 02:25:17     -313.984352        0.1957
BFGS:   34 02:47:14     -313.986102        0.1808
BFGS:   35 03:09:55     -313.988101        0.1031
BFGS:   36 03:38:31     -313.989480        0.0863
BFGS:   37 03:58:45     -313.990147        0.0761
BFGS:   38 04:30:07     -313.992164        0.1505
BFGS:   39 04:48:31     -313.993042        0.1061
BFGS:   40 05:13:08     -313.994190        0.0729
BFGS:   41 05:33:46     -313.994594        0.0635
BFGS:   42 05:56:03     -313.995398        0.0989
BFGS:   43 06:23:27     -313.997491        0.1152
BFGS:   44 06:49:35     -313.999296        0.1107
BFGS:   45 07:16:15     -314.000615        0.0974
BFGS:   46 07:38:45     -314.002187        0.0785
BFGS:   47 08:05:50     -314.004068        0.1293
BFGS:   48 08:25:45     -314.004984        0.0974
BFGS:   49 08:52:03     -314.006600        0.0930
BFGS:   50 09:12:55     -314.007959        0.1154
BFGS:   51 09:37:15     -314.009752        0.0985
BFGS:   52 10:11:11     -314.012035        0.1354
BFGS:   53 10:40:42     -314.013895        0.1499
BFGS:   54 11:07:33     -314.014773        0.1096
BFGS:   55 11:27:11     -314.016417        0.0693
BFGS:   56 11:52:05     -314.019106        0.0925
BFGS:   57 12:18:04     -314.021117        0.0946
BFGS:   58 12:45:43     -314.022416        0.1035
BFGS:   59 13:12:53     -314.023115        0.1105
BFGS:   60 13:39:39     -314.025184        0.0999
BFGS:   61 14:09:33     -314.027555        0.1061
BFGS:   62 14:32:59     -314.029409        0.0904
BFGS:   63 14:58:00     -314.032003        0.0792
BFGS:   64 15:19:42     -314.033089        0.0801
BFGS:   65 15:41:18     -314.034356        0.0722
BFGS:   66 16:03:32     -314.035557        0.0752
BFGS:   67 16:26:20     -314.036698        0.0662
BFGS:   68 16:49:44     -314.037700        0.0679
BFGS:   69 17:17:30     -314.039038        0.0911
BFGS:   70 17:49:39     -314.040793        0.1338
BFGS:   71 18:17:26     -314.041974        0.1333
BFGS:   72 18:44:21     -314.044220        0.0890
BFGS:   73 19:11:09     -314.045867        0.0656
BFGS:   74 19:35:42     -314.047150        0.0682
BFGS:   75 20:07:43     -314.048669        0.1031
BFGS:   76 20:35:39     -314.049889        0.1357
BFGS:   77 20:59:15     -314.050834        0.1463
BFGS:   78 21:30:37     -314.053105        0.1471
BFGS:   79 21:58:55     -314.053917        0.1667
BFGS:   80 22:19:00     -314.055115        0.1126
BFGS:   81 22:43:58     -314.058141        0.0810
BFGS:   82 23:09:58     -314.059354        0.0716
BFGS:   83 23:37:40     -314.060989        0.0767
BFGS:   84 00:05:56     -314.062254        0.0835
BFGS:   85 00:34:43     -314.063212        0.1111
BFGS:   86 00:57:14     -314.064018        0.1101
BFGS:   87 01:19:58     -314.065375        0.1526
BFGS:   88 01:42:37     -314.066315        0.1108
BFGS:   89 02:04:27     -314.067436        0.0684
BFGS:   90 02:24:40     -314.067956        0.0759
BFGS:   91 02:47:01     -314.069026        0.0950
BFGS:   92 03:09:01     -314.070091        0.1150
BFGS:   93 03:30:28     -314.071405        0.0977
BFGS:   94 03:53:38     -314.072471        0.0730
BFGS:   95 04:16:47     -314.073310        0.0589
BFGS:   96 04:35:51     -314.073822        0.0507
BFGS:   97 04:59:06     -314.074475        0.0418
