      Step     Time          Energy         fmax
BFGS:    0 15:20:30     -312.453349        7.0223
BFGS:    1 15:43:34     -312.913435        4.5169
BFGS:    2 16:00:03     -313.241363        3.1716
BFGS:    3 16:14:43     -313.439911        1.5175
BFGS:    4 16:30:44     -313.533941        1.4833
BFGS:    5 16:44:05     -313.576581        0.8915
BFGS:    6 16:58:20     -313.608960        0.5165
BFGS:    7 17:09:03     -313.617558        0.4232
BFGS:    8 17:22:26     -313.634819        0.3920
BFGS:    9 17:34:54     -313.644741        0.4924
BFGS:   10 17:47:50     -313.655317        0.5185
BFGS:   11 18:03:24     -313.667209        0.3955
BFGS:   12 18:15:28     -313.674701        0.3442
BFGS:   13 18:29:19     -313.686524        0.3485
BFGS:   14 18:39:37     -313.689247        0.2515
BFGS:   15 18:51:12     -313.693712        0.1503
BFGS:   16 19:03:43     -313.697489        0.2258
BFGS:   17 19:17:57     -313.700232        0.4362
BFGS:   18 19:27:47     -313.703239        0.3074
BFGS:   19 19:39:50     -313.708471        0.1577
BFGS:   20 19:51:29     -313.710038        0.1263
BFGS:   21 20:03:05     -313.711219        0.1157
BFGS:   22 20:14:18     -313.712400        0.1188
BFGS:   23 20:26:23     -313.714500        0.1779
BFGS:   24 20:39:21     -313.716552        0.1534
BFGS:   25 20:49:12     -313.717584        0.0948
BFGS:   26 20:58:37     -313.718225        0.0663
BFGS:   27 21:07:35     -313.718694        0.0900
BFGS:   28 21:18:47     -313.720252        0.1721
BFGS:   29 21:29:30     -313.721320        0.1613
BFGS:   30 21:38:26     -313.722066        0.0854
BFGS:   31 21:47:55     -313.722673        0.0888
BFGS:   32 21:56:29     -313.723109        0.1068
BFGS:   33 22:06:22     -313.723938        0.1088
BFGS:   34 22:15:49     -313.724497        0.0758
BFGS:   35 22:26:09     -313.724822        0.0468
