atom Hirshfeld Bader
Li       -0.02 -0.16
Li       -0.01 -1.10
Li       -0.02  0.74
Li       -0.01  0.75
Li       -0.01 -0.90
Li       -0.01 -0.16
Li       -0.01 -0.95
Li       -0.01  0.75
Li       -0.01 -1.08
Li       -0.08 -0.89
Li       -0.08  0.74
Li       -0.08 -1.15
Li       -0.08 -1.20
Li       -0.08  0.74
Li       -0.08 -0.94
Li       -0.08  0.74
Li       -0.09  0.72
Li       -0.08  0.74
Li       -0.03  0.76
Li       -0.03 -0.18
Li        0.01  0.77
Li       -0.07 -0.08
Li       -0.07 -0.26
Li       -0.03  0.76
Li       -0.07 -0.34
Li       -0.07 -0.22
Li       -0.04 -0.16
Li        0.04  0.76
Li        0.01  0.72
Li        0.10  0.78
Li        0.12  0.80
Li        0.01  0.72
Li        0.05  0.77
Li        0.02  0.73
Li       -0.03 -2.02
Li        0.01  0.72
O         0.09 -1.10
C         0.18  0.38
C         0.06 -0.19
H         0.08  0.05
H         0.09  0.07
H         0.09  0.07
H         0.09  0.07
H         0.09  0.06
H         0.18  0.57
N        -0.04 -1.15
N        -0.04 -1.21
