      Step     Time          Energy         fmax
BFGS:    0 06:50:00     -306.340963        3.8909
BFGS:    1 09:56:44     -306.623858        2.4948
BFGS:    2 13:08:42     -306.824056        2.5875
BFGS:    3 15:59:43     -306.995883        1.3393
BFGS:    4 17:47:01     -307.096489        1.0969
BFGS:    5 19:29:01     -307.172478        1.0560
BFGS:    6 21:30:24     -307.239333        0.9880
BFGS:    7 23:12:39     -307.296835        0.9542
BFGS:    8 01:01:09     -307.346993        0.9160
BFGS:    9 02:50:10     -307.392397        0.8679
BFGS:   10 04:44:42     -307.433852        0.8504
BFGS:   11 06:32:18     -307.471882        0.8359
BFGS:   12 08:19:13     -307.507014        0.8385
BFGS:   13 10:04:20     -307.542019        0.8144
BFGS:   14 11:52:12     -307.575472        0.7912
BFGS:   15 13:30:54     -307.606907        0.7603
BFGS:   16 15:03:17     -307.637627        0.7296
BFGS:   17 16:31:47     -307.667234        0.7020
BFGS:   18 18:03:18     -307.695819        0.6585
BFGS:   19 19:41:00     -307.721614        0.6282
BFGS:   20 21:25:24     -307.749570        0.5879
BFGS:   21 22:58:43     -307.775829        0.5430
BFGS:   22 00:27:00     -307.800757        0.5459
BFGS:   23 01:50:26     -307.826469        0.5341
BFGS:   24 03:17:03     -307.850511        0.5303
BFGS:   25 04:09:04     -307.874528        0.5231
BFGS:   26 04:39:08     -307.899732        0.5088
BFGS:   27 05:09:14     -307.924282        0.4868
BFGS:   28 05:38:24     -307.949138        0.4631
BFGS:   29 06:06:47     -307.970645        0.4338
BFGS:   30 06:35:08     -307.995212        0.4253
BFGS:   31 07:06:57     -308.018995        0.4501
BFGS:   32 07:36:05     -308.043520        0.4164
BFGS:   33 08:06:08     -308.065437        0.4190
BFGS:   34 09:10:28     -308.084868        0.4051
BFGS:   35 10:41:30     -308.108949        0.4239
BFGS:   36 12:07:40     -308.128707        0.4309
BFGS:   37 13:45:52     -308.142908        0.4343
BFGS:   38 15:25:08     -308.158193        0.4107
BFGS:   39 17:09:52     -308.176879        0.4940
BFGS:   40 18:38:01     -308.193450        0.5356
BFGS:   41 20:12:44     -308.212090        0.5309
BFGS:   42 21:46:17     -308.227950        0.5434
BFGS:   43 23:20:06     -308.245394        0.4982
BFGS:   44 00:50:48     -308.259076        0.4805
BFGS:   45 02:20:47     -308.272193        0.4504
BFGS:   46 03:48:48     -308.283104        0.4348
BFGS:   47 05:17:35     -308.297474        0.3475
BFGS:   48 06:43:39     -308.308731        0.3185
BFGS:   49 08:12:40     -308.317753        0.2968
BFGS:   50 09:42:44     -308.327494        0.2983
BFGS:   51 11:14:28     -308.338082        0.2775
BFGS:   52 12:45:23     -308.346163        0.3071
BFGS:   53 14:11:27     -308.354595        0.3279
BFGS:   54 15:47:30     -308.362585        0.3377
BFGS:   55 17:17:14     -308.371142        0.3522
BFGS:   56 18:51:10     -308.377681        0.3615
BFGS:   57 20:22:59     -308.385202        0.3307
BFGS:   58 21:50:59     -308.391215        0.3211
BFGS:   59 23:02:18     -308.399417        0.2016
BFGS:   60 00:25:43     -308.408056        0.3671
BFGS:   61 01:13:17     -308.413392        0.3126
BFGS:   62 01:42:36     -308.417432        0.1956
BFGS:   63 02:11:51     -308.421525        0.1944
BFGS:   64 02:42:55     -308.427868        0.4033
BFGS:   65 03:13:59     -308.431027        0.5101
BFGS:   66 03:37:01     -308.436467        0.4075
BFGS:   67 04:09:03     -308.444795        0.1988
BFGS:   68 04:37:22     -308.448235        0.2057
BFGS:   69 05:12:54     -308.455937        0.3664
BFGS:   70 05:46:43     -308.461777        0.3957
BFGS:   71 06:42:15     -308.469233        0.3546
BFGS:   72 08:07:03     -308.477421        0.2423
BFGS:   73 09:39:05     -308.485869        0.2993
BFGS:   74 11:12:56     -308.492347        0.4080
BFGS:   75 12:37:04     -308.505266        0.3087
BFGS:   76 14:15:34     -308.521189        0.3050
BFGS:   77 15:54:02     -308.534857        0.4057
BFGS:   78 17:35:59     -308.545875        0.4969
BFGS:   79 19:18:15     -308.556727        0.5712
BFGS:   80 21:06:48     -308.574600        0.6059
BFGS:   81 22:56:59     -308.595193        0.6427
BFGS:   82 00:54:03     -308.627007        0.6933
BFGS:   83 02:43:37     -308.645293        0.7162
BFGS:   84 04:36:41     -308.674431        0.7020
BFGS:   85 06:22:34     -308.700450        0.6218
BFGS:   86 08:04:38     -308.735062        0.5400
BFGS:   87 09:44:46     -308.759407        0.5127
BFGS:   88 11:19:08     -308.780409        0.4697
BFGS:   89 13:00:01     -308.794274        0.5549
BFGS:   90 14:42:10     -308.812848        0.6751
BFGS:   91 16:23:33     -308.833994        0.5090
BFGS:   92 18:15:22     -308.858296        0.4599
BFGS:   93 20:15:48     -308.883051        0.3128
BFGS:   94 22:02:32     -308.896762        0.3568
BFGS:   95 23:46:57     -308.912501        0.5010
BFGS:   96 01:31:08     -308.926303        0.5843
BFGS:   97 03:19:17     -308.939467        0.6527
BFGS:   98 04:59:13     -308.958188        0.6690
BFGS:   99 06:37:45     -308.973636        0.7417
BFGS:  100 08:17:21     -308.990335        0.8312
BFGS:  101 09:48:55     -309.008804        0.8152
BFGS:  102 11:25:52     -309.026477        0.8752
BFGS:  103 12:59:58     -309.039798        0.9824
BFGS:  104 14:27:56     -309.063946        0.9313
BFGS:  105 16:01:22     -309.097779        0.8482
BFGS:  106 17:31:46     -309.123849        0.8134
BFGS:  107 19:04:23     -309.145739        0.8985
BFGS:  108 20:37:48     -309.181938        0.8931
BFGS:  109 22:02:23     -309.213916        0.8855
      Step     Time          Energy         fmax
