      Step     Time          Energy         fmax
BFGS:    0 16:37:36     -311.703724        2.0975
BFGS:    1 18:35:30     -311.863218        1.9579
BFGS:    2 20:25:20     -312.028579        1.7897
BFGS:    3 21:49:51     -312.166717        1.6234
BFGS:    4 22:40:05     -312.281612        1.4691
BFGS:    5 23:24:43     -312.375982        1.3431
BFGS:    6 00:08:43     -312.451076        1.2419
BFGS:    7 01:01:31     -312.511975        1.1647
BFGS:    8 02:08:47     -312.563423        1.1443
BFGS:    9 03:57:00     -312.610258        1.1690
BFGS:   10 05:10:15     -312.656165        1.2403
BFGS:   11 06:12:44     -312.704024        1.3669
BFGS:   12 07:06:52     -312.753700        1.5327
BFGS:   13 08:44:37     -312.806165        1.7246
BFGS:   14 10:05:48     -312.859125        1.9140
BFGS:   15 11:22:33     -312.913737        2.0578
BFGS:   16 12:28:31     -312.966886        2.1051
BFGS:   17 12:51:23     -313.018030        2.0234
BFGS:   18 13:06:51     -313.073988        1.7612
BFGS:   19 13:22:23     -313.164976        1.4065
BFGS:   20 13:37:04     -313.254922        1.1412
BFGS:   21 13:52:45     -313.323929        1.0236
BFGS:   22 14:08:23     -313.378700        0.7158
BFGS:   23 14:22:05     -313.411566        0.6635
BFGS:   24 14:36:18     -313.448625        0.5181
BFGS:   25 14:50:07     -313.473493        0.5797
BFGS:   26 15:02:56     -313.487759        0.5192
BFGS:   27 15:17:09     -313.504695        0.3833
BFGS:   28 15:30:02     -313.515836        0.3517
BFGS:   29 15:41:09     -313.523269        0.2101
BFGS:   30 15:50:37     -313.526414        0.1987
BFGS:   31 16:02:38     -313.533163        0.2300
BFGS:   32 16:17:44     -313.541340        0.3855
BFGS:   33 16:31:25     -313.548896        0.4097
BFGS:   34 16:45:22     -313.556290        0.2941
BFGS:   35 16:57:49     -313.559466        0.0931
BFGS:   36 17:06:45     -313.560435        0.0673
BFGS:   37 17:17:36     -313.561625        0.0924
BFGS:   38 17:28:48     -313.562798        0.1250
BFGS:   39 17:41:46     -313.565472        0.1486
BFGS:   40 17:54:39     -313.568565        0.1573
BFGS:   41 18:07:33     -313.570869        0.1519
BFGS:   42 18:19:07     -313.573324        0.1256
BFGS:   43 18:31:09     -313.575281        0.1129
BFGS:   44 18:41:51     -313.576653        0.1028
BFGS:   45 18:56:29     -313.578924        0.1194
BFGS:   46 19:06:17     -313.579897        0.0789
BFGS:   47 19:16:08     -313.580914        0.0563
BFGS:   48 19:24:37     -313.581442        0.0572
BFGS:   49 19:38:47     -313.582650        0.0831
BFGS:   50 19:55:19     -313.583769        0.1298
BFGS:   51 20:07:32     -313.584598        0.1079
BFGS:   52 20:22:10     -313.586570        0.0914
BFGS:   53 20:33:38     -313.587428        0.1000
BFGS:   54 20:46:48     -313.588719        0.1351
BFGS:   55 20:57:23     -313.590055        0.1173
BFGS:   56 21:08:26     -313.591331        0.1036
BFGS:   57 21:18:08     -313.591949        0.0655
BFGS:   58 21:28:43     -313.592532        0.0622
BFGS:   59 21:38:52     -313.592986        0.0655
BFGS:   60 21:49:00     -313.593390        0.0583
BFGS:   61 21:58:44     -313.593781        0.0482
