      Step     Time          Energy         fmax
BFGS:    0 09:08:20     -302.989486        6.2239
BFGS:    1 09:47:12     -303.499624        5.4624
BFGS:    2 10:39:26     -303.945966        4.7367
BFGS:    3 12:31:22     -304.349083        4.0593
BFGS:    4 15:12:18     -304.717055        3.4382
BFGS:    5 18:12:39     -305.057960        2.8593
BFGS:    6 22:04:19     -305.375234        2.3145
BFGS:    7 01:02:02     -305.671469        1.8382
BFGS:    8 02:23:58     -305.948439        1.7600
BFGS:    9 04:06:52     -306.194515        1.6687
BFGS:   10 06:26:22     -306.403242        1.5907
BFGS:   11 08:52:37     -306.579579        1.4521
BFGS:   12 12:17:50     -306.726401        1.3015
BFGS:   13 15:33:06     -306.849358        1.1884
BFGS:   14 18:00:30     -306.951317        1.1200
BFGS:   15 20:02:26     -307.045584        1.0432
BFGS:   16 21:54:11     -307.140078        1.4572
BFGS:   17 23:42:30     -307.238088        1.9153
BFGS:   18 01:16:29     -307.344237        2.3762
BFGS:   19 03:32:54     -307.440935        2.9336
BFGS:   20 06:30:14     -307.532151        3.5561
BFGS:   21 08:25:24     -307.624195        4.1840
BFGS:   22 10:02:37     -307.749914        4.6674
BFGS:   23 11:16:07     -307.898323        4.9420
BFGS:   24 13:27:42     -308.072238        4.8644
BFGS:   25 16:06:34     -308.285194        4.3794
BFGS:   26 19:33:12     -308.517147        3.5858
BFGS:   27 20:44:53     -308.727450        2.7151
BFGS:   28 22:11:06     -308.906968        1.9267
BFGS:   29 23:38:49     -309.052157        1.2922
BFGS:   30 01:52:41     -309.172858        0.7621
BFGS:   31 04:34:50     -309.271395        0.6060
BFGS:   32 06:53:59     -309.347323        0.5534
BFGS:   33 09:51:22     -309.404357        0.4804
BFGS:   34 12:29:16     -309.442538        0.5498
BFGS:   35 15:01:21     -309.457844        0.6152
BFGS:   36 17:26:43     -309.480616        0.6050
BFGS:   37 20:42:04     -309.533192        0.4927
BFGS:   38 22:52:08     -309.571724        0.4279
BFGS:   39 00:41:11     -309.598889        0.3624
BFGS:   40 03:06:48     -309.614124        0.3281
BFGS:   41 04:58:09     -309.619934        0.2961
BFGS:   42 07:38:09     -309.628284        0.3758
BFGS:   43 10:37:58     -309.641593        0.3710
BFGS:   44 13:33:00     -309.649759        0.2820
BFGS:   45 15:45:21     -309.654969        0.3011
BFGS:   46 18:00:50     -309.662399        0.2788
BFGS:   47 20:20:51     -309.670984        0.1951
BFGS:   48 23:14:32     -309.676671        0.1501
BFGS:   49 00:40:58     -309.678713        0.1259
BFGS:   50 02:10:57     -309.680440        0.1034
BFGS:   51 03:31:20     -309.681602        0.1127
BFGS:   52 05:32:53     -309.685349        0.1508
BFGS:   53 06:54:03     -309.687450        0.1388
BFGS:   54 08:22:18     -309.689249        0.1095
BFGS:   55 09:26:12     -309.690101        0.1190
BFGS:   56 10:25:55     -309.691765        0.1252
BFGS:   57 11:23:41     -309.692999        0.0930
BFGS:   58 12:19:47     -309.694420        0.0968
BFGS:   59 13:27:26     -309.695788        0.1048
BFGS:   60 14:54:22     -309.696640        0.1364
BFGS:   61 16:51:44     -309.697932        0.0942
BFGS:   62 19:31:28     -309.699554        0.0597
BFGS:   63 21:59:45     -309.700038        0.0564
BFGS:   64 00:30:45     -309.701157        0.0598
BFGS:   65 03:21:11     -309.702117        0.0681
BFGS:   66 05:58:31     -309.703490        0.0863
BFGS:   67 08:31:04     -309.704156        0.1520
BFGS:   68 10:05:59     -309.706165        0.1217
BFGS:   69 11:51:13     -309.709121        0.1046
BFGS:   70 13:21:10     -309.712565        0.1268
BFGS:   71 14:32:15     -309.715496        0.1133
BFGS:   72 15:54:26     -309.718004        0.1069
BFGS:   73 18:07:49     -309.721566        0.0883
BFGS:   74 20:20:34     -309.724098        0.2012
