      Step     Time          Energy         fmax
BFGS:    0 07:40:31     -298.905896       16.9404
BFGS:    1 10:12:22     -300.281448       15.5069
BFGS:    2 12:01:57     -301.428278       13.1800
BFGS:    3 14:09:19     -302.542091        9.8624
BFGS:    4 16:05:36     -303.412764        9.0745
BFGS:    5 17:58:55     -304.023699        7.9104
BFGS:    6 19:53:35     -304.507092        7.4214
BFGS:    7 21:48:14     -304.898290        6.8149
BFGS:    8 23:45:43     -305.230890        6.3603
BFGS:    9 01:29:07     -305.518247        5.8485
BFGS:   10 03:16:58     -305.769815        5.4175
BFGS:   11 04:58:03     -305.994437        4.9617
BFGS:   12 06:30:47     -306.191331        4.4761
BFGS:   13 08:11:10     -306.367612        4.0659
BFGS:   14 10:08:40     -306.523182        3.6796
BFGS:   15 12:00:17     -306.662361        3.2506
BFGS:   16 13:44:12     -306.786136        3.0332
BFGS:   17 15:39:18     -306.896666        2.6054
BFGS:   18 17:15:05     -306.994268        2.4307
BFGS:   19 19:06:08     -307.082485        2.0733
BFGS:   20 20:42:30     -307.160435        1.9310
BFGS:   21 22:20:52     -307.231491        1.6315
BFGS:   22 23:30:21     -307.293903        1.5528
BFGS:   23 00:08:25     -307.353786        1.3559
BFGS:   24 00:43:02     -307.406560        1.2957
BFGS:   25 01:14:50     -307.454402        1.0779
BFGS:   26 01:46:34     -307.498502        0.9964
BFGS:   27 02:19:11     -307.539915        0.9906
BFGS:   28 02:49:05     -307.577719        0.8537
BFGS:   29 03:20:01     -307.612773        0.8138
BFGS:   30 03:51:46     -307.646700        0.7891
BFGS:   31 04:22:55     -307.677930        0.6797
BFGS:   32 04:55:37     -307.707230        0.6636
BFGS:   33 05:27:28     -307.733826        0.6473
BFGS:   34 05:56:37     -307.761003        0.5222
BFGS:   35 06:29:20     -307.786375        0.6612
BFGS:   36 07:00:18     -307.811261        0.5430
BFGS:   37 07:31:13     -307.834222        0.5689
BFGS:   38 08:02:06     -307.857507        0.5329
BFGS:   39 09:03:35     -307.879856        0.5369
BFGS:   40 10:31:56     -307.901596        0.5497
BFGS:   41 12:01:37     -307.922322        0.5499
BFGS:   42 13:28:25     -307.942200        0.5355
BFGS:   43 14:56:43     -307.961976        0.5922
BFGS:   44 16:31:54     -307.982068        0.6506
BFGS:   45 17:56:15     -308.001214        0.6240
BFGS:   46 19:24:04     -308.021251        0.5967
BFGS:   47 21:03:10     -308.041074        0.6210
BFGS:   48 22:36:16     -308.058997        0.6061
BFGS:   49 00:10:16     -308.076978        0.6390
BFGS:   50 01:49:44     -308.096224        0.6498
BFGS:   51 03:31:35     -308.116303        0.7105
BFGS:   52 05:05:14     -308.136674        0.6048
BFGS:   53 06:55:54     -308.156031        0.6020
BFGS:   54 08:48:29     -308.175534        0.6683
BFGS:   55 10:41:40     -308.195761        0.6950
BFGS:   56 12:34:07     -308.216090        0.6909
BFGS:   57 14:23:04     -308.237409        0.6954
BFGS:   58 16:12:12     -308.257787        0.7394
BFGS:   59 17:51:32     -308.278553        0.8405
BFGS:   60 19:28:03     -308.299104        0.8884
BFGS:   61 21:05:06     -308.319090        0.9192
BFGS:   62 22:48:13     -308.338674        0.9545
BFGS:   63 00:28:09     -308.357429        0.9696
BFGS:   64 01:15:17     -308.375349        0.9626
BFGS:   65 01:48:08     -308.392329        1.0029
BFGS:   66 02:19:07     -308.409089        0.9810
BFGS:   67 02:49:16     -308.424895        0.9767
BFGS:   68 03:21:09     -308.441920        0.8825
BFGS:   69 03:52:17     -308.457131        0.9433
BFGS:   70 04:24:07     -308.476025        0.8180
BFGS:   71 04:55:56     -308.494622        0.8104
BFGS:   72 05:27:49     -308.513074        0.8476
BFGS:   73 06:00:50     -308.530657        0.8399
BFGS:   74 07:19:02     -308.551326        0.7763
BFGS:   75 08:44:49     -308.571279        0.8016
BFGS:   76 10:15:38     -308.590448        0.7194
BFGS:   77 11:43:16     -308.609522        0.7366
BFGS:   78 13:13:09     -308.627344        0.7389
BFGS:   79 14:41:04     -308.648039        0.8331
BFGS:   80 16:05:43     -308.665481        0.8437
BFGS:   81 17:31:11     -308.683287        0.8713
BFGS:   82 18:59:23     -308.701121        0.9372
BFGS:   83 20:24:18     -308.720318        0.9653
BFGS:   84 21:54:24     -308.733807        0.9840
BFGS:   85 23:27:32     -308.753576        1.0166
BFGS:   86 00:53:22     -308.769650        1.0067
BFGS:   87 02:28:23     -308.785660        0.9797
BFGS:   88 04:03:27     -308.806759        0.9749
BFGS:   89 05:44:17     -308.831199        1.0770
BFGS:   90 07:19:42     -308.865060        1.2677
BFGS:   91 08:59:15     -308.905428        1.5134
BFGS:   92 10:41:39     -308.947946        1.6880
BFGS:   93 12:14:57     -308.990066        1.8177
BFGS:   94 13:53:38     -309.035127        1.9300
BFGS:   95 15:24:57     -309.083337        2.0822
BFGS:   96 16:55:31     -309.135364        2.1069
BFGS:   97 18:29:03     -309.186527        2.0856
BFGS:   98 20:01:37     -309.233883        1.9725
BFGS:   99 21:35:02     -309.283878        1.8134
BFGS:  100 23:16:09     -309.332691        1.4092
BFGS:  101 00:53:04     -309.364890        1.0346
BFGS:  102 02:24:57     -309.398842        0.9098
BFGS:  103 04:03:22     -309.436916        1.0480
BFGS:  104 05:29:36     -309.468253        1.0035
BFGS:  105 06:51:45     -309.501786        0.8037
BFGS:  106 08:16:18     -309.526956        0.6928
BFGS:  107 09:41:28     -309.543123        0.6823
BFGS:  108 11:04:11     -309.556309        0.7182
BFGS:  109 12:29:29     -309.567951        0.7370
BFGS:  110 13:50:46     -309.582935        0.7058
BFGS:  111 15:21:17     -309.601177        0.6963
BFGS:  112 16:55:11     -309.630359        0.6298
BFGS:  113 18:34:18     -309.650038        0.4397
BFGS:  114 20:09:06     -309.661695        0.5802
BFGS:  115 21:36:24     -309.676225        0.4250
BFGS:  116 23:14:02     -309.699833        0.2218
BFGS:  117 00:41:35     -309.717865        0.3186
      Step     Time          Energy         fmax
BFGS:    0 12:08:26     -309.727828        0.3909
BFGS:    1 13:26:38     -309.734502        0.3882
BFGS:    2 15:01:46     -309.743185        0.3836
BFGS:    3 16:08:27     -309.749484        0.2599
BFGS:    4 17:32:11     -309.763893        0.4314
BFGS:    5 18:48:43     -309.771251        0.6240
BFGS:    6 20:08:47     -309.780153        0.7483
BFGS:    7 21:29:45     -309.792217        0.6257
BFGS:    8 22:50:29     -309.803851        0.4479
BFGS:    9 00:10:52     -309.812961        0.2453
