      Step     Time          Energy         fmax
BFGS:    0 09:57:45     -306.468415        3.5497
BFGS:    1 13:07:41     -306.730421        2.9159
BFGS:    2 16:28:48     -306.917550        1.9715
BFGS:    3 18:45:35     -307.046619        1.2734
BFGS:    4 20:56:31     -307.132241        1.1374
BFGS:    5 22:58:58     -307.202198        1.0918
BFGS:    6 00:53:51     -307.267788        1.0728
BFGS:    7 02:33:16     -307.328962        1.0472
BFGS:    8 04:30:39     -307.384017        1.0055
BFGS:    9 06:33:48     -307.433631        0.9667
BFGS:   10 08:26:43     -307.479652        0.9228
BFGS:   11 10:19:28     -307.522903        0.8354
BFGS:   12 12:07:48     -307.560312        0.8077
BFGS:   13 13:54:38     -307.595165        0.7975
BFGS:   14 15:31:45     -307.627826        0.7338
BFGS:   15 17:24:53     -307.657563        0.6536
BFGS:   16 19:09:09     -307.687642        0.6593
BFGS:   17 20:52:10     -307.713101        0.6465
BFGS:   18 22:30:03     -307.738485        0.6193
BFGS:   19 00:07:48     -307.763867        0.5747
BFGS:   20 01:38:50     -307.786393        0.5005
BFGS:   21 03:11:18     -307.806630        0.4982
BFGS:   22 04:42:43     -307.828948        0.5083
BFGS:   23 06:19:08     -307.847020        0.5094
BFGS:   24 07:53:37     -307.867886        0.5013
BFGS:   25 09:26:33     -307.887974        0.4830
BFGS:   26 10:54:12     -307.908983        0.4719
BFGS:   27 12:27:30     -307.927841        0.4594
BFGS:   28 13:54:16     -307.952054        0.4342
BFGS:   29 15:20:18     -307.972153        0.4022
BFGS:   30 16:48:54     -307.997092        0.4076
BFGS:   31 18:17:42     -308.020124        0.3829
BFGS:   32 19:46:36     -308.042069        0.3737
BFGS:   33 21:10:36     -308.064331        0.3990
BFGS:   34 22:39:38     -308.085999        0.4179
BFGS:   35 00:13:18     -308.107218        0.4253
BFGS:   36 01:11:45     -308.124587        0.4289
BFGS:   37 01:44:27     -308.145063        0.4140
BFGS:   38 02:19:01     -308.165637        0.4169
BFGS:   39 02:52:43     -308.184438        0.4181
BFGS:   40 03:25:28     -308.205886        0.5142
BFGS:   41 03:59:07     -308.227404        0.5756
BFGS:   42 04:32:47     -308.247017        0.6033
BFGS:   43 05:09:08     -308.270033        0.6134
BFGS:   44 05:44:45     -308.291941        0.5992
BFGS:   45 06:40:28     -308.313888        0.6265
BFGS:   46 08:12:34     -308.337088        0.6242
BFGS:   47 09:49:05     -308.363121        0.5168
BFGS:   48 11:30:13     -308.383412        0.5313
BFGS:   49 13:03:20     -308.408973        0.4917
BFGS:   50 14:36:50     -308.430948        0.4673
BFGS:   51 16:06:30     -308.450033        0.4392
BFGS:   52 17:34:37     -308.474447        0.3765
BFGS:   53 19:06:29     -308.498388        0.4001
BFGS:   54 20:35:02     -308.514633        0.3992
BFGS:   55 21:58:14     -308.536691        0.3729
BFGS:   56 23:25:54     -308.549128        0.2929
BFGS:   57 00:42:56     -308.562500        0.2659
BFGS:   58 02:17:26     -308.571751        0.3078
BFGS:   59 03:39:04     -308.586951        0.2899
BFGS:   60 05:02:35     -308.600348        0.3315
BFGS:   61 06:26:19     -308.610213        0.3777
BFGS:   62 07:54:36     -308.622831        0.3544
BFGS:   63 09:19:55     -308.634490        0.2611
BFGS:   64 10:45:18     -308.642042        0.2829
BFGS:   65 12:11:14     -308.650946        0.2674
BFGS:   66 13:39:34     -308.659550        0.3179
BFGS:   67 15:02:40     -308.672790        0.4169
BFGS:   68 16:40:48     -308.685731        0.3515
BFGS:   69 18:07:14     -308.696963        0.3085
BFGS:   70 19:33:04     -308.707460        0.2250
BFGS:   71 20:57:03     -308.714655        0.2447
BFGS:   72 22:24:42     -308.721424        0.3766
BFGS:   73 23:37:25     -308.727333        0.1831
BFGS:   74 01:03:34     -308.733528        0.2043
BFGS:   75 02:28:14     -308.738078        0.2381
BFGS:   76 03:55:47     -308.742441        0.2825
BFGS:   77 05:13:28     -308.748472        0.2601
BFGS:   78 06:36:52     -308.752166        0.2242
BFGS:   79 07:50:02     -308.755338        0.1467
BFGS:   80 09:16:36     -308.762288        0.1759
BFGS:   81 10:29:14     -308.764616        0.1814
BFGS:   82 11:57:41     -308.770090        0.2187
BFGS:   83 13:21:46     -308.775349        0.2429
BFGS:   84 14:50:42     -308.780692        0.1867
BFGS:   85 16:14:36     -308.787264        0.1411
BFGS:   86 17:40:24     -308.791708        0.1451
BFGS:   87 19:09:27     -308.794725        0.1383
BFGS:   88 20:15:40     -308.796671        0.1079
BFGS:   89 21:32:02     -308.799297        0.1214
BFGS:   90 22:53:46     -308.800563        0.0758
BFGS:   91 00:26:51     -308.802773        0.0912
BFGS:   92 01:57:46     -308.805764        0.1734
BFGS:   93 03:21:48     -308.808042        0.1458
BFGS:   94 04:33:03     -308.810195        0.1357
BFGS:   95 05:48:47     -308.811574        0.0815
BFGS:   96 06:53:30     -308.812966        0.1293
BFGS:   97 08:26:54     -308.809979        0.7875
BFGS:   98 10:21:40     -308.808145        0.7506
BFGS:   99 12:30:18     -308.816705        0.4151
BFGS:  100 13:51:22     -308.817929        0.0529
BFGS:  101 14:41:00     -308.818347        0.0669
BFGS:  102 15:56:27     -308.819352        0.1358
BFGS:  103 17:09:06     -308.819807        0.1194
BFGS:  104 18:36:55     -308.820448        0.0508
BFGS:  105 19:38:59     -308.820783        0.0824
BFGS:  106 20:54:20     -308.821363        0.1262
BFGS:  107 22:07:42     -308.821800        0.0835
BFGS:  108 23:25:27     -308.822264        0.0516
BFGS:  109 00:20:48     -308.822621        0.0750
BFGS:  110 01:16:41     -308.822957        0.0765
BFGS:  111 02:13:12     -308.823317        0.0466
      Step     Time          Energy         fmax
BFGS:    0 12:52:03     -308.823316        0.0466
