      Step     Time          Energy         fmax
BFGS:    0 18:48:34     -299.071126       16.8259
BFGS:    1 21:25:39     -300.461113       15.5425
BFGS:    2 23:37:59     -301.621534       13.2003
BFGS:    3 01:42:39     -302.753293        9.8443
BFGS:    4 03:30:44     -303.614395        9.1155
BFGS:    5 04:33:12     -304.234921        7.8088
BFGS:    6 05:12:13     -304.729234        7.2575
BFGS:    7 05:51:15     -305.124163        6.6085
BFGS:    8 06:30:16     -305.455636        6.0753
BFGS:    9 07:04:52     -305.740274        5.6109
BFGS:   10 07:37:33     -305.987624        5.1422
BFGS:   11 08:12:02     -306.205153        4.6603
BFGS:   12 09:39:18     -306.396796        4.2315
BFGS:   13 11:03:10     -306.565698        3.7657
BFGS:   14 12:31:04     -306.714827        3.3858
BFGS:   15 14:01:47     -306.846323        2.9735
BFGS:   16 15:30:11     -306.962081        2.6983
BFGS:   17 16:59:16     -307.063405        2.2517
BFGS:   18 18:24:15     -307.152764        2.0747
BFGS:   19 19:52:40     -307.231367        1.6999
BFGS:   20 21:17:56     -307.299850        1.5156
BFGS:   21 22:41:27     -307.360577        1.2081
BFGS:   22 00:12:50     -307.412146        1.0560
BFGS:   23 01:33:38     -307.460406        0.8775
BFGS:   24 02:59:14     -307.500956        0.7210
BFGS:   25 04:20:55     -307.537917        0.5296
BFGS:   26 05:41:24     -307.572059        0.4600
BFGS:   27 06:57:32     -307.601290        0.4935
BFGS:   28 08:12:06     -307.629980        0.5143
BFGS:   29 09:26:10     -307.655999        0.5298
BFGS:   30 10:46:21     -307.680885        0.5408
BFGS:   31 12:04:50     -307.703610        0.5377
BFGS:   32 13:20:08     -307.727004        0.5256
BFGS:   33 14:35:07     -307.749474        0.5069
BFGS:   34 15:56:02     -307.769868        0.4864
BFGS:   35 17:11:55     -307.790687        0.4564
BFGS:   36 18:31:53     -307.811599        0.4596
BFGS:   37 19:53:28     -307.830311        0.4637
BFGS:   38 21:17:53     -307.848709        0.3939
BFGS:   39 22:41:01     -307.865292        0.4364
BFGS:   40 00:11:45     -307.883135        0.3622
BFGS:   41 01:10:06     -307.899842        0.4520
BFGS:   42 01:39:21     -307.916568        0.2874
BFGS:   43 02:11:14     -307.931762        0.3620
BFGS:   44 02:42:24     -307.946262        0.3966
BFGS:   45 03:12:30     -307.960227        0.2985
BFGS:   46 03:44:25     -307.973098        0.3325
BFGS:   47 04:15:31     -307.985469        0.2773
BFGS:   48 04:47:22     -307.995881        0.3337
BFGS:   49 05:18:38     -308.009264        0.3384
BFGS:   50 05:50:26     -308.019429        0.3332
BFGS:   51 06:53:52     -308.031985        0.3353
BFGS:   52 08:31:14     -308.042273        0.3265
BFGS:   53 10:08:27     -308.053179        0.3496
BFGS:   54 11:58:19     -308.065276        0.3956
BFGS:   55 13:40:20     -308.077306        0.3678
BFGS:   56 15:18:12     -308.089313        0.3766
BFGS:   57 16:53:53     -308.102922        0.3820
BFGS:   58 18:34:55     -308.113264        0.3885
BFGS:   59 20:24:23     -308.127576        0.4062
BFGS:   60 22:12:19     -308.144066        0.4569
BFGS:   61 00:02:12     -308.158150        0.4436
BFGS:   62 01:54:10     -308.180435        0.5826
BFGS:   63 03:42:51     -308.199593        0.5970
BFGS:   64 05:35:50     -308.222027        0.4721
BFGS:   65 07:27:52     -308.243266        0.4389
BFGS:   66 09:08:51     -308.264085        0.4123
BFGS:   67 10:46:12     -308.280980        0.4267
BFGS:   68 12:17:50     -308.295874        0.5191
BFGS:   69 13:48:13     -308.307919        0.6657
BFGS:   70 15:21:26     -308.324081        0.7211
BFGS:   71 16:58:37     -308.341383        0.7266
BFGS:   72 18:35:42     -308.363308        0.6431
