      Step     Time          Energy         fmax
BFGS:    0 15:26:54     -296.653934       25.3129
BFGS:    1 18:17:16     -298.530776       18.8782
BFGS:    2 20:31:43     -299.902739       15.4211
BFGS:    3 22:25:00     -301.031414       13.3413
BFGS:    4 01:01:10     -301.864437       12.1279
BFGS:    5 04:00:21     -302.651923       11.0508
BFGS:    6 07:01:58     -303.310715       10.0097
BFGS:    7 08:57:58     -303.925577        8.9834
BFGS:    8 11:03:25     -304.457878        8.0657
BFGS:    9 13:21:14     -304.940047        7.2019
BFGS:   10 15:36:45     -305.361320        6.4632
BFGS:   11 17:41:45     -305.731895        5.7687
BFGS:   12 20:56:33     -306.058345        5.1700
BFGS:   13 23:37:07     -306.345499        4.5161
BFGS:   14 01:31:50     -306.602257        4.0860
BFGS:   15 03:29:53     -306.827455        3.5477
BFGS:   16 06:01:24     -307.027934        3.1455
BFGS:   17 07:22:37     -307.204152        2.6868
BFGS:   18 10:07:50     -307.360847        2.2965
BFGS:   19 12:06:48     -307.497808        1.8852
BFGS:   20 14:03:12     -307.619686        1.5656
BFGS:   21 15:40:47     -307.725809        1.2318
BFGS:   22 17:26:21     -307.820613        1.0330
BFGS:   23 19:08:03     -307.902571        0.9545
BFGS:   24 20:36:38     -307.976625        0.9171
BFGS:   25 23:13:07     -308.044195        0.7765
BFGS:   26 01:46:56     -308.104405        0.7288
BFGS:   27 04:18:24     -308.161290        0.7255
BFGS:   28 05:54:30     -308.211883        0.6968
BFGS:   29 07:17:17     -308.256607        0.6467
BFGS:   30 09:11:39     -308.296333        0.5740
BFGS:   31 11:24:37     -308.328959        0.5447
BFGS:   32 14:08:07     -308.357630        0.4760
BFGS:   33 16:20:04     -308.380733        0.4740
BFGS:   34 18:09:02     -308.402541        0.4208
BFGS:   35 20:51:50     -308.420667        0.3793
BFGS:   36 23:53:07     -308.435482        0.3026
BFGS:   37 03:47:18     -308.448780        0.2953
BFGS:   38 07:42:15     -308.461240        0.2711
BFGS:   39 10:58:21     -308.472006        0.2598
BFGS:   40 13:43:34     -308.485905        0.2928
BFGS:   41 16:45:28     -308.495508        0.2939
BFGS:   42 19:00:20     -308.502745        0.2573
BFGS:   43 20:51:55     -308.512617        0.3548
BFGS:   44 23:25:57     -308.518718        0.3041
BFGS:   45 01:02:42     -308.522169        0.2011
BFGS:   46 02:25:37     -308.526529        0.2493
BFGS:   47 04:39:45     -308.536011        0.2558
BFGS:   48 06:56:04     -308.541892        0.2527
BFGS:   49 09:38:36     -308.544686        0.2425
BFGS:   50 11:18:21     -308.548441        0.1997
BFGS:   51 13:16:40     -308.555885        0.2427
BFGS:   52 15:06:01     -308.562985        0.4064
BFGS:   53 16:55:10     -308.572568        0.4598
