      Step     Time          Energy         fmax
BFGS:    0 04:51:02     -325.695526       14.3028
BFGS:    1 05:45:13     -326.502321       12.3888
BFGS:    2 06:23:12     -327.165100       10.7891
BFGS:    3 07:08:01     -327.770631        9.1823
BFGS:    4 07:40:51     -328.273687        7.8381
BFGS:    5 09:17:20     -328.707451        6.6544
BFGS:    6 10:47:01     -329.073629        5.6299
BFGS:    7 12:23:09     -329.384487        4.7344
BFGS:    8 14:00:45     -329.649823        3.9766
BFGS:    9 15:34:37     -329.873075        3.3359
BFGS:   10 17:02:47     -330.061376        2.7841
BFGS:   11 18:36:22     -330.220468        2.3094
BFGS:   12 20:08:24     -330.353903        1.9115
BFGS:   13 21:39:36     -330.466304        1.5944
BFGS:   14 23:06:52     -330.558181        1.2993
BFGS:   15 00:24:18     -330.634797        1.0807
BFGS:   16 01:42:32     -330.698092        0.8757
BFGS:   17 02:55:20     -330.750972        0.7299
BFGS:   18 04:14:32     -330.795159        0.5851
BFGS:   19 05:34:05     -330.831003        0.4801
BFGS:   20 06:52:51     -330.860871        0.3960
BFGS:   21 08:06:55     -330.883987        0.3167
BFGS:   22 09:25:22     -330.902816        0.2685
BFGS:   23 10:44:31     -330.917547        0.2272
BFGS:   24 12:00:02     -330.928463        0.2147
BFGS:   25 13:22:16     -330.937925        0.2341
BFGS:   26 14:38:29     -330.945086        0.2037
BFGS:   27 15:58:41     -330.950475        0.2562
BFGS:   28 17:30:33     -330.955392        0.2693
BFGS:   29 18:53:01     -330.959405        0.2328
BFGS:   30 20:29:07     -330.964606        0.2015
BFGS:   31 22:08:27     -330.968726        0.2432
BFGS:   32 23:57:44     -330.973723        0.2632
BFGS:   33 01:50:02     -330.982951        0.3172
BFGS:   34 03:39:44     -330.988395        0.3505
      Step     Time          Energy         fmax
BFGS:    0 05:25:20     -330.994431        0.3291
BFGS:    1 05:58:02     -331.000854        0.2091
BFGS:    2 06:32:57     -331.003373        0.2440
BFGS:    3 06:51:50     -331.005832        0.1979
BFGS:    4 07:18:25     -331.009007        0.4296
BFGS:    5 07:43:37     -331.011912        0.4061
BFGS:    6 08:07:28     -331.013397        0.1877
BFGS:    7 08:34:01     -331.014886        0.0900
BFGS:    8 09:04:31     -331.017261        0.3082
BFGS:    9 09:26:14     -331.019289        0.3839
BFGS:   10 09:52:10     -331.022452        0.4569
BFGS:   11 10:15:53     -331.027282        0.3265
BFGS:   12 10:41:07     -331.030705        0.2182
BFGS:   13 11:04:49     -331.032423        0.0946
BFGS:   14 11:20:17     -331.033167        0.1133
BFGS:   15 11:46:07     -331.032375        0.3599
BFGS:   16 12:04:20     -331.034309        0.1843
BFGS:   17 12:33:35     -331.032720        0.2415
BFGS:   18 12:55:53     -331.035973        0.0568
BFGS:   19 13:19:39     -331.035906        0.1427
BFGS:   20 13:36:26     -331.036807        0.0954
BFGS:   21 13:58:03     -331.038756        0.0766
BFGS:   22 14:17:37     -331.040634        0.2146
BFGS:   23 14:43:20     -331.043624        0.5641
BFGS:   24 15:07:38     -331.046858        0.5495
BFGS:   25 15:38:09     -331.050352        0.2734
BFGS:   26 16:12:06     -331.051201        0.0703
BFGS:   27 16:33:00     -331.051579        0.0685
BFGS:   28 16:53:55     -331.052361        0.1501
BFGS:   29 17:17:32     -331.052599        0.3777
BFGS:   30 17:41:11     -331.053316        0.1391
BFGS:   31 17:57:15     -331.053886        0.1515
BFGS:   32 18:25:47     -331.054682        0.2153
BFGS:   33 18:53:38     -331.056170        0.1604
BFGS:   34 19:20:05     -331.056498        0.1540
BFGS:   35 19:38:16     -331.057160        0.0721
BFGS:   36 19:55:47     -331.057832        0.0552
BFGS:   37 20:30:37     -331.059198        0.2152
BFGS:   38 20:52:20     -331.061013        0.1380
BFGS:   39 21:17:28     -331.063181        0.1446
BFGS:   40 21:43:22     -331.063198        0.1448
BFGS:   41 22:05:06     -331.064789        0.1474
BFGS:   42 22:34:25     -331.068896        0.2983
BFGS:   43 23:03:00     -331.075340        0.2693
BFGS:   44 23:31:35     -331.080999        0.3244
BFGS:   45 00:01:31     -331.086363        0.4703
BFGS:   46 00:30:40     -331.093662        0.4401
BFGS:   47 00:58:34     -331.096919        0.4825
BFGS:   48 01:23:36     -331.101388        0.5951
BFGS:   49 01:52:47     -331.106339        0.4072
BFGS:   50 02:22:45     -331.114737        0.2350
BFGS:   51 02:54:12     -331.126123        0.4138
BFGS:   52 03:23:26     -331.138876        0.5644
BFGS:   53 03:52:01     -331.146547        0.5139
BFGS:   54 04:19:16     -331.150906        0.6113
BFGS:   55 04:54:54     -331.160980        0.4929
BFGS:   56 05:33:43     -331.170645        0.1690
BFGS:   57 06:07:46     -331.175115        0.1781
BFGS:   58 06:38:21     -331.178433        0.0736
BFGS:   59 07:01:21     -331.179699        0.1147
BFGS:   60 07:24:25     -331.180740        0.0828
BFGS:   61 07:46:45     -331.180940        0.1507
BFGS:   62 08:13:14     -331.180794        0.2206
BFGS:   63 08:35:33     -331.182058        0.1252
BFGS:   64 08:59:57     -331.181908        0.2878
BFGS:   65 09:20:18     -331.182948        0.1807
BFGS:   66 09:44:40     -331.183321        0.2022
BFGS:   67 10:01:25     -331.184330        0.0956
BFGS:   68 10:23:01     -331.186930        0.1799
BFGS:   69 10:45:58     -331.188409        0.1530
BFGS:   70 11:09:35     -331.189422        0.1382
BFGS:   71 11:38:09     -331.190926        0.0962
BFGS:   72 11:56:25     -331.191730        0.0518
BFGS:   73 12:16:40     -331.192468        0.1268
BFGS:   74 12:34:13     -331.192815        0.1506
BFGS:   75 12:52:22     -331.193287        0.1329
BFGS:   76 13:11:58     -331.194288        0.1095
BFGS:   77 13:41:07     -331.194903        0.0968
BFGS:   78 14:02:50     -331.196228        0.0985
BFGS:   79 14:25:51     -331.197352        0.0499
