      Step     Time          Energy         fmax
BFGS:    0 04:54:07     -325.538278       14.3468
BFGS:    1 05:59:38     -326.345215       12.4434
BFGS:    2 06:39:23     -327.004115       10.8463
BFGS:    3 07:25:46     -327.604922        9.2462
BFGS:    4 08:41:55     -328.105152        7.9011
BFGS:    5 10:29:22     -328.535784        6.7155
BFGS:    6 12:07:23     -328.901744        5.6830
BFGS:    7 13:43:36     -329.211084        4.7812
BFGS:    8 15:24:58     -329.476687        4.0148
BFGS:    9 16:58:00     -329.702008        3.3627
BFGS:   10 18:31:14     -329.894378        2.7948
BFGS:   11 19:58:38     -330.057304        2.3042
BFGS:   12 21:27:12     -330.193500        1.8991
BFGS:   13 22:55:21     -330.310265        1.5687
BFGS:   14 00:22:10     -330.407883        1.2666
BFGS:   15 01:50:23     -330.490120        1.0963
BFGS:   16 03:15:51     -330.558270        0.9104
BFGS:   17 04:42:40     -330.616387        0.8574
BFGS:   18 06:08:16     -330.665034        0.8064
BFGS:   19 07:34:01     -330.705132        0.6663
BFGS:   20 08:54:25     -330.739321        0.6270
BFGS:   21 10:20:58     -330.768134        0.6436
BFGS:   22 11:43:00     -330.790738        0.5033
BFGS:   23 13:10:53     -330.810285        0.4479
BFGS:   24 14:36:42     -330.826042        0.4216
BFGS:   25 16:12:31     -330.838745        0.3868
BFGS:   26 17:48:48     -330.848553        0.4229
BFGS:   27 19:29:38     -330.856966        0.1783
BFGS:   28 21:05:49     -330.863018        0.2512
BFGS:   29 22:43:30     -330.866483        0.1422
BFGS:   30 00:20:09     -330.871019        0.2149
BFGS:   31 01:57:59     -330.872715        0.2616
BFGS:   32 03:37:18     -330.874450        0.1364
BFGS:   33 05:10:48     -330.876363        0.1143
BFGS:   34 06:16:57     -330.877903        0.2346
BFGS:   35 08:17:40     -330.884499        0.3659
BFGS:   36 10:20:36     -330.887400        0.4002
BFGS:   37 11:38:41     -330.891569        0.2792
BFGS:   38 12:51:45     -330.894705        0.1862
BFGS:   39 14:27:51     -330.895767        0.2625
BFGS:   40 16:02:39     -330.895715        0.3186
BFGS:   41 17:08:42     -330.898311        0.1324
BFGS:   42 18:30:53     -330.898393        0.1343
BFGS:   43 19:33:12     -330.899535        0.0493
