      Step     Time          Energy         fmax
BFGS:    0 05:13:44     -326.645308       11.4358
BFGS:    1 06:06:19     -327.361015        9.5441
BFGS:    2 06:44:20     -327.872046        8.2162
BFGS:    3 07:17:11     -328.313692        7.0229
BFGS:    4 08:05:12     -328.687869        6.0254
BFGS:    5 09:34:25     -329.001649        5.1507
BFGS:    6 10:55:09     -329.270828        4.4300
BFGS:    7 12:11:24     -329.498246        3.7776
BFGS:    8 13:27:08     -329.694801        3.2477
BFGS:    9 14:40:29     -329.862585        2.7574
BFGS:   10 16:06:18     -330.006390        2.3738
BFGS:   11 17:26:37     -330.129736        2.0078
BFGS:   12 18:50:32     -330.235908        1.7163
BFGS:   13 20:11:37     -330.328309        1.4424
BFGS:   14 21:31:44     -330.408812        1.2362
BFGS:   15 22:57:24     -330.477559        1.0407
BFGS:   16 00:27:50     -330.536960        0.8702
BFGS:   17 02:04:18     -330.588108        0.7298
BFGS:   18 03:34:59     -330.633100        0.6245
BFGS:   19 05:08:17     -330.672386        0.5223
BFGS:   20 06:49:42     -330.706324        0.4318
BFGS:   21 08:17:36     -330.736081        0.3572
BFGS:   22 09:45:30     -330.761991        0.3183
BFGS:   23 11:21:18     -330.785698        0.2692
BFGS:   24 12:51:58     -330.806332        0.2639
BFGS:   25 14:29:15     -330.825073        0.2614
BFGS:   26 16:04:48     -330.842558        0.2629
BFGS:   27 17:40:59     -330.858385        0.2570
BFGS:   28 19:05:07     -330.873078        0.2624
BFGS:   29 20:43:19     -330.887128        0.2787
BFGS:   30 22:13:59     -330.900665        0.2737
BFGS:   31 23:47:26     -330.913677        0.3309
BFGS:   32 01:18:22     -330.925625        0.2811
BFGS:   33 02:51:51     -330.936681        0.3469
BFGS:   34 04:19:24     -330.946590        0.3114
BFGS:   35 05:47:23     -330.957229        0.3700
BFGS:   36 07:17:59     -330.967173        0.3031
BFGS:   37 08:57:21     -330.975127        0.3541
BFGS:   38 10:30:13     -330.981223        0.2243
BFGS:   39 11:54:17     -330.984950        0.2142
BFGS:   40 13:22:55     -330.986858        0.1997
BFGS:   41 14:26:18     -330.989635        0.1845
BFGS:   42 16:06:59     -330.997592        0.3271
BFGS:   43 17:48:55     -331.005942        0.3782
BFGS:   44 19:29:01     -331.013902        0.2574
BFGS:   45 21:09:19     -331.019864        0.1710
BFGS:   46 22:42:52     -331.022996        0.2716
BFGS:   47 23:32:49     -331.025390        0.2065
BFGS:   48 00:03:07     -331.038464        0.2066
BFGS:   49 00:31:40     -331.047927        0.2347
BFGS:   50 00:59:30     -331.057311        0.1846
BFGS:   51 02:16:29     -331.064932        0.1435
BFGS:   52 03:37:50     -331.069269        0.1560
BFGS:   53 05:01:31     -331.072955        0.1945
BFGS:   54 06:25:41     -331.074795        0.2241
BFGS:   55 07:43:40     -331.077881        0.2357
BFGS:   56 09:14:12     -331.081468        0.2666
BFGS:   57 10:14:20     -331.084623        0.2621
BFGS:   58 12:05:00     -331.098976        0.2190
BFGS:   59 13:49:53     -331.110135        0.3294
BFGS:   60 15:31:20     -331.117224        0.3751
BFGS:   61 17:07:27     -331.121254        0.2873
BFGS:   62 18:24:16     -331.124338        0.1884
BFGS:   63 19:42:36     -331.129172        0.2118
BFGS:   64 21:11:12     -331.133255        0.3586
BFGS:   65 22:32:59     -331.134586        0.3797
