      Step     Time          Energy         fmax
BFGS:    0 16:44:48     -326.810571       10.7810
BFGS:    1 19:33:30     -327.488672        9.0241
BFGS:    2 21:48:00     -327.970348        7.8644
BFGS:    3 23:47:08     -328.382317        6.7965
BFGS:    4 01:46:52     -328.735495        5.8780
BFGS:    5 03:43:46     -329.029465        5.0655
BFGS:    6 05:30:02     -329.283588        4.3818
BFGS:    7 07:16:09     -329.502189        3.7665
BFGS:    8 08:45:44     -329.687637        3.2526
BFGS:    9 10:24:02     -329.849913        2.8029
BFGS:   10 11:57:42     -329.989566        2.4120
BFGS:   11 13:31:11     -330.110828        2.0736
BFGS:   12 15:00:52     -330.215735        1.7900
BFGS:   13 16:31:01     -330.307682        1.5323
BFGS:   14 18:01:19     -330.386538        1.3126
BFGS:   15 19:35:14     -330.455534        1.1285
BFGS:   16 21:08:43     -330.516086        0.9631
BFGS:   17 22:32:17     -330.568670        0.8210
BFGS:   18 00:00:53     -330.615032        0.7080
BFGS:   19 01:37:44     -330.654978        0.6005
BFGS:   20 02:59:50     -330.690511        0.5138
BFGS:   21 04:23:15     -330.721834        0.4395
BFGS:   22 05:56:56     -330.749067        0.3699
BFGS:   23 07:28:54     -330.773748        0.3208
BFGS:   24 08:52:32     -330.795993        0.2819
BFGS:   25 10:21:02     -330.815942        0.2559
BFGS:   26 11:48:13     -330.833982        0.2690
BFGS:   27 13:20:50     -330.850978        0.2931
BFGS:   28 14:57:03     -330.866576        0.3019
BFGS:   29 16:21:17     -330.881409        0.3033
BFGS:   30 17:46:48     -330.895303        0.3156
BFGS:   31 19:14:31     -330.908602        0.3076
BFGS:   32 20:43:44     -330.921369        0.2947
BFGS:   33 22:17:22     -330.933036        0.4022
BFGS:   34 23:30:48     -330.945701        0.4888
BFGS:   35 00:02:00     -330.957468        0.3949
BFGS:   36 00:32:21     -330.968153        0.4430
BFGS:   37 01:01:55     -330.979425        0.3933
BFGS:   38 02:27:24     -330.989673        0.3953
BFGS:   39 03:55:47     -330.998307        0.3821
BFGS:   40 05:24:18     -331.005497        0.2745
BFGS:   41 06:52:14     -331.011031        0.2594
BFGS:   42 08:18:40     -331.015327        0.2342
BFGS:   43 09:32:06     -331.017439        0.2184
BFGS:   44 11:10:49     -331.025088        0.3315
BFGS:   45 12:48:52     -331.032919        0.3562
BFGS:   46 14:26:15     -331.039064        0.2694
BFGS:   47 15:50:08     -331.042742        0.1856
BFGS:   48 17:09:52     -331.044564        0.2605
BFGS:   49 18:05:21     -331.046315        0.2428
BFGS:   50 19:40:22     -331.055449        0.3052
BFGS:   51 21:17:42     -331.063761        0.3780
BFGS:   52 22:42:58     -331.073077        0.3326
