      Step     Time          Energy         fmax
BFGS:    0 04:50:55     -242.589972       23.7762
BFGS:    1 07:20:52     -244.433036       19.9869
BFGS:    2 09:56:58     -245.707628       18.3966
BFGS:    3 12:49:30     -246.809433       16.6860
BFGS:    4 15:25:18     -247.788526       14.8965
BFGS:    5 17:58:42     -248.646345       13.1015
BFGS:    6 20:29:49     -249.373280       11.3340
BFGS:    7 23:07:31     -249.999250        9.7654
BFGS:    8 01:30:09     -250.527749        8.3521
BFGS:    9 03:57:53     -250.970621        7.1219
BFGS:   10 06:10:23     -251.339673        6.0191
BFGS:   11 08:03:45     -251.646792        5.0294
BFGS:   12 09:57:21     -251.900327        4.2780
BFGS:   13 11:45:47     -252.110437        3.5694
BFGS:   14 13:23:44     -252.281927        2.8932
BFGS:   15 14:57:02     -252.427278        2.4538
BFGS:   16 16:33:42     -252.545884        2.0355
BFGS:   17 18:20:24     -252.645802        1.6615
BFGS:   18 19:42:39     -252.728414        1.3662
BFGS:   19 21:05:09     -252.800081        1.1851
BFGS:   20 22:28:23     -252.860516        1.0499
BFGS:   21 23:29:27     -252.912730        1.0118
BFGS:   22 23:58:10     -252.962844        0.9585
BFGS:   23 00:28:42     -253.004316        0.8609
BFGS:   24 00:58:20     -253.043949        0.8210
BFGS:   25 02:20:41     -253.079016        0.7746
BFGS:   26 03:51:40     -253.112042        0.6935
BFGS:   27 05:20:33     -253.142080        0.6727
BFGS:   28 06:52:20     -253.171779        0.6743
BFGS:   29 08:29:50     -253.200207        0.6108
BFGS:   30 10:08:16     -253.225816        0.5963
BFGS:   31 11:47:14     -253.252134        0.5256
BFGS:   32 13:22:51     -253.277041        0.5638
BFGS:   33 15:02:00     -253.295867        0.5770
BFGS:   34 16:43:24     -253.315742        0.5845
BFGS:   35 18:17:58     -253.332468        0.6224
BFGS:   36 19:56:06     -253.349382        0.6479
BFGS:   37 21:36:13     -253.365232        0.7170
BFGS:   38 23:18:35     -253.376539        0.8267
BFGS:   39 01:00:52     -253.393826        0.6811
BFGS:   40 02:49:56     -253.406059        0.7910
BFGS:   41 04:35:56     -253.420472        0.7244
BFGS:   42 06:28:14     -253.434094        0.6481
BFGS:   43 08:12:17     -253.449997        0.5326
BFGS:   44 09:56:11     -253.466080        0.4924
BFGS:   45 11:50:51     -253.480122        0.4338
BFGS:   46 13:41:30     -253.496328        0.4034
BFGS:   47 15:39:07     -253.512385        0.4487
BFGS:   48 17:42:05     -253.525065        0.4608
BFGS:   49 19:39:40     -253.542046        0.9200
BFGS:   50 21:32:16     -253.554800        1.0189
BFGS:   51 23:29:18     -253.567469        0.9776
BFGS:   52 01:17:39     -253.582153        0.8940
BFGS:   53 03:08:05     -253.596402        0.8795
BFGS:   54 05:02:05     -253.613507        0.8614
BFGS:   55 06:48:47     -253.629949        0.8187
BFGS:   56 08:37:53     -253.649918        0.8253
BFGS:   57 10:24:19     -253.667581        0.9818
BFGS:   58 12:08:55     -253.690233        1.0735
BFGS:   59 13:52:58     -253.709589        1.2200
BFGS:   60 15:34:28     -253.742213        1.2491
BFGS:   61 17:22:44     -253.768693        1.5330
BFGS:   62 19:17:19     -253.810965        1.4755
BFGS:   63 21:07:56     -253.856185        1.0115
BFGS:   64 22:53:03     -253.885451        0.4646
BFGS:   65 00:38:34     -253.901798        0.3199
BFGS:   66 02:19:52     -253.914789        0.3594
BFGS:   67 04:01:31     -253.923523        0.3956
BFGS:   68 05:33:10     -253.930604        0.2370
BFGS:   69 06:58:34     -253.941327        0.3902
BFGS:   70 08:20:51     -253.947480        0.5137
BFGS:   71 10:17:44     -253.956887        0.4658
BFGS:   72 11:24:54     -253.959165        0.2780
BFGS:   73 12:31:01     -253.961434        0.1125
BFGS:   74 13:54:45     -253.965214        0.3983
BFGS:   75 15:36:34     -253.967513        0.8715
BFGS:   76 16:37:05     -253.970759        0.7252
BFGS:   77 18:24:21     -253.984331        0.2511
BFGS:   78 20:04:42     -253.993050        0.2694
BFGS:   79 21:42:37     -254.000507        0.2433
BFGS:   80 23:26:57     -254.007494        0.1502
BFGS:   81 01:13:35     -254.012195        0.1576
BFGS:   82 02:49:23     -254.013929        0.1752
BFGS:   83 04:22:09     -254.015287        0.2450
BFGS:   84 05:36:31     -254.017478        0.2195
BFGS:   85 06:59:48     -254.020855        0.4223
BFGS:   86 08:10:58     -254.024281        0.5219
BFGS:   87 09:52:45     -254.030978        0.5338
BFGS:   88 11:29:04     -254.038082        0.3517
BFGS:   89 12:41:36     -254.042059        0.3381
BFGS:   90 14:19:20     -254.046863        0.3150
BFGS:   91 15:46:07     -254.051070        0.2629
