      Step     Time          Energy         fmax
BFGS:    0 16:12:41     -242.360997       27.4608
BFGS:    1 18:49:29     -244.222224       22.7488
BFGS:    2 21:19:38     -245.455733       20.2447
BFGS:    3 23:34:05     -246.598074       17.9886
BFGS:    4 02:04:37     -247.591271       15.8747
BFGS:    5 05:00:33     -248.475052       13.7734
BFGS:    6 07:38:05     -249.251527       11.8548
BFGS:    7 10:11:16     -249.919961       10.1684
BFGS:    8 12:23:54     -250.491306        8.5776
BFGS:    9 14:37:01     -250.977812        7.2417
BFGS:   10 16:40:37     -251.382071        6.0964
BFGS:   11 18:34:46     -251.719859        5.1692
BFGS:   12 20:17:29     -251.994864        4.4173
BFGS:   13 21:55:55     -252.220167        3.6723
BFGS:   14 22:54:58     -252.409852        3.1342
BFGS:   15 23:27:00     -252.568568        2.6112
BFGS:   16 00:01:35     -252.703034        2.2794
BFGS:   17 00:31:10     -252.814440        1.8787
BFGS:   18 01:03:52     -252.909074        1.6579
BFGS:   19 02:27:21     -252.988909        1.4211
BFGS:   20 03:56:15     -253.057311        1.2354
BFGS:   21 05:25:26     -253.114576        1.0011
BFGS:   22 06:49:39     -253.165073        0.9709
BFGS:   23 08:09:57     -253.206702        0.7535
BFGS:   24 09:32:46     -253.242776        0.6723
BFGS:   25 10:50:41     -253.274622        0.5996
BFGS:   26 12:10:16     -253.301990        0.5440
BFGS:   27 13:25:17     -253.326615        0.5841
BFGS:   28 14:37:21     -253.347734        0.5133
BFGS:   29 15:49:49     -253.365659        0.4230
BFGS:   30 17:04:54     -253.383505        0.3945
BFGS:   31 18:26:41     -253.397383        0.3810
BFGS:   32 19:45:37     -253.411915        0.3733
BFGS:   33 21:06:12     -253.427818        0.3383
BFGS:   34 22:29:24     -253.440674        0.3152
BFGS:   35 00:01:25     -253.451981        0.2900
BFGS:   36 01:29:03     -253.462268        0.2642
BFGS:   37 03:02:34     -253.470833        0.3608
BFGS:   38 04:31:21     -253.478017        0.3023
BFGS:   39 05:55:27     -253.484491        0.1941
BFGS:   40 07:32:49     -253.490257        0.1562
BFGS:   41 09:14:49     -253.493150        0.1848
BFGS:   42 10:19:08     -253.494740        0.1790
BFGS:   43 12:09:39     -253.502846        0.3760
BFGS:   44 13:41:19     -253.508342        0.3876
BFGS:   45 15:21:28     -253.515318        0.3435
BFGS:   46 16:56:21     -253.520898        0.2885
BFGS:   47 18:41:49     -253.525015        0.3263
BFGS:   48 19:42:50     -253.527026        0.3059
BFGS:   49 21:18:52     -253.542511        0.2203
BFGS:   50 22:53:12     -253.552345        0.3441
BFGS:   51 00:33:46     -253.560518        0.4842
BFGS:   52 02:12:41     -253.567211        0.5055
BFGS:   53 03:55:35     -253.574539        0.6717
BFGS:   54 05:38:28     -253.585126        0.4527
BFGS:   55 07:11:33     -253.592393        0.4625
BFGS:   56 08:47:30     -253.601036        0.4034
BFGS:   57 10:19:49     -253.607525        0.3157
BFGS:   58 11:47:26     -253.614646        0.2428
BFGS:   59 13:18:41     -253.619064        0.2230
BFGS:   60 14:41:58     -253.620304        0.3409
BFGS:   61 15:47:12     -253.624637        0.2294
BFGS:   62 17:12:53     -253.633165        0.1839
BFGS:   63 18:36:15     -253.639899        0.1318
BFGS:   64 20:05:41     -253.644351        0.1486
BFGS:   65 21:22:15     -253.646627        0.0930
BFGS:   66 23:05:53     -253.649154        0.2362
BFGS:   67 00:07:57     -253.650300        0.1595
BFGS:   68 01:29:00     -253.651553        0.1856
BFGS:   69 02:36:31     -253.652927        0.1071
BFGS:   70 03:47:51     -253.654243        0.1591
BFGS:   71 05:17:23     -253.656277        0.2099
BFGS:   72 06:57:47     -253.659025        0.2145
BFGS:   73 08:29:39     -253.660869        0.1774
BFGS:   74 10:20:08     -253.662391        0.1904
BFGS:   75 11:45:52     -253.663758        0.0923
BFGS:   76 12:45:54     -253.664304        0.0847
BFGS:   77 13:44:00     -253.664629        0.0877
BFGS:   78 14:44:56     -253.665040        0.0992
BFGS:   79 16:11:39     -253.665237        0.0642
BFGS:   80 17:14:51     -253.666030        0.0846
BFGS:   81 18:13:05     -253.666276        0.0707
BFGS:   82 19:05:53     -253.666447        0.0634
BFGS:   83 20:02:21     -253.666646        0.0445
