      Step     Time          Energy         fmax
BFGS:    0 01:12:05     -244.462999       24.4822
      Step     Time          Energy         fmax
BFGS:    0 05:50:18     -246.046292       21.3776
BFGS:    1 06:19:36     -247.206256       18.7953
BFGS:    2 06:55:14     -248.250909       15.9402
BFGS:    3 07:21:56     -249.117718       13.3393
BFGS:    4 07:55:58     -249.851844       11.1248
BFGS:    5 08:27:16     -250.464836        9.2152
BFGS:    6 08:53:48     -250.976085        7.5858
BFGS:    7 09:20:55     -251.401560        6.1864
BFGS:    8 09:48:47     -251.759990        5.1179
BFGS:    9 10:15:27     -252.059804        4.1148
BFGS:   10 10:43:31     -252.312777        3.3361
BFGS:   11 11:09:30     -252.522804        2.7092
BFGS:   12 11:35:28     -252.696199        2.1753
BFGS:   13 11:59:50     -252.841212        1.9331
BFGS:   14 12:25:10     -252.960443        1.5943
BFGS:   15 12:50:58     -253.060043        1.5184
BFGS:   16 13:16:09     -253.141732        1.2589
BFGS:   17 13:41:19     -253.207852        1.0572
BFGS:   18 14:07:54     -253.260581        0.9296
BFGS:   19 14:34:27     -253.303838        0.7758
BFGS:   20 15:01:41     -253.335707        0.6933
BFGS:   21 15:28:12     -253.362196        0.4627
BFGS:   22 15:53:23     -253.379726        0.3098
BFGS:   23 16:20:03     -253.393237        0.3715
BFGS:   24 16:47:55     -253.402609        0.1402
BFGS:   25 17:14:26     -253.406596        0.2358
BFGS:   26 17:40:54     -253.407885        0.2897
BFGS:   27 18:10:47     -253.409840        0.1096
BFGS:   28 18:24:46     -253.410904        0.1444
BFGS:   29 18:54:02     -253.419100        0.4030
BFGS:   30 19:23:58     -253.431382        0.4539
BFGS:   31 19:58:42     -253.436761        0.2932
BFGS:   32 20:28:01     -253.442435        0.2085
BFGS:   33 20:51:41     -253.446091        0.3355
BFGS:   34 21:14:03     -253.447970        0.2674
BFGS:   35 21:37:07     -253.453412        0.2556
BFGS:   36 22:02:16     -253.456545        0.5068
BFGS:   37 22:19:07     -253.458243        0.4069
BFGS:   38 22:44:10     -253.464616        0.3696
BFGS:   39 23:09:24     -253.469580        0.4005
BFGS:   40 23:36:40     -253.473832        0.4686
BFGS:   41 00:05:22     -253.480987        0.4039
BFGS:   42 00:32:33     -253.487021        0.3219
BFGS:   43 01:00:22     -253.493585        0.2892
BFGS:   44 01:30:16     -253.495923        0.2211
BFGS:   45 01:58:07     -253.500280        0.1921
BFGS:   46 02:14:13     -253.501353        0.1247
BFGS:   47 02:37:52     -253.504099        0.2589
BFGS:   48 02:58:04     -253.505773        0.3127
BFGS:   49 03:25:51     -253.509619        0.4278
BFGS:   50 03:49:29     -253.513779        0.4336
BFGS:   51 04:14:33     -253.515725        0.4295
BFGS:   52 04:38:16     -253.520954        0.2992
BFGS:   53 05:07:21     -253.523235        0.8454
BFGS:   54 05:24:43     -253.526318        0.4855
BFGS:   55 05:46:56     -253.530554        0.1765
BFGS:   56 06:09:56     -253.534235        0.1599
BFGS:   57 06:33:38     -253.537423        0.3396
BFGS:   58 06:56:01     -253.538279        0.5176
BFGS:   59 07:16:24     -253.540391        0.3775
BFGS:   60 07:39:34     -253.542740        0.1457
BFGS:   61 08:01:23     -253.545025        0.1674
BFGS:   62 08:29:21     -253.546979        0.4814
BFGS:   63 08:58:48     -253.550860        0.3490
BFGS:   64 09:24:05     -253.556647        0.3390
BFGS:   65 09:51:27     -253.567293        0.3660
BFGS:   66 10:21:33     -253.577177        0.3655
BFGS:   67 10:50:14     -253.586253        0.3775
BFGS:   68 11:20:11     -253.594231        0.2746
BFGS:   69 11:50:39     -253.602686        0.2731
BFGS:   70 12:20:30     -253.609031        0.3751
BFGS:   71 12:47:44     -253.615089        0.5874
BFGS:   72 13:14:59     -253.618476        0.8045
BFGS:   73 13:40:45     -253.623452        0.7376
BFGS:   74 14:10:01     -253.628510        0.7856
BFGS:   75 14:37:57     -253.639757        0.6810
BFGS:   76 15:07:54     -253.652676        0.4724
BFGS:   77 15:37:49     -253.667448        0.2150
BFGS:   78 16:06:22     -253.676826        0.2962
BFGS:   79 16:39:52     -253.686262        0.2458
BFGS:   80 17:02:19     -253.689392        0.2042
BFGS:   81 17:26:46     -253.691170        0.1637
BFGS:   82 17:45:42     -253.692589        0.1213
BFGS:   83 18:08:39     -253.695846        0.1614
BFGS:   84 18:41:36     -253.698962        0.3813
BFGS:   85 18:59:48     -253.702034        0.2588
BFGS:   86 19:26:20     -253.707763        0.1021
BFGS:   87 19:52:51     -253.708817        0.2277
BFGS:   88 20:18:39     -253.710663        0.1901
BFGS:   89 20:45:55     -253.710669        0.1144
BFGS:   90 21:06:51     -253.711884        0.1195
BFGS:   91 21:31:11     -253.713014        0.1626
BFGS:   92 21:50:02     -253.713701        0.1633
BFGS:   93 22:06:09     -253.714807        0.1540
BFGS:   94 22:29:50     -253.717384        0.1382
BFGS:   95 22:50:49     -253.720839        0.1496
