      Step     Time          Energy         fmax
BFGS:    0 12:53:55     -242.394362       23.4474
BFGS:    1 15:20:45     -244.110869       19.7045
BFGS:    2 17:55:22     -245.279359       18.1483
BFGS:    3 20:43:43     -246.272304       16.6041
BFGS:    4 23:24:52     -247.142797       15.0936
BFGS:    5 00:26:55     -247.904973       13.6397
BFGS:    6 01:56:27     -248.568697       12.1802
BFGS:    7 04:24:36     -249.159737       10.8729
BFGS:    8 06:58:57     -249.679479        9.6532
BFGS:    9 09:17:09     -250.140189        8.5781
BFGS:   10 11:29:54     -250.542148        7.5713
BFGS:   11 13:26:57     -250.892888        6.6102
BFGS:   12 15:27:13     -251.198239        5.8499
BFGS:   13 17:06:38     -251.464744        5.1207
BFGS:   14 18:51:24     -251.694609        4.3751
BFGS:   15 20:41:17     -251.898593        3.8521
BFGS:   16 22:39:09     -252.072262        3.3336
