      Step     Time          Energy         fmax
BFGS:    0 13:52:17     -241.914908       27.1718
BFGS:    1 14:34:52     -243.752209       22.5184
BFGS:    2 15:18:30     -244.940342       20.1558
BFGS:    3 15:58:38     -245.996090       18.1120
BFGS:    4 16:41:29     -246.904532       16.2521
BFGS:    5 17:27:12     -247.696795       14.4425
BFGS:    6 18:13:33     -248.393846       12.7838
BFGS:    7 18:56:37     -248.997119       11.2659
BFGS:    8 19:39:44     -249.527587        9.8899
BFGS:    9 20:15:40     -249.990623        8.6697
BFGS:   10 20:51:04     -250.391489        7.6796
BFGS:   11 21:29:08     -250.739710        6.7058
BFGS:   12 22:01:10     -251.043552        5.8678
BFGS:   13 22:31:55     -251.309147        5.1288
BFGS:   14 23:01:18     -251.543182        4.4377
BFGS:   15 23:26:31     -251.746352        3.9695
BFGS:   16 23:51:03     -251.923246        3.4198
BFGS:   17 00:14:50     -252.078824        2.9573
BFGS:   18 00:38:29     -252.214656        2.6262
BFGS:   19 01:02:16     -252.333653        2.2564
BFGS:   20 01:25:14     -252.438152        2.0110
BFGS:   21 01:48:15     -252.530971        1.6861
BFGS:   22 02:11:12     -252.613170        1.5133
BFGS:   23 02:34:49     -252.684496        1.2930
BFGS:   24 02:58:30     -252.749234        1.0958
BFGS:   25 03:22:19     -252.807515        0.9245
BFGS:   26 03:48:48     -252.861161        0.8280
BFGS:   27 04:13:49     -252.907128        0.8003
BFGS:   28 04:40:26     -252.948381        0.7294
BFGS:   29 05:04:48     -252.989285        0.6331
BFGS:   30 05:29:05     -253.024259        0.5828
BFGS:   31 05:52:51     -253.055376        0.5875
BFGS:   32 06:16:33     -253.087451        0.5901
BFGS:   33 06:40:55     -253.115925        0.4908
BFGS:   34 07:07:29     -253.143309        0.4986
BFGS:   35 07:34:42     -253.169246        0.4720
BFGS:   36 08:01:13     -253.193742        0.5008
BFGS:   37 08:26:58     -253.214509        0.4487
BFGS:   38 08:54:50     -253.238667        0.4516
BFGS:   39 09:24:39     -253.260559        0.4468
BFGS:   40 09:51:17     -253.279985        0.5049
BFGS:   41 10:19:45     -253.298698        0.4873
BFGS:   42 10:48:55     -253.320556        0.4557
BFGS:   43 11:16:41     -253.342040        0.4657
BFGS:   44 11:45:59     -253.360612        0.4806
BFGS:   45 12:13:56     -253.377134        0.6136
BFGS:   46 12:41:53     -253.400259        0.4473
BFGS:   47 13:11:56     -253.419270        0.5203
BFGS:   48 13:41:21     -253.441128        0.4956
BFGS:   49 14:15:33     -253.456330        0.5579
BFGS:   50 14:47:49     -253.474052        0.5377
BFGS:   51 15:21:17     -253.492353        0.5891
BFGS:   52 15:53:15     -253.502434        0.4540
BFGS:   53 16:21:59     -253.513394        0.4826
BFGS:   54 17:01:01     -253.541523        0.7869
BFGS:   55 17:36:22     -253.564802        0.5713
BFGS:   56 18:09:46     -253.581995        0.4443
BFGS:   57 18:43:47     -253.591611        0.3189
BFGS:   58 19:06:49     -253.595069        0.2729
BFGS:   59 19:32:30     -253.598430        0.3794
BFGS:   60 19:49:12     -253.601853        0.3393
BFGS:   61 20:16:20     -253.618202        0.5699
BFGS:   62 20:41:35     -253.628881        0.7797
BFGS:   63 21:09:24     -253.639628        0.6556
BFGS:   64 21:35:17     -253.646731        0.2882
BFGS:   65 22:01:46     -253.649193        0.2257
BFGS:   66 22:25:22     -253.651562        0.3350
BFGS:   67 22:55:42     -253.653345        0.4085
BFGS:   68 23:16:41     -253.656200        0.2491
BFGS:   69 23:42:27     -253.659435        0.3557
BFGS:   70 00:03:27     -253.663691        0.4265
BFGS:   71 00:31:21     -253.669316        0.2260
BFGS:   72 00:49:37     -253.670828        0.1137
BFGS:   73 01:09:07     -253.671771        0.1995
BFGS:   74 01:23:09     -253.672645        0.1929
BFGS:   75 01:50:56     -253.676496        0.1001
BFGS:   76 02:11:52     -253.677825        0.1377
BFGS:   77 02:33:30     -253.679393        0.2247
BFGS:   78 02:58:34     -253.681821        0.2788
BFGS:   79 03:21:35     -253.683257        0.2167
BFGS:   80 03:44:44     -253.683527        0.2101
BFGS:   81 04:09:11     -253.686105        0.1339
BFGS:   82 04:32:15     -253.687358        0.1326
BFGS:   83 04:47:47     -253.688194        0.1093
BFGS:   84 05:16:14     -253.689126        0.3116
BFGS:   85 05:39:10     -253.692018        0.2866
BFGS:   86 05:58:41     -253.694225        0.1821
BFGS:   87 06:25:43     -253.697550        0.1487
BFGS:   88 06:46:41     -253.698437        0.1293
BFGS:   89 07:09:39     -253.698743        0.0873
BFGS:   90 07:30:24     -253.699561        0.0753
BFGS:   91 07:45:43     -253.699978        0.0569
BFGS:   92 08:01:11     -253.700308        0.0845
BFGS:   93 08:14:30     -253.700717        0.1008
BFGS:   94 08:36:47     -253.702242        0.1247
BFGS:   95 08:59:48     -253.703914        0.1076
BFGS:   96 09:17:16     -253.704583        0.0608
BFGS:   97 09:40:11     -253.704188        0.0860
BFGS:   98 09:58:59     -253.704985        0.0296
