      Step     Time          Energy         fmax
BFGS:    0 23:56:51     -244.782829       24.5204
BFGS:    1 00:52:01     -246.362254       21.4432
BFGS:    2 02:14:28     -247.523206       18.8809
BFGS:    3 04:17:15     -248.555314       16.0609
BFGS:    4 05:47:25     -249.403869       13.5136
BFGS:    5 07:18:42     -250.113914       11.3626
BFGS:    6 08:50:14     -250.700321        9.5306
BFGS:    7 10:11:37     -251.183932        7.9728
BFGS:    8 11:36:11     -251.590900        6.6287
BFGS:    9 12:55:00     -251.926445        5.6111
BFGS:   10 14:18:39     -252.208557        4.6600
BFGS:   11 15:31:23     -252.444690        3.8995
BFGS:   12 16:53:42     -252.644653        3.2763
BFGS:   13 18:06:13     -252.810945        2.7413
BFGS:   14 19:19:45     -252.952975        2.3182
BFGS:   15 20:33:12     -253.070769        1.9259
BFGS:   16 21:52:31     -253.175361        1.5701
BFGS:   17 23:03:17     -253.261666        1.3458
BFGS:   18 00:15:22     -253.334099        1.1100
BFGS:   19 01:31:13     -253.395371        0.9369
BFGS:   20 02:43:28     -253.447730        0.7619
BFGS:   21 03:57:55     -253.490705        0.6136
BFGS:   22 05:12:12     -253.527449        0.4850
BFGS:   23 06:30:49     -253.558901        0.4948
BFGS:   24 07:46:16     -253.585045        0.4844
BFGS:   25 09:00:59     -253.607308        0.4934
BFGS:   26 10:16:05     -253.625649        0.3890
BFGS:   27 11:37:09     -253.638824        0.4415
BFGS:   28 12:51:01     -253.652263        0.3109
BFGS:   29 14:43:49     -253.657644        0.8348
BFGS:   30 16:05:40     -253.671435        0.2863
BFGS:   31 17:40:03     -253.680751        0.3601
BFGS:   32 19:24:08     -253.686978        0.2880
BFGS:   33 21:03:55     -253.691025        0.2673
BFGS:   34 22:47:23     -253.695215        0.2976
BFGS:   35 00:19:13     -253.699525        0.2390
BFGS:   36 01:31:26     -253.702178        0.2474
BFGS:   37 03:19:28     -253.708438        0.3607
BFGS:   38 04:42:08     -253.714604        0.6026
BFGS:   39 06:03:14     -253.721925        0.3846
BFGS:   40 07:15:38     -253.727175        0.2258
BFGS:   41 08:31:58     -253.728997        0.1456
BFGS:   42 09:39:53     -253.730422        0.1336
BFGS:   43 10:35:17     -253.732071        0.1179
BFGS:   44 11:56:21     -253.738659        0.6975
BFGS:   45 13:10:30     -253.741901        0.6586
BFGS:   46 14:38:26     -253.747836        0.2915
BFGS:   47 16:02:13     -253.751022        0.1575
BFGS:   48 17:04:44     -253.752230        0.2311
BFGS:   49 18:24:33     -253.753760        0.2740
BFGS:   50 19:39:48     -253.755594        0.2861
BFGS:   51 21:10:03     -253.758621        0.0385
