      Step     Time          Energy         fmax
BFGS:    0 10:20:34     -345.095277       26.9108
BFGS:    1 10:27:21     -347.260399       22.9467
BFGS:    2 10:32:13     -348.967284       19.3201
BFGS:    3 10:37:16     -350.251301       16.5652
BFGS:    4 10:42:12     -351.498604       13.8661
BFGS:    5 10:46:37     -352.452878       11.6536
BFGS:    6 10:51:05     -353.374679        9.7435
BFGS:    7 10:55:03     -354.183080        8.9660
BFGS:    8 10:59:02     -354.928740        8.6083
BFGS:    9 11:03:31     -355.584245        8.0881
BFGS:   10 11:07:39     -356.166218        7.6037
BFGS:   11 11:11:44     -356.672525        7.0802
BFGS:   12 11:15:50     -357.109877        6.4512
BFGS:   13 11:20:13     -357.490380        5.8691
BFGS:   14 11:24:30     -357.817280        5.2838
BFGS:   15 11:28:36     -358.096460        4.6624
BFGS:   16 11:32:49     -358.335008        4.1320
BFGS:   17 11:36:47     -358.538519        3.5262
BFGS:   18 11:41:03     -358.712177        3.1227
BFGS:   19 11:45:21     -358.859953        2.6434
BFGS:   20 11:49:13     -358.987581        2.2841
BFGS:   21 11:53:13     -359.096975        1.9618
BFGS:   22 11:57:20     -359.191399        1.6315
BFGS:   23 12:01:20     -359.272921        1.3841
BFGS:   24 12:05:25     -359.342594        1.1221
BFGS:   25 12:09:20     -359.402925        0.9743
BFGS:   26 12:13:34     -359.453553        0.8384
BFGS:   27 12:17:39     -359.496805        0.7478
BFGS:   28 12:21:43     -359.533976        0.6513
BFGS:   29 12:25:53     -359.565401        0.5832
BFGS:   30 12:29:29     -359.591087        0.5871
BFGS:   31 12:33:13     -359.611359        0.6244
BFGS:   32 12:37:01     -359.627457        0.5361
BFGS:   33 12:40:52     -359.637968        0.5450
BFGS:   34 12:44:47     -359.647455        0.5617
BFGS:   35 12:48:17     -359.657642        0.6660
BFGS:   36 12:51:59     -359.671625        0.5053
BFGS:   37 12:55:59     -359.688012        0.5149
BFGS:   38 13:00:14     -359.703734        0.3633
BFGS:   39 13:04:51     -359.717393        0.3324
BFGS:   40 13:08:21     -359.721629        0.2410
BFGS:   41 13:11:27     -359.725934        0.1834
BFGS:   42 13:15:22     -359.730992        0.2189
BFGS:   43 13:18:13     -359.733452        0.2487
BFGS:   44 13:21:34     -359.736506        0.1770
BFGS:   45 13:25:19     -359.738087        0.2057
BFGS:   46 13:28:02     -359.739215        0.1751
BFGS:   47 13:32:33     -359.740818        0.1240
BFGS:   48 13:35:59     -359.743027        0.1544
BFGS:   49 13:39:29     -359.744117        0.1894
BFGS:   50 13:42:40     -359.745461        0.1445
BFGS:   51 13:46:03     -359.747379        0.1025
BFGS:   52 13:49:09     -359.748793        0.1483
BFGS:   53 13:51:14     -359.749723        0.1241
BFGS:   54 13:54:19     -359.751977        0.1474
BFGS:   55 13:57:08     -359.752972        0.1990
BFGS:   56 14:01:16     -359.752205        0.2945
BFGS:   57 14:04:37     -359.754441        0.2302
BFGS:   58 14:07:18     -359.755092        0.1773
BFGS:   59 14:10:15     -359.755910        0.1193
BFGS:   60 14:13:05     -359.756717        0.0658
BFGS:   61 14:15:45     -359.757489        0.0610
BFGS:   62 14:19:23     -359.759051        0.0844
BFGS:   63 14:23:23     -359.759362        0.0802
BFGS:   64 14:26:21     -359.760349        0.0799
BFGS:   65 14:30:21     -359.760677        0.1702
BFGS:   66 14:33:14     -359.761903        0.0878
BFGS:   67 14:37:07     -359.761743        0.0882
BFGS:   68 14:40:11     -359.763053        0.0524
BFGS:   69 14:43:09     -359.763423        0.0680
BFGS:   70 14:46:29     -359.764419        0.0689
BFGS:   71 14:49:57     -359.765329        0.0748
BFGS:   72 14:52:56     -359.766205        0.0707
BFGS:   73 14:56:10     -359.767432        0.0709
BFGS:   74 14:59:23     -359.768789        0.0468
