      Step     Time          Energy         fmax
BFGS:    0 10:16:55     -346.183048       30.5107
BFGS:    1 10:24:13     -348.704458       21.2904
BFGS:    2 10:31:46     -350.554453       17.7712
BFGS:    3 10:37:59     -352.002118       14.3482
BFGS:    4 10:43:36     -353.004801       12.1820
BFGS:    5 10:49:09     -353.789344       10.7187
BFGS:    6 10:54:29     -354.451179        9.5274
BFGS:    7 10:59:09     -355.026724        8.5117
BFGS:    8 11:03:16     -355.533559        7.6755
BFGS:    9 11:07:27     -355.987490        6.7992
BFGS:   10 11:11:47     -356.393376        5.9241
BFGS:   11 11:16:13     -356.751081        5.2328
BFGS:   12 11:20:37     -357.072540        4.5770
BFGS:   13 11:25:03     -357.358405        3.9355
BFGS:   14 11:29:13     -357.611530        3.3961
BFGS:   15 11:33:24     -357.838262        2.9836
BFGS:   16 11:37:43     -358.039576        2.5588
BFGS:   17 11:41:39     -358.220994        2.2955
BFGS:   18 11:45:46     -358.381802        1.9667
BFGS:   19 11:50:03     -358.527738        1.7360
BFGS:   20 11:54:16     -358.655155        1.5082
BFGS:   21 11:58:50     -358.768571        1.3988
BFGS:   22 12:03:16     -358.872115        1.2887
BFGS:   23 12:07:50     -358.965116        1.1971
BFGS:   24 12:12:17     -359.049923        1.0989
BFGS:   25 12:16:49     -359.129231        1.0572
BFGS:   26 12:21:22     -359.203049        1.0346
BFGS:   27 12:26:05     -359.271504        0.9928
BFGS:   28 12:30:52     -359.336934        0.9378
BFGS:   29 12:35:37     -359.398040        0.9135
BFGS:   30 12:40:06     -359.457446        0.9134
BFGS:   31 12:44:56     -359.515603        0.8792
BFGS:   32 12:49:20     -359.568579        0.8546
BFGS:   33 12:53:47     -359.620220        0.8742
BFGS:   34 12:58:40     -359.669157        0.8791
BFGS:   35 13:03:03     -359.715824        0.8569
BFGS:   36 13:07:30     -359.759492        0.8783
BFGS:   37 13:11:57     -359.799942        0.9001
BFGS:   38 13:16:25     -359.841340        0.9049
BFGS:   39 13:20:37     -359.876685        0.9241
BFGS:   40 13:24:48     -359.914635        0.9522
BFGS:   41 13:29:21     -359.947912        0.9570
BFGS:   42 13:33:29     -359.985226        0.9798
BFGS:   43 13:37:39     -360.021612        0.9449
BFGS:   44 13:41:54     -360.057936        0.9622
BFGS:   45 13:46:20     -360.096998        0.8863
BFGS:   46 13:50:57     -360.137178        0.8770
BFGS:   47 13:55:21     -360.179734        0.8766
BFGS:   48 13:59:56     -360.226878        0.8655
BFGS:   49 14:04:09     -360.271515        0.7643
BFGS:   50 14:08:24     -360.315236        0.7490
BFGS:   51 14:12:47     -360.358784        0.8118
BFGS:   52 14:17:05     -360.398685        0.8645
BFGS:   53 14:21:27     -360.439910        0.9098
BFGS:   54 14:25:43     -360.479814        1.0031
BFGS:   55 14:30:01     -360.522881        1.0169
BFGS:   56 14:34:05     -360.568387        0.9087
BFGS:   57 14:38:22     -360.616511        0.7187
BFGS:   58 14:42:31     -360.658345        0.5510
BFGS:   59 14:47:01     -360.697652        0.4912
BFGS:   60 14:51:34     -360.723282        0.5834
BFGS:   61 14:55:12     -360.737957        0.5372
BFGS:   62 14:59:07     -360.754229        0.4044
BFGS:   63 15:03:00     -360.767705        0.4026
BFGS:   64 15:06:59     -360.784586        0.4675
BFGS:   65 15:10:39     -360.795365        0.2946
BFGS:   66 15:13:42     -360.800642        0.1990
BFGS:   67 15:16:57     -360.805220        0.2762
BFGS:   68 15:20:27     -360.811429        0.4661
BFGS:   69 15:23:54     -360.819562        0.4774
BFGS:   70 15:27:49     -360.831490        0.2741
BFGS:   71 15:32:14     -360.837871        0.2514
BFGS:   72 15:35:02     -360.840926        0.1816
BFGS:   73 15:37:43     -360.845097        0.1145
BFGS:   74 15:40:54     -360.847461        0.1058
BFGS:   75 15:44:14     -360.849660        0.1353
BFGS:   76 15:47:24     -360.851237        0.1311
BFGS:   77 15:50:42     -360.853893        0.1338
BFGS:   78 15:53:53     -360.857811        0.1833
BFGS:   79 15:58:07     -360.861484        0.1812
BFGS:   80 16:01:00     -360.863864        0.1537
BFGS:   81 16:04:12     -360.866783        0.1409
BFGS:   82 16:07:00     -360.868627        0.1403
BFGS:   83 16:10:16     -360.871228        0.1224
BFGS:   84 16:13:20     -360.873118        0.0991
BFGS:   85 16:16:44     -360.875030        0.1222
BFGS:   86 16:19:32     -360.876294        0.0978
BFGS:   87 16:22:20     -360.877401        0.1249
BFGS:   88 16:25:30     -360.878289        0.0776
BFGS:   89 16:28:23     -360.878996        0.0480
