      Step     Time          Energy         fmax
BFGS:    0 10:19:29     -344.866290       27.1929
BFGS:    1 10:26:25     -347.038920       23.5176
BFGS:    2 10:32:21     -348.668369       20.2781
BFGS:    3 10:37:37     -350.021466       17.3583
BFGS:    4 10:42:58     -351.457316       14.2278
BFGS:    5 10:47:34     -352.533229       11.6916
BFGS:    6 10:51:38     -353.682743        9.1944
BFGS:    7 10:55:35     -354.614105        7.7648
BFGS:    8 11:00:04     -355.478087        6.3009
BFGS:    9 11:04:11     -356.174896        5.4155
BFGS:   10 11:08:27     -356.749223        4.6816
BFGS:   11 11:12:41     -357.203401        4.0947
BFGS:   12 11:17:00     -357.571972        3.6951
BFGS:   13 11:21:22     -357.872269        3.4044
BFGS:   14 11:25:42     -358.123779        3.1445
BFGS:   15 11:30:06     -358.340069        2.8402
BFGS:   16 11:34:54     -358.526420        2.4628
BFGS:   17 11:39:43     -358.690438        2.2381
BFGS:   18 11:44:43     -358.833538        2.0254
BFGS:   19 11:49:37     -358.958546        1.8664
BFGS:   20 11:54:37     -359.065563        1.7162
BFGS:   21 11:59:06     -359.160139        1.5453
BFGS:   22 12:03:19     -359.242424        1.3757
BFGS:   23 12:07:41     -359.314732        1.2462
BFGS:   24 12:12:13     -359.377452        1.1506
BFGS:   25 12:16:21     -359.432533        1.0383
BFGS:   26 12:20:50     -359.481520        0.8429
BFGS:   27 12:25:16     -359.524825        0.8899
BFGS:   28 12:29:44     -359.563693        0.7871
BFGS:   29 12:33:58     -359.595685        0.7666
BFGS:   30 12:37:57     -359.624321        0.7018
BFGS:   31 12:42:04     -359.649434        0.5973
BFGS:   32 12:45:51     -359.669296        0.5909
BFGS:   33 12:50:12     -359.685274        0.3085
BFGS:   34 12:54:19     -359.695461        0.4226
BFGS:   35 12:58:36     -359.700496        0.2075
BFGS:   36 13:01:39     -359.703402        0.3328
BFGS:   37 13:06:16     -359.718054        0.3673
BFGS:   38 13:09:20     -359.719927        0.2631
BFGS:   39 13:12:53     -359.723765        0.2159
BFGS:   40 13:16:22     -359.726102        0.1965
BFGS:   41 13:20:28     -359.728057        0.2175
BFGS:   42 13:23:34     -359.729692        0.1613
BFGS:   43 13:27:10     -359.732137        0.2267
BFGS:   44 13:30:01     -359.733555        0.2583
BFGS:   45 13:33:47     -359.735995        0.2570
BFGS:   46 13:37:42     -359.737366        0.2215
BFGS:   47 13:40:54     -359.738954        0.1551
BFGS:   48 13:45:33     -359.739898        0.2062
BFGS:   49 13:49:11     -359.741427        0.1270
BFGS:   50 13:52:46     -359.742975        0.0952
BFGS:   51 13:57:01     -359.744436        0.1707
BFGS:   52 14:00:13     -359.746445        0.1056
BFGS:   53 14:04:07     -359.748938        0.1188
BFGS:   54 14:07:12     -359.750065        0.1185
BFGS:   55 14:10:46     -359.752598        0.0983
BFGS:   56 14:15:31     -359.752904        0.1558
BFGS:   57 14:19:20     -359.755346        0.0770
BFGS:   58 14:22:47     -359.756647        0.0639
BFGS:   59 14:25:21     -359.757106        0.0540
BFGS:   60 14:28:27     -359.757983        0.1002
BFGS:   61 14:31:46     -359.758838        0.0800
BFGS:   62 14:34:34     -359.759494        0.0713
BFGS:   63 14:37:56     -359.760841        0.1979
BFGS:   64 14:40:36     -359.761554        0.1356
BFGS:   65 14:44:13     -359.763021        0.0989
BFGS:   66 14:47:17     -359.763962        0.1746
BFGS:   67 14:50:45     -359.765114        0.1711
BFGS:   68 14:53:56     -359.766157        0.0845
BFGS:   69 14:57:10     -359.766897        0.0933
BFGS:   70 14:59:28     -359.767535        0.0898
BFGS:   71 15:01:56     -359.768174        0.0922
BFGS:   72 15:04:13     -359.768560        0.0487
