      Step     Time          Energy         fmax
BFGS:    0 12:37:07     -324.692760        6.8705
BFGS:    1 12:44:25     -325.022714        2.8114
BFGS:    2 12:48:41     -325.327783        2.5008
BFGS:    3 12:53:22     -325.564360        2.1448
BFGS:    4 12:58:00     -325.750681        1.8252
BFGS:    5 13:02:05     -325.901767        1.5960
BFGS:    6 13:06:08     -326.025863        1.3902
BFGS:    7 13:10:16     -326.129395        1.2853
BFGS:    8 13:14:07     -326.217742        1.1678
BFGS:    9 13:18:04     -326.295486        1.0838
BFGS:   10 13:21:45     -326.363903        1.0112
BFGS:   11 13:25:41     -326.425882        0.9737
BFGS:   12 13:29:24     -326.482683        0.9417
BFGS:   13 13:33:28     -326.536496        0.9169
BFGS:   14 13:37:40     -326.588105        0.8502
BFGS:   15 13:41:52     -326.638522        0.9088
BFGS:   16 13:46:05     -326.688282        0.8824
BFGS:   17 13:50:37     -326.737448        0.8817
BFGS:   18 13:54:54     -326.787178        0.9066
BFGS:   19 13:59:00     -326.834288        0.9830
BFGS:   20 14:03:27     -326.881351        1.0743
BFGS:   21 14:07:54     -326.925298        1.0987
BFGS:   22 14:12:33     -326.969924        1.1887
BFGS:   23 14:16:54     -327.010511        1.1846
BFGS:   24 14:21:19     -327.049337        1.2238
BFGS:   25 14:25:45     -327.084326        1.2762
BFGS:   26 14:30:09     -327.117591        1.2048
BFGS:   27 14:34:24     -327.147323        1.1923
BFGS:   28 14:39:14     -327.175983        1.0797
BFGS:   29 14:43:49     -327.203204        1.0297
BFGS:   30 14:48:27     -327.229494        0.9194
BFGS:   31 14:53:14     -327.257926        0.8597
BFGS:   32 14:57:45     -327.279974        0.7997
BFGS:   33 15:02:12     -327.305705        0.6693
BFGS:   34 15:07:02     -327.327124        0.6287
BFGS:   35 15:11:21     -327.347232        0.6208
BFGS:   36 15:15:39     -327.370499        0.6112
BFGS:   37 15:19:49     -327.390374        0.6017
BFGS:   38 15:23:49     -327.412271        0.5783
BFGS:   39 15:28:06     -327.438313        0.5783
BFGS:   40 15:32:16     -327.461400        0.6123
BFGS:   41 15:36:37     -327.482510        0.6485
BFGS:   42 15:40:42     -327.506408        0.6910
BFGS:   43 15:44:32     -327.527505        0.6848
BFGS:   44 15:48:29     -327.553133        0.7346
BFGS:   45 15:52:34     -327.578100        0.7772
BFGS:   46 15:56:45     -327.604544        0.8020
BFGS:   47 16:01:11     -327.640120        0.8538
BFGS:   48 16:05:14     -327.668354        0.8514
BFGS:   49 16:09:58     -327.703626        0.8824
BFGS:   50 16:14:12     -327.734653        0.9521
BFGS:   51 16:18:23     -327.764934        0.8926
BFGS:   52 16:22:25     -327.793434        0.8889
BFGS:   53 16:26:21     -327.824946        0.9172
BFGS:   54 16:30:19     -327.860718        0.8348
BFGS:   55 16:34:17     -327.896861        0.7975
BFGS:   56 16:38:31     -327.932177        0.7405
BFGS:   57 16:42:36     -327.970149        0.6573
BFGS:   58 16:46:35     -328.007705        0.6262
BFGS:   59 16:50:53     -328.048690        0.6416
BFGS:   60 16:55:02     -328.076785        0.6507
BFGS:   61 16:58:45     -328.097149        0.6177
BFGS:   62 17:02:28     -328.112279        0.5615
BFGS:   63 17:06:54     -328.124082        0.3135
BFGS:   64 17:10:56     -328.129685        0.2552
BFGS:   65 17:13:47     -328.135299        0.2174
BFGS:   66 17:17:36     -328.144980        0.4351
BFGS:   67 17:20:34     -328.148456        0.3417
BFGS:   68 17:24:22     -328.156094        0.2895
BFGS:   69 17:27:50     -328.159750        0.3770
BFGS:   70 17:31:39     -328.164809        0.3211
BFGS:   71 17:34:55     -328.167545        0.2150
BFGS:   72 17:38:41     -328.169571        0.2439
BFGS:   73 17:41:39     -328.171298        0.2932
BFGS:   74 17:44:44     -328.174513        0.2617
BFGS:   75 17:48:25     -328.176981        0.2164
BFGS:   76 17:51:16     -328.178370        0.1005
BFGS:   77 17:54:53     -328.179935        0.1025
BFGS:   78 17:58:21     -328.180718        0.2030
BFGS:   79 18:01:51     -328.181551        0.1574
BFGS:   80 18:04:29     -328.182588        0.0731
BFGS:   81 18:07:42     -328.184244        0.1368
BFGS:   82 18:11:03     -328.185563        0.1580
BFGS:   83 18:14:25     -328.186954        0.1193
BFGS:   84 18:18:00     -328.188031        0.0850
BFGS:   85 18:20:46     -328.188775        0.1288
BFGS:   86 18:23:22     -328.189890        0.1213
BFGS:   87 18:26:08     -328.190607        0.0711
BFGS:   88 18:28:45     -328.191157        0.0506
BFGS:   89 18:31:51     -328.192045        0.0706
BFGS:   90 18:35:11     -328.192398        0.1166
BFGS:   91 18:39:31     -328.190256        0.1643
BFGS:   92 18:43:13     -328.192857        0.1073
BFGS:   93 18:47:18     -328.192738        0.0578
BFGS:   94 18:50:44     -328.193563        0.0619
BFGS:   95 18:54:53     -328.192436        0.1087
BFGS:   96 18:58:20     -328.194115        0.0767
BFGS:   97 19:02:34     -328.193478        0.0575
BFGS:   98 19:06:09     -328.194583        0.0754
BFGS:   99 19:10:14     -328.192972        0.1220
BFGS:  100 19:13:42     -328.195173        0.0927
BFGS:  101 19:16:49     -328.195894        0.0618
BFGS:  102 19:19:26     -328.196180        0.0465
