      Step     Time          Energy         fmax
BFGS:    0 12:38:44     -323.780542        8.6554
BFGS:    1 12:47:13     -324.277994        4.0451
BFGS:    2 12:51:46     -324.707670        3.3911
BFGS:    3 12:56:25     -325.037405        2.9111
BFGS:    4 13:00:56     -325.299145        2.4285
BFGS:    5 13:05:26     -325.514938        1.9930
BFGS:    6 13:09:46     -325.692413        1.6225
BFGS:    7 13:14:03     -325.847530        1.3753
BFGS:    8 13:18:25     -325.979829        1.2280
BFGS:    9 13:22:37     -326.089645        1.1198
BFGS:   10 13:26:47     -326.182955        1.0303
BFGS:   11 13:30:55     -326.262475        0.9720
BFGS:   12 13:35:06     -326.332074        0.8638
BFGS:   13 13:39:05     -326.395357        0.8487
BFGS:   14 13:43:01     -326.451763        0.7829
BFGS:   15 13:47:19     -326.503829        0.7611
BFGS:   16 13:51:17     -326.551222        0.6979
BFGS:   17 13:55:17     -326.595031        0.6828
BFGS:   18 13:59:01     -326.635568        0.6319
BFGS:   19 14:03:09     -326.671859        0.5552
BFGS:   20 14:07:07     -326.706574        0.5430
BFGS:   21 14:11:05     -326.738476        0.4963
BFGS:   22 14:14:47     -326.767171        0.4865
BFGS:   23 14:18:44     -326.793709        0.4243
BFGS:   24 14:22:33     -326.817368        0.4454
BFGS:   25 14:26:22     -326.839072        0.4751
BFGS:   26 14:30:11     -326.860932        0.4571
BFGS:   27 14:34:04     -326.880943        0.4980
BFGS:   28 14:38:00     -326.899391        0.5206
BFGS:   29 14:42:00     -326.918469        0.5160
BFGS:   30 14:45:56     -326.935733        0.5948
BFGS:   31 14:50:24     -326.953182        0.5696
BFGS:   32 14:54:14     -326.968848        0.6192
BFGS:   33 14:58:20     -326.987418        0.6456
BFGS:   34 15:02:32     -327.004175        0.6657
BFGS:   35 15:06:48     -327.019497        0.6643
BFGS:   36 15:11:06     -327.034125        0.7011
BFGS:   37 15:15:34     -327.050129        0.7508
BFGS:   38 15:20:24     -327.071864        0.7945
BFGS:   39 15:25:24     -327.096362        0.8769
BFGS:   40 15:30:19     -327.123806        0.9687
BFGS:   41 15:35:16     -327.157645        1.0730
BFGS:   42 15:40:35     -327.193656        1.2094
BFGS:   43 15:45:32     -327.234473        1.2743
BFGS:   44 15:50:39     -327.275629        1.3459
BFGS:   45 15:55:47     -327.317033        1.3649
BFGS:   46 16:00:25     -327.357799        1.3505
BFGS:   47 16:04:44     -327.398209        1.3366
BFGS:   48 16:09:05     -327.436657        1.3223
BFGS:   49 16:13:13     -327.474328        1.2325
BFGS:   50 16:17:35     -327.510338        1.1613
BFGS:   51 16:21:41     -327.546011        1.0804
BFGS:   52 16:25:45     -327.578314        0.9962
BFGS:   53 16:30:31     -327.613656        0.8673
BFGS:   54 16:34:50     -327.649650        0.7753
BFGS:   55 16:39:19     -327.689793        0.5760
BFGS:   56 16:44:03     -327.736629        0.5072
BFGS:   57 16:48:32     -327.773955        0.5506
BFGS:   58 16:52:51     -327.807695        0.6509
BFGS:   59 16:57:11     -327.838638        0.7651
BFGS:   60 17:01:24     -327.866187        0.7304
BFGS:   61 17:05:46     -327.899060        0.9701
BFGS:   62 17:09:48     -327.925788        0.8047
BFGS:   63 17:13:41     -327.954613        0.7844
BFGS:   64 17:17:48     -327.979929        0.6964
BFGS:   65 17:21:45     -328.007777        0.4871
BFGS:   66 17:25:57     -328.032692        0.4951
BFGS:   67 17:30:25     -328.060404        0.6131
BFGS:   68 17:34:55     -328.085572        0.8099
BFGS:   69 17:38:54     -328.113246        0.9693
BFGS:   70 17:42:58     -328.140185        0.7584
BFGS:   71 17:47:04     -328.153625        0.2828
BFGS:   72 17:50:12     -328.157265        0.2870
BFGS:   73 17:53:41     -328.162302        0.2507
BFGS:   74 17:57:02     -328.165483        0.2167
BFGS:   75 18:00:38     -328.170671        0.2206
BFGS:   76 18:04:37     -328.173895        0.1923
BFGS:   77 18:07:37     -328.176313        0.1340
BFGS:   78 18:10:49     -328.179989        0.0942
BFGS:   79 18:14:22     -328.181914        0.1643
BFGS:   80 18:17:40     -328.183409        0.1062
BFGS:   81 18:20:18     -328.184444        0.0835
BFGS:   82 18:23:25     -328.185800        0.0780
BFGS:   83 18:26:32     -328.187031        0.0697
BFGS:   84 18:30:26     -328.186917        0.1123
BFGS:   85 18:33:28     -328.188016        0.0629
BFGS:   86 18:36:59     -328.188266        0.0508
BFGS:   87 18:40:08     -328.188982        0.0359
