      Step     Time          Energy         fmax
BFGS:    0 12:44:07     -313.601502       19.3172
BFGS:    1 12:51:19     -315.264417       17.1806
BFGS:    2 12:58:24     -317.040620       16.2444
BFGS:    3 13:05:42     -318.239247       13.9021
BFGS:    4 13:11:58     -319.324865       13.7148
BFGS:    5 13:18:43     -320.137999       12.1877
BFGS:    6 13:24:30     -320.847641       11.6581
BFGS:    7 13:30:07     -321.445771       10.9689
BFGS:    8 13:35:45     -321.973367       10.4103
BFGS:    9 13:41:13     -322.445227        9.9284
BFGS:   10 13:46:51     -322.870062        9.3787
BFGS:   11 13:52:11     -323.258657        8.8325
BFGS:   12 13:57:48     -323.615586        8.2746
BFGS:   13 14:03:19     -323.940134        7.6442
BFGS:   14 14:08:57     -324.236363        7.0204
BFGS:   15 14:14:34     -324.504741        6.3537
BFGS:   16 14:19:58     -324.745604        5.7562
BFGS:   17 14:25:36     -324.963940        5.1210
BFGS:   18 14:30:25     -325.158304        4.5727
BFGS:   19 14:35:07     -325.331701        4.0300
BFGS:   20 14:40:08     -325.485496        3.5288
BFGS:   21 14:45:35     -325.620669        3.0724
BFGS:   22 14:50:36     -325.740910        2.6878
BFGS:   23 14:55:56     -325.845653        2.3569
BFGS:   24 15:00:56     -325.939614        1.9974
BFGS:   25 15:05:59     -326.020660        1.7499
BFGS:   26 15:11:02     -326.092228        1.5176
BFGS:   27 15:16:19     -326.154467        1.3449
BFGS:   28 15:21:31     -326.211454        1.0800
BFGS:   29 15:26:52     -326.260838        1.0331
BFGS:   30 15:32:01     -326.305621        0.9195
BFGS:   31 15:37:11     -326.345122        0.8505
BFGS:   32 15:42:28     -326.382232        0.8004
BFGS:   33 15:47:38     -326.414472        0.7717
BFGS:   34 15:52:40     -326.443997        0.7856
BFGS:   35 15:57:39     -326.473564        0.7080
BFGS:   36 16:02:38     -326.498999        0.6619
BFGS:   37 16:07:39     -326.524104        0.7224
BFGS:   38 16:12:53     -326.545495        0.8811
BFGS:   39 16:17:57     -326.566597        0.9752
BFGS:   40 16:22:46     -326.588019        0.8999
BFGS:   41 16:27:51     -326.605355        0.9035
BFGS:   42 16:33:01     -326.624764        0.5037
BFGS:   43 16:37:42     -326.639323        0.3414
BFGS:   44 16:42:37     -326.651588        0.3128
BFGS:   45 16:47:49     -326.661007        0.2882
BFGS:   46 16:52:58     -326.669098        0.2553
BFGS:   47 16:58:07     -326.675149        0.2277
BFGS:   48 17:02:46     -326.679530        0.2207
BFGS:   49 17:07:10     -326.685562        0.3690
BFGS:   50 17:12:28     -326.692691        0.4549
BFGS:   51 17:17:47     -326.703455        0.3196
BFGS:   52 17:22:17     -326.709964        0.1988
BFGS:   53 17:27:17     -326.716614        0.2061
BFGS:   54 17:32:56     -326.725992        0.3209
BFGS:   55 17:38:34     -326.734886        0.4598
BFGS:   56 17:44:07     -326.747139        0.3265
BFGS:   57 17:49:47     -326.754662        0.2830
BFGS:   58 17:54:46     -326.760440        0.2723
BFGS:   59 17:59:47     -326.768371        0.2201
BFGS:   60 18:04:25     -326.775818        0.2404
BFGS:   61 18:09:06     -326.782175        0.2320
BFGS:   62 18:13:47     -326.787007        0.3262
BFGS:   63 18:18:21     -326.792968        0.2040
BFGS:   64 18:23:28     -326.801008        0.2190
BFGS:   65 18:28:19     -326.806082        0.2584
BFGS:   66 18:32:59     -326.811618        0.2315
BFGS:   67 18:37:34     -326.821117        0.2598
BFGS:   68 18:42:14     -326.829396        0.3030
BFGS:   69 18:47:03     -326.839013        0.4103
BFGS:   70 18:52:15     -326.850246        0.4425
BFGS:   71 18:57:24     -326.866070        0.3240
BFGS:   72 19:02:56     -326.877068        0.5019
BFGS:   73 19:08:56     -326.890398        0.3422
BFGS:   74 19:15:03     -326.899679        0.5468
BFGS:   75 19:20:21     -326.908817        0.3929
