      Step     Time          Energy         fmax
BFGS:    0 12:38:15     -325.844425        5.0921
BFGS:    1 12:45:52     -325.963407        3.6513
BFGS:    2 12:51:09     -326.100423        2.5593
BFGS:    3 12:55:28     -326.204900        2.0318
BFGS:    4 12:59:46     -326.292064        1.7693
BFGS:    5 13:04:15     -326.367814        1.5627
BFGS:    6 13:08:46     -326.434395        1.3807
BFGS:    7 13:13:33     -326.493662        1.2896
BFGS:    8 13:17:58     -326.546472        1.1725
BFGS:    9 13:22:18     -326.595153        1.0494
BFGS:   10 13:26:37     -326.638961        0.9914
BFGS:   11 13:30:44     -326.678759        0.9100
BFGS:   12 13:34:55     -326.715986        0.8572
BFGS:   13 13:39:00     -326.751065        0.6798
BFGS:   14 13:43:05     -326.783257        0.7092
BFGS:   15 13:47:24     -326.812988        0.7435
BFGS:   16 13:51:41     -326.839763        0.7832
BFGS:   17 13:56:02     -326.865230        0.7337
BFGS:   18 14:00:14     -326.888073        0.7278
BFGS:   19 14:04:23     -326.909854        0.6479
BFGS:   20 14:08:34     -326.929330        0.5824
BFGS:   21 14:13:05     -326.948077        0.5513
BFGS:   22 14:17:26     -326.966861        0.4992
BFGS:   23 14:21:37     -326.985184        0.6450
BFGS:   24 14:26:04     -327.006804        0.8755
BFGS:   25 14:30:23     -327.029703        1.0318
BFGS:   26 14:34:59     -327.059401        1.1140
BFGS:   27 14:39:12     -327.082698        1.1238
BFGS:   28 14:44:02     -327.116510        1.1717
BFGS:   29 14:48:55     -327.141921        0.6656
BFGS:   30 14:52:44     -327.163230        0.4774
BFGS:   31 14:56:28     -327.177715        0.3197
BFGS:   32 15:00:25     -327.189337        0.2686
BFGS:   33 15:04:31     -327.197226        0.4993
BFGS:   34 15:08:52     -327.207653        0.5303
BFGS:   35 15:14:19     -327.230542        0.7305
BFGS:   36 15:19:17     -327.254585        0.8423
BFGS:   37 15:24:14     -327.275138        1.0135
BFGS:   38 15:28:55     -327.296300        1.1152
BFGS:   39 15:33:30     -327.317223        1.0919
BFGS:   40 15:38:12     -327.343348        0.8491
BFGS:   41 15:43:01     -327.363138        0.8355
BFGS:   42 15:47:28     -327.383143        0.7629
BFGS:   43 15:51:40     -327.403741        0.7115
BFGS:   44 15:55:45     -327.420411        0.6953
BFGS:   45 16:00:06     -327.445334        0.5685
BFGS:   46 16:04:04     -327.464140        0.5367
BFGS:   47 16:08:16     -327.486102        0.5709
BFGS:   48 16:12:50     -327.508830        0.6253
BFGS:   49 16:16:48     -327.529907        0.7283
BFGS:   50 16:20:50     -327.549968        0.7767
BFGS:   51 16:25:02     -327.572906        0.8199
BFGS:   52 16:28:55     -327.593539        0.8996
BFGS:   53 16:32:52     -327.617072        0.9541
BFGS:   54 16:36:49     -327.638150        0.9611
BFGS:   55 16:40:38     -327.660079        1.0274
BFGS:   56 16:44:47     -327.683259        1.0427
BFGS:   57 16:48:39     -327.703968        1.0896
BFGS:   58 16:52:57     -327.727320        1.1419
BFGS:   59 16:57:17     -327.757349        1.2274
BFGS:   60 17:01:30     -327.784380        1.2968
BFGS:   61 17:05:50     -327.810188        1.2083
BFGS:   62 17:09:53     -327.845914        1.2852
BFGS:   63 17:13:43     -327.880429        1.2188
BFGS:   64 17:17:43     -327.915694        1.0277
BFGS:   65 17:21:53     -327.952015        0.8025
BFGS:   66 17:26:04     -327.984039        0.5854
BFGS:   67 17:30:09     -328.016034        0.5921
BFGS:   68 17:34:08     -328.044101        0.5554
BFGS:   69 17:37:57     -328.068103        0.4893
BFGS:   70 17:41:51     -328.089866        0.3992
BFGS:   71 17:46:00     -328.107700        0.2920
BFGS:   72 17:50:14     -328.121827        0.3074
BFGS:   73 17:54:06     -328.130108        0.2855
BFGS:   74 17:57:11     -328.135018        0.2799
BFGS:   75 18:00:31     -328.141447        0.1666
BFGS:   76 18:03:50     -328.146013        0.2211
BFGS:   77 18:07:37     -328.152507        0.1657
BFGS:   78 18:10:57     -328.155445        0.1743
BFGS:   79 18:14:20     -328.158231        0.1537
BFGS:   80 18:17:48     -328.161871        0.2310
BFGS:   81 18:21:56     -328.163703        0.4250
BFGS:   82 18:25:00     -328.168910        0.3646
BFGS:   83 18:28:59     -328.174795        0.1125
BFGS:   84 18:32:18     -328.176589        0.0828
BFGS:   85 18:35:31     -328.179473        0.0749
BFGS:   86 18:39:43     -328.180001        0.1746
BFGS:   87 18:43:09     -328.181416        0.1295
BFGS:   88 18:46:12     -328.182978        0.0716
BFGS:   89 18:50:18     -328.181676        0.1937
BFGS:   90 18:53:40     -328.184275        0.1096
BFGS:   91 18:57:46     -328.183253        0.1158
BFGS:   92 19:01:12     -328.185188        0.0660
BFGS:   93 19:04:34     -328.186384        0.1093
BFGS:   94 19:07:22     -328.187401        0.0799
BFGS:   95 19:11:30     -328.190293        0.1022
BFGS:   96 19:14:32     -328.191172        0.0900
BFGS:   97 19:17:36     -328.192385        0.0681
BFGS:   98 19:20:32     -328.193445        0.0761
BFGS:   99 19:24:12     -328.195035        0.1155
BFGS:  100 19:26:46     -328.195968        0.0938
BFGS:  101 19:29:59     -328.197615        0.0706
BFGS:  102 19:32:28     -328.198164        0.0442
