      Step     Time          Energy         fmax
BFGS:    0 12:36:36     -324.693433        6.8711
BFGS:    1 12:44:19     -325.023188        2.8118
BFGS:    2 12:48:49     -325.328179        2.4995
BFGS:    3 12:53:38     -325.564656        2.1420
BFGS:    4 12:58:12     -325.751022        1.8256
BFGS:    5 13:02:32     -325.902007        1.5958
BFGS:    6 13:06:35     -326.026049        1.3908
BFGS:    7 13:10:32     -326.129513        1.2833
BFGS:    8 13:14:44     -326.217858        1.1663
BFGS:    9 13:18:35     -326.295607        1.0833
BFGS:   10 13:22:29     -326.364009        1.0112
BFGS:   11 13:26:26     -326.425989        0.9732
BFGS:   12 13:30:40     -326.482804        0.9411
BFGS:   13 13:34:30     -326.536645        0.9167
BFGS:   14 13:38:31     -326.588283        0.8497
BFGS:   15 13:42:58     -326.638750        0.9098
BFGS:   16 13:47:29     -326.688542        0.8826
BFGS:   17 13:52:02     -326.737768        0.8842
BFGS:   18 13:56:28     -326.787511        0.9051
BFGS:   19 14:00:32     -326.834624        0.9851
BFGS:   20 14:04:59     -326.881825        1.0714
BFGS:   21 14:09:27     -326.925522        1.1072
BFGS:   22 14:13:52     -326.969635        1.2167
BFGS:   23 14:18:15     -327.009347        1.2370
BFGS:   24 14:22:33     -327.046714        1.3041
BFGS:   25 14:26:53     -327.079707        1.3731
BFGS:   26 14:31:20     -327.110773        1.3222
BFGS:   27 14:35:37     -327.137791        1.3018
BFGS:   28 14:40:01     -327.164186        1.2664
BFGS:   29 14:44:45     -327.188486        1.1800
BFGS:   30 14:49:21     -327.212457        1.0975
BFGS:   31 14:53:56     -327.237741        0.8987
BFGS:   32 14:58:19     -327.257314        0.7800
BFGS:   33 15:02:45     -327.280394        0.6705
BFGS:   34 15:07:04     -327.300579        0.6134
BFGS:   35 15:11:16     -327.320561        0.5841
BFGS:   36 15:15:37     -327.343902        0.5598
BFGS:   37 15:20:04     -327.368640        0.5129
BFGS:   38 15:24:18     -327.393959        0.5372
BFGS:   39 15:28:29     -327.415845        0.5815
BFGS:   40 15:32:55     -327.439890        0.5429
BFGS:   41 15:37:06     -327.468139        0.5606
BFGS:   42 15:41:23     -327.495353        0.5445
BFGS:   43 15:45:46     -327.521119        0.5428
BFGS:   44 15:50:11     -327.550842        0.5805
BFGS:   45 15:54:31     -327.580128        0.5593
BFGS:   46 15:59:11     -327.613263        0.5978
BFGS:   47 16:03:53     -327.652123        0.6112
BFGS:   48 16:08:35     -327.684620        0.6191
BFGS:   49 16:12:54     -327.714926        0.6713
BFGS:   50 16:17:22     -327.752128        0.7099
BFGS:   51 16:21:34     -327.790572        0.6634
BFGS:   52 16:25:31     -327.830082        0.6587
BFGS:   53 16:29:48     -327.875295        0.6522
BFGS:   54 16:33:54     -327.925140        0.6284
BFGS:   55 16:38:09     -327.968063        0.6735
BFGS:   56 16:42:29     -328.007704        0.6816
BFGS:   57 16:47:02     -328.038330        0.7313
BFGS:   58 16:51:14     -328.062826        0.7152
BFGS:   59 16:55:25     -328.088600        0.4054
BFGS:   60 16:59:09     -328.103688        0.3541
BFGS:   61 17:02:27     -328.113797        0.4007
BFGS:   62 17:06:10     -328.125920        0.4336
BFGS:   63 17:10:10     -328.135879        0.3123
BFGS:   64 17:13:48     -328.141449        0.1759
BFGS:   65 17:17:26     -328.145919        0.2851
BFGS:   66 17:20:37     -328.149837        0.3348
BFGS:   67 17:24:05     -328.154355        0.3037
BFGS:   68 17:27:32     -328.158312        0.1771
BFGS:   69 17:30:37     -328.161794        0.2090
BFGS:   70 17:34:09     -328.165988        0.3991
BFGS:   71 17:37:09     -328.169278        0.3380
BFGS:   72 17:40:44     -328.173411        0.1232
BFGS:   73 17:43:25     -328.174316        0.0973
BFGS:   74 17:46:20     -328.175429        0.0890
BFGS:   75 17:49:07     -328.176612        0.1105
BFGS:   76 17:52:35     -328.178501        0.1487
BFGS:   77 17:56:18     -328.179482        0.1719
BFGS:   78 17:59:09     -328.180257        0.1001
BFGS:   79 18:01:46     -328.180894        0.0742
BFGS:   80 18:04:34     -328.181833        0.0673
BFGS:   81 18:07:42     -328.182952        0.0754
BFGS:   82 18:10:41     -328.183721        0.0549
BFGS:   83 18:14:14     -328.184751        0.1149
BFGS:   84 18:17:26     -328.185461        0.1257
BFGS:   85 18:21:19     -328.185360        0.1399
BFGS:   86 18:24:17     -328.186372        0.0725
BFGS:   87 18:27:38     -328.187162        0.0462
