      Step     Time          Energy         fmax
BFGS:    0 12:37:45     -320.724326       14.3085
BFGS:    1 12:44:03     -321.791079       10.8308
BFGS:    2 12:50:28     -322.551479        9.2138
BFGS:    3 12:56:50     -323.211623        7.7301
BFGS:    4 13:03:20     -323.798062        6.3151
BFGS:    5 13:09:21     -324.258386        5.1415
BFGS:    6 13:14:32     -324.618846        4.2000
BFGS:    7 13:20:16     -324.916616        3.4787
BFGS:    8 13:25:00     -325.163460        2.8177
BFGS:    9 13:29:48     -325.369488        2.5169
BFGS:   10 13:34:05     -325.544820        2.2300
BFGS:   11 13:38:13     -325.696554        2.0122
BFGS:   12 13:42:18     -325.827368        1.7774
BFGS:   13 13:46:30     -325.942108        1.6021
BFGS:   14 13:50:36     -326.043643        1.4283
BFGS:   15 13:54:31     -326.132737        1.3029
BFGS:   16 13:58:30     -326.211769        1.1547
BFGS:   17 14:02:48     -326.284189        1.0404
BFGS:   18 14:07:05     -326.348548        0.8653
BFGS:   19 14:11:22     -326.408310        0.8330
BFGS:   20 14:15:28     -326.461614        0.7093
BFGS:   21 14:19:33     -326.511321        0.6735
BFGS:   22 14:23:25     -326.555865        0.5878
BFGS:   23 14:27:32     -326.597134        0.5262
BFGS:   24 14:31:25     -326.636507        0.5314
BFGS:   25 14:35:28     -326.672181        0.5048
BFGS:   26 14:39:07     -326.705201        0.5437
BFGS:   27 14:43:01     -326.737443        0.5184
BFGS:   28 14:46:53     -326.767800        0.4855
BFGS:   29 14:50:50     -326.795006        0.4879
BFGS:   30 14:54:49     -326.821822        0.5307
BFGS:   31 14:58:42     -326.848098        0.4910
BFGS:   32 15:02:43     -326.871878        0.4514
BFGS:   33 15:06:47     -326.895490        0.4644
BFGS:   34 15:10:33     -326.915798        0.4164
BFGS:   35 15:14:20     -326.934600        0.3917
BFGS:   36 15:18:35     -326.952734        0.3628
BFGS:   37 15:22:29     -326.970121        0.3038
BFGS:   38 15:26:36     -326.982688        0.2952
BFGS:   39 15:30:34     -326.995357        0.2658
BFGS:   40 15:34:11     -327.008176        0.3686
BFGS:   41 15:38:23     -327.035917        0.5226
BFGS:   42 15:42:38     -327.058427        0.4821
BFGS:   43 15:46:46     -327.067950        0.1897
BFGS:   44 15:50:53     -327.073716        0.1751
BFGS:   45 15:53:48     -327.077764        0.1686
BFGS:   46 15:58:10     -327.094461        0.3736
BFGS:   47 16:02:01     -327.101013        0.2735
BFGS:   48 16:05:44     -327.106148        0.2523
BFGS:   49 16:09:42     -327.109527        0.2745
BFGS:   50 16:12:55     -327.112515        0.2411
BFGS:   51 16:17:02     -327.121100        0.2205
BFGS:   52 16:20:45     -327.127461        0.2427
BFGS:   53 16:23:59     -327.131819        0.1745
BFGS:   54 16:28:05     -327.139034        0.1474
BFGS:   55 16:32:03     -327.143623        0.2713
BFGS:   56 16:36:20     -327.146495        0.2152
BFGS:   57 16:39:21     -327.149703        0.1563
BFGS:   58 16:43:15     -327.152752        0.1746
BFGS:   59 16:46:21     -327.154309        0.1210
BFGS:   60 16:50:19     -327.155231        0.1037
BFGS:   61 16:53:19     -327.156985        0.0823
BFGS:   62 16:57:20     -327.160611        0.1308
BFGS:   63 17:01:00     -327.162928        0.1730
BFGS:   64 17:04:30     -327.165459        0.1494
BFGS:   65 17:08:23     -327.167647        0.1589
BFGS:   66 17:11:37     -327.170152        0.1566
BFGS:   67 17:15:07     -327.172970        0.1511
BFGS:   68 17:18:40     -327.174997        0.1595
BFGS:   69 17:22:43     -327.177238        0.1538
BFGS:   70 17:26:07     -327.178647        0.1489
BFGS:   71 17:29:58     -327.182177        0.3118
BFGS:   72 17:33:30     -327.184283        0.3297
BFGS:   73 17:36:44     -327.186700        0.2972
BFGS:   74 17:40:42     -327.191813        0.1432
BFGS:   75 17:44:20     -327.194118        0.1112
BFGS:   76 17:48:02     -327.195333        0.1152
BFGS:   77 17:51:27     -327.197691        0.1885
BFGS:   78 17:55:20     -327.201916        0.1865
BFGS:   79 17:58:22     -327.203961        0.1280
BFGS:   80 18:02:03     -327.206972        0.0985
BFGS:   81 18:05:18     -327.209298        0.1386
BFGS:   82 18:09:50     -327.209805        0.1652
BFGS:   83 18:13:25     -327.214104        0.0900
BFGS:   84 18:16:58     -327.215488        0.1569
BFGS:   85 18:20:43     -327.216683        0.1281
BFGS:   86 18:23:27     -327.218026        0.0713
BFGS:   87 18:27:20     -327.219541        0.0757
BFGS:   88 18:30:25     -327.220488        0.0805
BFGS:   89 18:33:25     -327.221154        0.0641
BFGS:   90 18:36:53     -327.222371        0.1133
BFGS:   91 18:40:05     -327.223354        0.1278
BFGS:   92 18:43:20     -327.224754        0.1148
BFGS:   93 18:46:57     -327.226631        0.0885
BFGS:   94 18:50:03     -327.227679        0.0721
BFGS:   95 18:53:37     -327.229015        0.1004
BFGS:   96 18:57:13     -327.229866        0.1351
BFGS:   97 19:00:34     -327.231330        0.1448
BFGS:   98 19:05:22     -327.230699        0.1837
BFGS:   99 19:08:55     -327.233233        0.0803
BFGS:  100 19:12:42     -327.233551        0.0584
BFGS:  101 19:16:10     -327.234187        0.0436
