      Step     Time          Energy         fmax
BFGS:    0 12:38:08     -320.347692       15.3770
BFGS:    1 12:43:56     -321.535925       11.6161
BFGS:    2 12:49:28     -322.341348        9.6530
BFGS:    3 12:55:31     -323.060958        7.8705
BFGS:    4 13:01:28     -323.676889        6.3312
BFGS:    5 13:07:12     -324.153351        5.1166
BFGS:    6 13:12:42     -324.533132        4.1096
BFGS:    7 13:18:03     -324.843139        3.3959
BFGS:    8 13:23:12     -325.103018        2.9115
BFGS:    9 13:28:24     -325.321987        2.4571
BFGS:   10 13:33:19     -325.509785        2.2010
BFGS:   11 13:37:56     -325.673729        1.9717
BFGS:   12 13:42:12     -325.818265        1.7586
BFGS:   13 13:46:42     -325.947093        1.6199
BFGS:   14 13:50:53     -326.061413        1.5021
BFGS:   15 13:55:13     -326.163375        1.3702
BFGS:   16 13:59:26     -326.256699        1.2099
BFGS:   17 14:04:01     -326.344195        1.2024
BFGS:   18 14:08:10     -326.423211        1.1024
BFGS:   19 14:12:29     -326.496405        0.9660
BFGS:   20 14:16:33     -326.564812        0.9339
BFGS:   21 14:20:48     -326.629091        0.8250
BFGS:   22 14:25:12     -326.690941        0.7608
BFGS:   23 14:29:26     -326.748161        0.8417
BFGS:   24 14:33:47     -326.803350        0.8604
BFGS:   25 14:37:59     -326.854911        0.8498
BFGS:   26 14:42:17     -326.903791        0.9403
BFGS:   27 14:46:29     -326.950188        0.9132
BFGS:   28 14:50:52     -326.993804        0.8636
BFGS:   29 14:55:12     -327.034353        0.8879
BFGS:   30 14:59:18     -327.071538        0.9038
BFGS:   31 15:03:57     -327.105340        0.8003
BFGS:   32 15:08:36     -327.138628        0.8006
BFGS:   33 15:13:04     -327.168166        0.7323
BFGS:   34 15:17:22     -327.195018        0.7053
BFGS:   35 15:22:00     -327.220843        0.6585
BFGS:   36 15:26:20     -327.246246        0.7396
BFGS:   37 15:30:39     -327.271368        0.8616
BFGS:   38 15:34:59     -327.297561        0.9657
BFGS:   39 15:39:22     -327.323323        1.0580
BFGS:   40 15:43:40     -327.350854        1.1191
BFGS:   41 15:47:52     -327.377715        1.1698
BFGS:   42 15:52:10     -327.407462        1.1958
BFGS:   43 15:56:22     -327.437344        1.2074
BFGS:   44 16:00:28     -327.467342        1.2042
BFGS:   45 16:04:50     -327.500453        1.1654
BFGS:   46 16:08:47     -327.535915        1.1044
BFGS:   47 16:13:00     -327.571545        1.0259
BFGS:   48 16:17:02     -327.611681        0.9102
BFGS:   49 16:21:00     -327.654335        0.7722
BFGS:   50 16:25:18     -327.695089        0.6201
BFGS:   51 16:29:41     -327.741508        0.5999
BFGS:   52 16:34:03     -327.788927        0.5204
BFGS:   53 16:38:16     -327.820198        0.5215
BFGS:   54 16:42:28     -327.847782        0.5387
BFGS:   55 16:46:49     -327.875902        0.5366
BFGS:   56 16:50:52     -327.908041        0.6681
BFGS:   57 16:54:42     -327.944721        0.6430
BFGS:   58 16:58:48     -327.982280        0.5836
BFGS:   59 17:03:09     -328.021961        0.5862
BFGS:   60 17:07:19     -328.055120        0.5261
BFGS:   61 17:11:33     -328.074227        0.3546
BFGS:   62 17:15:07     -328.081010        0.2619
BFGS:   63 17:18:38     -328.085178        0.2511
BFGS:   64 17:21:35     -328.089423        0.2067
BFGS:   65 17:25:47     -328.097466        0.2404
BFGS:   66 17:29:15     -328.102610        0.2413
BFGS:   67 17:33:25     -328.108889        0.1727
BFGS:   68 17:35:44     -328.110473        0.1591
BFGS:   69 17:39:20     -328.118003        0.2447
BFGS:   70 17:42:55     -328.121465        0.1792
BFGS:   71 17:45:46     -328.122915        0.1424
BFGS:   72 17:49:43     -328.122775        0.1875
BFGS:   73 17:52:50     -328.125286        0.0881
BFGS:   74 17:56:10     -328.125627        0.1322
BFGS:   75 17:59:01     -328.126897        0.0673
BFGS:   76 18:02:06     -328.128107        0.0639
BFGS:   77 18:05:28     -328.129691        0.0855
BFGS:   78 18:08:41     -328.131329        0.1256
BFGS:   79 18:11:49     -328.132371        0.1291
BFGS:   80 18:14:46     -328.134159        0.1124
BFGS:   81 18:17:53     -328.135733        0.1114
BFGS:   82 18:20:16     -328.136379        0.0989
BFGS:   83 18:23:37     -328.137995        0.0482
