      Step     Time          Energy         fmax
BFGS:    0 11:36:20     -272.608362       11.1873
BFGS:    1 11:44:26     -273.841939       14.8702
BFGS:    2 11:52:53     -274.788102       17.3156
BFGS:    3 12:00:11     -275.740027       18.4725
BFGS:    4 12:06:21     -276.563788       18.4435
BFGS:    5 12:11:44     -277.221716       17.8185
BFGS:    6 12:16:56     -277.807418       16.9147
BFGS:    7 12:22:02     -278.343766       15.8625
BFGS:    8 12:27:12     -278.846112       14.7598
BFGS:    9 12:32:58     -279.312963       13.5580
BFGS:   10 12:38:27     -279.749809       12.3607
BFGS:   11 12:44:18     -280.157477       11.0960
BFGS:   12 12:50:53     -280.536249        9.8968
BFGS:   13 12:57:31     -280.886807        8.6707
BFGS:   14 13:04:40     -281.209814        7.4795
BFGS:   15 13:11:54     -281.502501        6.3164
BFGS:   16 13:18:15     -281.761537        5.2181
BFGS:   17 13:24:44     -281.988530        4.2208
BFGS:   18 13:30:29     -282.182260        3.3259
BFGS:   19 13:36:09     -282.345365        2.6335
BFGS:   20 13:41:03     -282.479063        2.1619
BFGS:   21 13:45:55     -282.588419        1.7543
BFGS:   22 13:50:24     -282.678707        1.5113
BFGS:   23 13:54:31     -282.754554        1.2468
BFGS:   24 13:59:12     -282.818211        1.0945
BFGS:   25 14:03:41     -282.871967        0.8916
BFGS:   26 14:08:30     -282.917818        0.7504
BFGS:   27 14:13:06     -282.958272        0.7055
BFGS:   28 14:17:50     -282.993747        0.6133
BFGS:   29 14:22:27     -283.025035        0.5707
BFGS:   30 14:26:46     -283.052512        0.5017
BFGS:   31 14:31:34     -283.075588        0.4884
BFGS:   32 14:36:20     -283.095110        0.3708
BFGS:   33 14:40:55     -283.108900        0.4268
BFGS:   34 14:45:11     -283.120261        0.3298
BFGS:   35 14:49:49     -283.127431        0.3246
BFGS:   36 14:54:09     -283.133063        0.3670
BFGS:   37 14:57:47     -283.135816        0.4750
BFGS:   38 15:02:21     -283.142482        0.3994
BFGS:   39 15:05:44     -283.145768        0.4749
BFGS:   40 15:09:55     -283.149840        0.4711
BFGS:   41 15:13:52     -283.152557        0.3036
BFGS:   42 15:18:11     -283.157715        0.3465
BFGS:   43 15:22:45     -283.164756        0.4039
BFGS:   44 15:27:23     -283.170856        0.3242
BFGS:   45 15:31:49     -283.173099        0.1733
BFGS:   46 15:35:38     -283.174990        0.2147
BFGS:   47 15:38:48     -283.176431        0.2509
BFGS:   48 15:42:24     -283.179353        0.2235
BFGS:   49 15:45:59     -283.181411        0.1945
BFGS:   50 15:50:09     -283.183326        0.1495
BFGS:   51 15:52:40     -283.184160        0.1186
BFGS:   52 15:56:09     -283.185664        0.1510
BFGS:   53 15:59:18     -283.186832        0.1217
BFGS:   54 16:02:45     -283.188876        0.1198
BFGS:   55 16:06:51     -283.190656        0.0980
BFGS:   56 16:10:06     -283.191409        0.0920
BFGS:   57 16:13:32     -283.192641        0.1359
BFGS:   58 16:17:21     -283.194077        0.1515
BFGS:   59 16:21:27     -283.196147        0.1502
BFGS:   60 16:25:29     -283.196547        0.1430
BFGS:   61 16:29:30     -283.198606        0.0993
BFGS:   62 16:32:48     -283.199297        0.0817
BFGS:   63 16:35:25     -283.200100        0.0864
BFGS:   64 16:38:38     -283.201566        0.0847
BFGS:   65 16:42:12     -283.202509        0.1001
BFGS:   66 16:45:02     -283.203460        0.0778
BFGS:   67 16:48:30     -283.205292        0.1206
BFGS:   68 16:52:05     -283.206841        0.1346
BFGS:   69 16:55:32     -283.209527        0.1224
BFGS:   70 16:59:16     -283.211421        0.1270
BFGS:   71 17:02:24     -283.212422        0.0724
BFGS:   72 17:05:38     -283.213173        0.0668
BFGS:   73 17:08:38     -283.213599        0.0880
BFGS:   74 17:11:43     -283.214182        0.1210
BFGS:   75 17:14:29     -283.214933        0.1014
BFGS:   76 17:17:40     -283.215837        0.0681
BFGS:   77 17:20:27     -283.216199        0.0661
BFGS:   78 17:23:36     -283.216691        0.0524
BFGS:   79 17:28:22     -283.215785        0.1791
BFGS:   80 17:32:26     -283.217582        0.0627
BFGS:   81 17:34:48     -283.217899        0.0653
BFGS:   82 17:37:55     -283.218174        0.0458
