      Step     Time          Energy         fmax
BFGS:    0 11:42:41     -272.682525       10.6020
BFGS:    1 11:51:26     -273.762226       14.3955
BFGS:    2 11:59:21     -274.643768       16.6030
BFGS:    3 12:06:13     -275.743955       17.2282
BFGS:    4 12:12:22     -276.535385       16.8952
BFGS:    5 12:18:34     -277.188180       16.0953
BFGS:    6 12:24:43     -277.765437       15.0576
BFGS:    7 12:30:29     -278.299486       13.9616
BFGS:    8 12:35:55     -278.792510       12.7639
BFGS:    9 12:41:32     -279.250846       11.5232
BFGS:   10 12:46:31     -279.675193       10.3687
BFGS:   11 12:51:26     -280.069739        9.1844
BFGS:   12 12:56:11     -280.432656        8.1255
BFGS:   13 13:01:16     -280.768933        7.1254
BFGS:   14 13:06:11     -281.077584        6.1524
BFGS:   15 13:11:00     -281.359018        5.2831
BFGS:   16 13:16:03     -281.617016        4.5267
BFGS:   17 13:21:31     -281.849610        3.7789
BFGS:   18 13:26:45     -282.056255        3.0668
BFGS:   19 13:31:45     -282.234919        2.4109
BFGS:   20 13:36:47     -282.384438        1.8566
BFGS:   21 13:41:47     -282.506416        1.3542
BFGS:   22 13:46:42     -282.603528        1.0363
BFGS:   23 13:51:33     -282.677412        0.8460
BFGS:   24 13:56:20     -282.734042        0.8170
BFGS:   25 14:01:15     -282.777993        0.7825
BFGS:   26 14:06:27     -282.812995        0.8791
BFGS:   27 14:12:01     -282.841794        0.8662
BFGS:   28 14:18:01     -282.866935        0.7950
BFGS:   29 14:23:07     -282.889572        0.6718
BFGS:   30 14:28:12     -282.909921        0.5634
BFGS:   31 14:32:52     -282.928277        0.4308
BFGS:   32 14:37:17     -282.944618        0.4170
BFGS:   33 14:41:59     -282.960740        0.3477
BFGS:   34 14:46:27     -282.971550        0.3990
BFGS:   35 14:50:42     -282.985337        0.5266
BFGS:   36 14:55:05     -282.997324        0.3845
BFGS:   37 14:59:16     -283.008108        0.4141
BFGS:   38 15:03:53     -283.024618        0.5535
BFGS:   39 15:08:31     -283.038138        0.4059
BFGS:   40 15:13:09     -283.050756        0.3588
BFGS:   41 15:17:50     -283.065629        0.3879
BFGS:   42 15:22:15     -283.079889        0.4536
BFGS:   43 15:26:18     -283.098939        0.4865
BFGS:   44 15:30:28     -283.113430        0.5843
BFGS:   45 15:35:00     -283.129365        0.3839
BFGS:   46 15:39:47     -283.143192        0.2722
BFGS:   47 15:43:42     -283.149096        0.2262
BFGS:   48 15:47:28     -283.153558        0.1994
BFGS:   49 15:51:30     -283.158312        0.1702
BFGS:   50 15:55:55     -283.164488        0.3177
BFGS:   51 16:00:35     -283.168796        0.4413
BFGS:   52 16:05:06     -283.173020        0.6664
BFGS:   53 16:08:34     -283.176758        0.2918
BFGS:   54 16:11:55     -283.178684        0.1839
BFGS:   55 16:15:30     -283.182004        0.2863
BFGS:   56 16:20:01     -283.186143        0.3533
BFGS:   57 16:24:18     -283.192015        0.4259
BFGS:   58 16:28:27     -283.195424        0.2784
BFGS:   59 16:32:49     -283.203215        0.2543
BFGS:   60 16:37:13     -283.206614        0.3372
BFGS:   61 16:41:15     -283.213074        0.3735
BFGS:   62 16:45:26     -283.214614        0.3007
BFGS:   63 16:48:06     -283.217329        0.3398
BFGS:   64 16:53:40     -283.224646        0.3188
BFGS:   65 16:57:06     -283.227778        0.2662
BFGS:   66 17:01:09     -283.231710        0.1948
BFGS:   67 17:04:08     -283.233736        0.1070
BFGS:   68 17:07:28     -283.235377        0.1257
BFGS:   69 17:11:09     -283.238618        0.1938
BFGS:   70 17:14:49     -283.241566        0.2633
BFGS:   71 17:18:49     -283.245974        0.2498
BFGS:   72 17:22:50     -283.252615        0.2833
BFGS:   73 17:27:00     -283.258458        0.2343
BFGS:   74 17:31:02     -283.262952        0.1675
BFGS:   75 17:34:45     -283.266864        0.2356
BFGS:   76 17:38:27     -283.270134        0.1823
BFGS:   77 17:41:40     -283.271587        0.1335
BFGS:   78 17:45:22     -283.273655        0.1399
BFGS:   79 17:49:59     -283.275178        0.1807
BFGS:   80 17:53:55     -283.277117        0.1852
BFGS:   81 17:58:05     -283.279566        0.1071
BFGS:   82 18:01:25     -283.281137        0.1377
BFGS:   83 18:05:04     -283.282635        0.1763
BFGS:   84 18:09:00     -283.283986        0.1197
BFGS:   85 18:13:11     -283.285891        0.1499
BFGS:   86 18:16:58     -283.287367        0.1193
BFGS:   87 18:21:45     -283.287797        0.1989
BFGS:   88 18:25:11     -283.289074        0.0654
BFGS:   89 18:28:25     -283.289688        0.0648
BFGS:   90 18:31:38     -283.290074        0.0995
BFGS:   91 18:34:30     -283.290641        0.0792
BFGS:   92 18:37:36     -283.291183        0.0548
BFGS:   93 18:40:55     -283.291744        0.0594
BFGS:   94 18:43:24     -283.292044        0.0714
BFGS:   95 18:46:17     -283.292449        0.0866
BFGS:   96 18:49:23     -283.293060        0.1226
BFGS:   97 18:52:39     -283.293634        0.1194
BFGS:   98 18:55:43     -283.293965        0.0848
BFGS:   99 18:58:28     -283.294115        0.0498
