      Step     Time          Energy         fmax
BFGS:    0 11:29:42     -272.621097       11.6182
BFGS:    1 11:38:25     -273.824368       15.2675
BFGS:    2 11:46:34     -274.758949       17.0016
BFGS:    3 11:54:20     -275.753774       18.1307
BFGS:    4 12:00:52     -276.580830       18.1444
BFGS:    5 12:07:53     -277.244600       17.5480
BFGS:    6 12:14:28     -277.834944       16.6254
BFGS:    7 12:20:26     -278.381883       15.4831
BFGS:    8 12:26:09     -278.896761       14.2332
BFGS:    9 12:32:30     -279.377631       12.9552
BFGS:   10 12:38:27     -279.822034       11.5797
BFGS:   11 12:44:13     -280.235419       10.2076
BFGS:   12 12:49:55     -280.616020        8.9497
BFGS:   13 12:56:13     -280.963034        7.6795
BFGS:   14 13:02:12     -281.276505        6.5214
BFGS:   15 13:08:14     -281.555978        5.4393
BFGS:   16 13:13:45     -281.801168        4.5150
BFGS:   17 13:18:38     -282.013445        3.6892
BFGS:   18 13:23:04     -282.198331        3.0628
BFGS:   19 13:27:43     -282.354084        2.5015
BFGS:   20 13:32:49     -282.487436        2.1247
BFGS:   21 13:37:49     -282.600319        1.7853
BFGS:   22 13:42:29     -282.697608        1.5948
BFGS:   23 13:47:39     -282.780271        1.4020
BFGS:   24 13:52:26     -282.850398        1.2874
BFGS:   25 13:57:11     -282.910099        1.1568
BFGS:   26 14:01:38     -282.960256        1.1123
BFGS:   27 14:06:27     -283.003643        0.9709
BFGS:   28 14:10:52     -283.038602        0.8982
BFGS:   29 14:15:11     -283.068104        0.7580
BFGS:   30 14:19:53     -283.091217        0.5911
BFGS:   31 14:24:33     -283.107928        0.5030
BFGS:   32 14:29:19     -283.121009        0.3223
BFGS:   33 14:34:06     -283.128739        0.3277
BFGS:   34 14:38:31     -283.133510        0.2415
BFGS:   35 14:43:22     -283.135480        0.2894
BFGS:   36 14:46:23     -283.137805        0.2650
BFGS:   37 14:49:58     -283.142043        0.3727
BFGS:   38 14:53:04     -283.144392        0.3132
BFGS:   39 14:56:38     -283.145932        0.2118
BFGS:   40 15:00:04     -283.147710        0.2230
BFGS:   41 15:04:50     -283.151752        0.4501
BFGS:   42 15:09:07     -283.156980        0.5517
BFGS:   43 15:12:21     -283.161003        0.3292
BFGS:   44 15:15:47     -283.164020        0.1510
BFGS:   45 15:19:15     -283.165695        0.2008
BFGS:   46 15:23:45     -283.166368        0.4649
BFGS:   47 15:27:20     -283.169008        0.2277
BFGS:   48 15:30:04     -283.169898        0.1104
BFGS:   49 15:33:45     -283.170788        0.0758
BFGS:   50 15:36:53     -283.171567        0.1195
BFGS:   51 15:41:10     -283.171554        0.1110
BFGS:   52 15:44:44     -283.173013        0.0984
BFGS:   53 15:47:01     -283.173906        0.0915
BFGS:   54 15:51:03     -283.178573        0.2138
BFGS:   55 15:54:03     -283.179554        0.2117
BFGS:   56 15:57:31     -283.181794        0.1095
BFGS:   57 16:00:39     -283.182908        0.0986
BFGS:   58 16:04:20     -283.183890        0.1149
BFGS:   59 16:07:13     -283.184808        0.1287
BFGS:   60 16:10:28     -283.186285        0.1413
BFGS:   61 16:14:07     -283.187692        0.1442
BFGS:   62 16:17:06     -283.189530        0.1371
BFGS:   63 16:20:27     -283.190880        0.2065
BFGS:   64 16:22:58     -283.192152        0.0907
BFGS:   65 16:26:34     -283.193296        0.0692
BFGS:   66 16:30:02     -283.194093        0.0851
BFGS:   67 16:34:21     -283.195825        0.1174
BFGS:   68 16:37:42     -283.197357        0.1144
BFGS:   69 16:41:02     -283.198359        0.1064
BFGS:   70 16:44:48     -283.199221        0.1153
BFGS:   71 16:47:48     -283.199604        0.1016
BFGS:   72 16:50:48     -283.200028        0.0807
BFGS:   73 16:52:59     -283.200492        0.0576
BFGS:   74 16:55:29     -283.200997        0.0642
BFGS:   75 16:57:53     -283.201248        0.0607
BFGS:   76 17:00:51     -283.201535        0.0624
BFGS:   77 17:04:15     -283.201948        0.0744
BFGS:   78 17:07:57     -283.202167        0.1223
BFGS:   79 17:10:48     -283.202677        0.0842
BFGS:   80 17:14:31     -283.202290        0.0651
BFGS:   81 17:17:21     -283.202803        0.0573
BFGS:   82 17:20:43     -283.202970        0.1184
BFGS:   83 17:23:23     -283.203284        0.0813
BFGS:   84 17:26:54     -283.202647        0.0395
