      Step     Time          Energy         fmax
BFGS:    0 11:25:42     -272.079017       26.7981
BFGS:    1 11:33:49     -273.976929       18.6012
BFGS:    2 11:39:11     -275.222881       15.8207
BFGS:    3 11:46:13     -276.445950       12.0122
BFGS:    4 11:52:01     -277.360155        9.6776
BFGS:    5 11:58:08     -278.054519        8.4081
BFGS:    6 12:05:29     -278.644317        7.6346
BFGS:    7 12:12:25     -279.151298        6.8753
BFGS:    8 12:20:08     -279.595644        6.1671
BFGS:    9 12:26:22     -279.990676        5.5226
BFGS:   10 12:33:48     -280.340429        4.8953
BFGS:   11 12:39:47     -280.647852        4.3598
BFGS:   12 12:45:25     -280.921979        3.8499
BFGS:   13 12:51:01     -281.167887        3.3948
BFGS:   14 12:56:36     -281.386406        2.9910
BFGS:   15 13:02:01     -281.581711        2.6519
BFGS:   16 13:07:01     -281.758504        2.3452
BFGS:   17 13:12:18     -281.920214        2.1531
BFGS:   18 13:17:23     -282.066703        1.9565
BFGS:   19 13:22:05     -282.198163        1.7786
BFGS:   20 13:26:48     -282.316844        1.5549
BFGS:   21 13:32:10     -282.426771        1.3852
BFGS:   22 13:37:05     -282.527841        1.2369
BFGS:   23 13:41:55     -282.621312        1.1430
BFGS:   24 13:46:36     -282.704937        0.9463
BFGS:   25 13:51:00     -282.782967        0.8652
BFGS:   26 13:55:37     -282.855963        0.7781
BFGS:   27 14:00:26     -282.922045        0.7991
BFGS:   28 14:05:43     -282.982381        0.7317
BFGS:   29 14:10:38     -283.035508        0.7252
BFGS:   30 14:15:08     -283.083113        0.6669
BFGS:   31 14:19:44     -283.124392        0.5984
BFGS:   32 14:24:24     -283.156640        0.5518
BFGS:   33 14:29:14     -283.182245        0.5292
BFGS:   34 14:34:32     -283.201554        0.5442
BFGS:   35 14:39:31     -283.217184        0.6015
BFGS:   36 14:44:24     -283.236321        0.6931
BFGS:   37 14:49:53     -283.258267        0.7349
BFGS:   38 14:55:06     -283.283870        0.7015
BFGS:   39 15:00:07     -283.304662        0.6806
BFGS:   40 15:05:54     -283.329698        0.6139
BFGS:   41 15:11:01     -283.353768        0.6007
BFGS:   42 15:15:59     -283.376478        0.6548
BFGS:   43 15:21:17     -283.401189        0.6873
BFGS:   44 15:26:33     -283.423651        0.7073
BFGS:   45 15:32:02     -283.446467        0.7092
BFGS:   46 15:37:00     -283.468827        0.6871
BFGS:   47 15:41:48     -283.488133        0.7388
BFGS:   48 15:46:17     -283.508690        0.7412
BFGS:   49 15:51:03     -283.525981        0.8033
BFGS:   50 15:55:56     -283.544742        0.7487
BFGS:   51 16:00:35     -283.565307        0.7495
BFGS:   52 16:05:37     -283.579019        0.7576
BFGS:   53 16:10:26     -283.599819        0.7452
BFGS:   54 16:14:56     -283.625526        0.7217
BFGS:   55 16:19:57     -283.661028        0.6813
BFGS:   56 16:25:04     -283.702100        0.6391
BFGS:   57 16:29:51     -283.737517        0.6590
BFGS:   58 16:34:41     -283.772392        0.6600
BFGS:   59 16:39:05     -283.806968        0.6659
BFGS:   60 16:43:23     -283.840702        0.6239
BFGS:   61 16:47:34     -283.874634        0.6217
BFGS:   62 16:51:43     -283.908353        0.6380
BFGS:   63 16:56:14     -283.940487        0.6397
BFGS:   64 17:00:32     -283.971707        0.6643
BFGS:   65 17:05:20     -284.001114        0.6941
BFGS:   66 17:09:38     -284.030482        0.7486
BFGS:   67 17:14:09     -284.060082        0.7947
BFGS:   68 17:18:36     -284.092541        0.8313
BFGS:   69 17:22:46     -284.123881        0.8460
BFGS:   70 17:26:55     -284.155133        0.8720
BFGS:   71 17:31:39     -284.187063        0.7757
BFGS:   72 17:36:41     -284.219805        0.4705
BFGS:   73 17:40:51     -284.237831        0.3356
BFGS:   74 17:44:46     -284.247862        0.2472
BFGS:   75 17:48:22     -284.253846        0.2890
BFGS:   76 17:51:56     -284.262106        0.2940
BFGS:   77 17:55:59     -284.272686        0.2101
BFGS:   78 17:59:54     -284.277939        0.1523
BFGS:   79 18:04:26     -284.283010        0.1950
BFGS:   80 18:07:53     -284.287661        0.1824
BFGS:   81 18:11:41     -284.292486        0.1777
BFGS:   82 18:15:41     -284.298569        0.2279
BFGS:   83 18:19:40     -284.301916        0.2417
BFGS:   84 18:23:08     -284.305114        0.2294
BFGS:   85 18:26:50     -284.309041        0.2447
BFGS:   86 18:30:37     -284.313619        0.1988
BFGS:   87 18:35:03     -284.319372        0.2025
BFGS:   88 18:38:33     -284.322000        0.2979
BFGS:   89 18:41:40     -284.325558        0.3799
BFGS:   90 18:44:38     -284.328372        0.3589
BFGS:   91 18:47:31     -284.331215        0.2676
BFGS:   92 18:51:13     -284.335049        0.2386
BFGS:   93 18:54:59     -284.338650        0.2033
BFGS:   94 18:58:41     -284.343135        0.3109
BFGS:   95 19:02:53     -284.350380        0.2947
BFGS:   96 19:06:42     -284.355135        0.2664
BFGS:   97 19:10:40     -284.357749        0.3618
BFGS:   98 19:14:25     -284.360150        0.1220
BFGS:   99 19:17:05     -284.361465        0.0919
BFGS:  100 19:20:34     -284.364389        0.1113
BFGS:  101 19:23:50     -284.365699        0.1121
BFGS:  102 19:27:12     -284.367374        0.1558
BFGS:  103 19:31:10     -284.369312        0.1444
BFGS:  104 19:34:36     -284.371287        0.1266
BFGS:  105 19:37:59     -284.373674        0.1094
BFGS:  106 19:41:42     -284.375766        0.1011
BFGS:  107 19:45:17     -284.376882        0.1759
BFGS:  108 19:48:51     -284.377105        0.1043
BFGS:  109 19:51:36     -284.377929        0.0641
BFGS:  110 19:54:04     -284.378523        0.0526
BFGS:  111 19:56:59     -284.379368        0.0463
