      Step     Time          Energy         fmax
BFGS:    0 11:30:53     -272.682034       10.6034
BFGS:    1 11:39:59     -273.762201       14.3939
BFGS:    2 11:48:28     -274.643823       16.6028
BFGS:    3 11:55:29     -275.746159       17.2207
BFGS:    4 12:02:19     -276.538726       16.8869
BFGS:    5 12:08:09     -277.191655       16.0835
BFGS:    6 12:14:15     -277.768660       15.0495
BFGS:    7 12:20:13     -278.302217       13.9447
BFGS:    8 12:26:04     -278.795307       12.7508
BFGS:    9 12:31:46     -279.252824       11.5117
BFGS:   10 12:36:37     -279.676672       10.3553
BFGS:   11 12:41:33     -280.070660        9.1789
BFGS:   12 12:46:36     -280.432673        8.1216
BFGS:   13 12:51:08     -280.768286        7.1242
BFGS:   14 12:55:53     -281.076468        6.1532
BFGS:   15 13:00:56     -281.357405        5.2853
BFGS:   16 13:05:48     -281.615096        4.5308
BFGS:   17 13:10:56     -281.847737        3.7831
BFGS:   18 13:16:14     -282.054493        3.0690
BFGS:   19 13:21:43     -282.233387        2.4215
BFGS:   20 13:26:56     -282.383008        1.8580
BFGS:   21 13:31:46     -282.505436        1.3596
BFGS:   22 13:37:00     -282.602872        1.0344
BFGS:   23 13:41:38     -282.677052        0.8454
BFGS:   24 13:46:24     -282.733834        0.8135
BFGS:   25 13:50:56     -282.777855        0.7788
BFGS:   26 13:56:16     -282.812843        0.8785
BFGS:   27 14:01:41     -282.841676        0.8678
BFGS:   28 14:07:00     -282.866638        0.8016
BFGS:   29 14:11:52     -282.889344        0.6747
BFGS:   30 14:17:03     -282.909973        0.5632
BFGS:   31 14:21:50     -282.928243        0.4296
BFGS:   32 14:26:21     -282.944567        0.4145
BFGS:   33 14:31:02     -282.960358        0.3483
BFGS:   34 14:35:16     -282.971661        0.4053
BFGS:   35 14:39:20     -282.985902        0.5709
BFGS:   36 14:43:45     -282.998125        0.3407
BFGS:   37 14:48:09     -283.009358        0.3883
BFGS:   38 14:52:43     -283.025367        0.5216
BFGS:   39 14:57:21     -283.039831        0.3930
BFGS:   40 15:01:51     -283.053232        0.3831
BFGS:   41 15:06:44     -283.069260        0.4202
BFGS:   42 15:10:32     -283.082664        0.4531
BFGS:   43 15:14:49     -283.103510        0.6262
BFGS:   44 15:19:13     -283.117996        0.5403
BFGS:   45 15:24:14     -283.133897        0.3384
BFGS:   46 15:28:24     -283.142965        0.3170
BFGS:   47 15:32:41     -283.150198        0.2635
BFGS:   48 15:37:12     -283.154952        0.2182
BFGS:   49 15:40:56     -283.159218        0.1713
BFGS:   50 15:45:58     -283.165567        0.4796
BFGS:   51 15:52:03     -283.170254        0.8504
BFGS:   52 15:56:20     -283.174442        0.3746
BFGS:   53 16:00:03     -283.178183        0.1677
BFGS:   54 16:03:39     -283.180611        0.1804
BFGS:   55 16:08:20     -283.183004        0.2367
BFGS:   56 16:11:41     -283.186628        0.1878
BFGS:   57 16:15:56     -283.193125        0.2088
BFGS:   58 16:19:30     -283.197694        0.2000
BFGS:   59 16:23:47     -283.204689        0.2537
BFGS:   60 16:27:23     -283.209420        0.3127
BFGS:   61 16:31:34     -283.212039        0.4304
BFGS:   62 16:34:18     -283.214936        0.3063
BFGS:   63 16:38:07     -283.221338        0.2203
BFGS:   64 16:41:07     -283.224433        0.1901
BFGS:   65 16:45:08     -283.230061        0.1839
BFGS:   66 16:49:17     -283.232124        0.1288
BFGS:   67 16:51:55     -283.233520        0.1170
BFGS:   68 16:55:46     -283.237669        0.1706
BFGS:   69 16:59:29     -283.239542        0.1821
BFGS:   70 17:03:22     -283.245535        0.1929
BFGS:   71 17:07:34     -283.250886        0.2857
BFGS:   72 17:11:28     -283.256713        0.2291
BFGS:   73 17:16:00     -283.262986        0.1794
BFGS:   74 17:19:56     -283.265705        0.2151
BFGS:   75 17:23:53     -283.267976        0.1409
BFGS:   76 17:27:34     -283.270994        0.2266
BFGS:   77 17:30:33     -283.272205        0.1387
BFGS:   78 17:34:02     -283.273441        0.1395
BFGS:   79 17:37:35     -283.274529        0.1920
BFGS:   80 17:41:09     -283.276188        0.2084
BFGS:   81 17:46:18     -283.281880        0.1543
BFGS:   82 17:51:34     -283.284357        0.1582
BFGS:   83 17:55:10     -283.286101        0.0883
BFGS:   84 17:58:44     -283.287006        0.1205
BFGS:   85 18:02:19     -283.287387        0.0569
BFGS:   86 18:05:47     -283.288023        0.0662
BFGS:   87 18:09:29     -283.288755        0.1074
BFGS:   88 18:12:13     -283.289426        0.0850
BFGS:   89 18:17:05     -283.288677        0.1136
BFGS:   90 18:20:19     -283.289343        0.0815
BFGS:   91 18:24:23     -283.289259        0.0864
BFGS:   92 18:27:57     -283.290277        0.0475
