      Step     Time          Energy         fmax
BFGS:    0 01:57:57     -270.178467       24.0420
      Step     Time          Energy         fmax
BFGS:    0 06:19:37     -272.498406       18.0960
BFGS:    1 09:23:51     -273.952121       15.1260
BFGS:    2 11:49:06     -275.056055       13.4686
BFGS:    3 14:25:41     -275.935281       12.5055
BFGS:    4 16:59:23     -276.690668       11.5941
BFGS:    5 19:08:07     -277.342715       10.6672
BFGS:    6 21:25:29     -277.916273        9.7308
BFGS:    7 23:25:13     -278.420933        8.7995
BFGS:    8 01:38:12     -278.870823        7.9337
BFGS:    9 03:37:49     -279.268412        7.0638
BFGS:   10 05:47:16     -279.627043        6.2255
BFGS:   11 07:52:20     -279.949302        5.4667
BFGS:   12 09:54:31     -280.240331        4.7527
BFGS:   13 11:46:56     -280.505690        4.1322
BFGS:   14 13:52:34     -280.746064        3.4998
BFGS:   15 15:47:38     -280.965326        3.1462
BFGS:   16 17:44:18     -281.166935        2.8596
BFGS:   17 19:49:33     -281.352222        2.6287
BFGS:   18 21:50:25     -281.525483        2.3982
BFGS:   19 23:50:30     -281.683343        2.1401
BFGS:   20 01:42:31     -281.831984        1.9938
BFGS:   21 03:41:14     -281.974234        1.8183
BFGS:   22 05:38:06     -282.105215        1.6652
BFGS:   23 07:37:12     -282.231785        1.5007
BFGS:   24 09:31:42     -282.347643        1.4233
BFGS:   25 11:24:36     -282.458014        1.2921
BFGS:   26 13:16:32     -282.562170        1.1586
BFGS:   27 15:13:14     -282.659015        1.1031
BFGS:   28 17:07:04     -282.747136        1.0015
BFGS:   29 18:57:44     -282.829184        0.9958
BFGS:   30 20:54:11     -282.902851        1.0174
BFGS:   31 22:34:11     -282.969247        1.0396
BFGS:   32 00:21:28     -283.030322        0.8847
BFGS:   33 02:11:41     -283.082093        0.8662
BFGS:   34 03:49:49     -283.128264        0.8034
BFGS:   35 05:33:53     -283.169265        0.6762
BFGS:   36 07:15:48     -283.204423        0.6882
BFGS:   37 08:55:06     -283.237767        0.7366
BFGS:   38 10:38:33     -283.265823        0.8363
BFGS:   39 12:15:29     -283.291120        0.8723
BFGS:   40 13:46:35     -283.317180        0.9192
BFGS:   41 15:21:45     -283.341853        1.0236
BFGS:   42 16:59:39     -283.367520        1.1176
BFGS:   43 18:37:36     -283.393543        1.1498
BFGS:   44 20:17:57     -283.418055        1.1126
BFGS:   45 21:59:18     -283.446940        1.1398
BFGS:   46 23:38:02     -283.471648        1.1316
BFGS:   47 01:17:03     -283.498424        1.0946
BFGS:   48 02:09:35     -283.534154        1.0342
BFGS:   49 02:46:38     -283.570124        1.1098
BFGS:   50 03:25:35     -283.612956        1.2490
BFGS:   51 04:05:23     -283.661908        1.2767
BFGS:   52 04:43:29     -283.710009        1.1827
BFGS:   53 05:19:53     -283.752659        1.0764
BFGS:   54 05:55:13     -283.799682        0.9839
BFGS:   55 06:29:39     -283.835435        0.7254
BFGS:   56 07:04:58     -283.869882        0.6467
BFGS:   57 07:39:25     -283.903656        0.7643
BFGS:   58 08:14:01     -283.935687        0.8517
BFGS:   59 09:43:38     -283.974355        0.8975
BFGS:   60 11:21:26     -284.016013        0.8734
BFGS:   61 12:59:36     -284.070180        0.7267
BFGS:   62 14:43:46     -284.122636        0.5678
BFGS:   63 16:22:33     -284.171499        0.5218
BFGS:   64 18:00:21     -284.206448        0.4715
BFGS:   65 19:35:39     -284.234425        0.4921
BFGS:   66 21:10:07     -284.256353        0.4888
BFGS:   67 22:43:22     -284.280647        0.5369
BFGS:   68 00:10:11     -284.302043        0.5628
BFGS:   69 02:00:05     -284.327319        0.5441
BFGS:   70 03:32:49     -284.339437        0.2582
BFGS:   71 04:50:54     -284.344857        0.2150
BFGS:   72 06:07:29     -284.351669        0.2353
BFGS:   73 07:21:43     -284.357794        0.3647
BFGS:   74 08:54:05     -284.371401        0.4402
BFGS:   75 10:20:14     -284.379045        0.2914
BFGS:   76 11:39:18     -284.383799        0.1783
BFGS:   77 13:10:34     -284.387628        0.1994
BFGS:   78 14:15:23     -284.389956        0.2129
BFGS:   79 15:36:01     -284.393585        0.1684
BFGS:   80 16:42:24     -284.394486        0.1047
BFGS:   81 18:01:17     -284.396465        0.1571
BFGS:   82 19:08:32     -284.398286        0.2687
BFGS:   83 20:23:20     -284.400817        0.3231
BFGS:   84 21:35:58     -284.403026        0.2190
BFGS:   85 22:48:42     -284.404827        0.1301
BFGS:   86 23:47:47     -284.405820        0.1578
BFGS:   87 00:49:10     -284.407086        0.1909
BFGS:   88 01:50:10     -284.408555        0.1660
BFGS:   89 04:00:46     -284.410054        0.1205
BFGS:   90 05:24:01     -284.412077        0.1561
BFGS:   91 06:46:47     -284.413176        0.2630
BFGS:   92 07:41:35     -284.414999        0.2223
BFGS:   93 08:52:38     -284.417399        0.0780
BFGS:   94 09:55:35     -284.418187        0.0966
BFGS:   95 11:10:56     -284.419830        0.1518
BFGS:   96 12:20:06     -284.421411        0.1659
BFGS:   97 13:38:35     -284.422860        0.0858
BFGS:   98 14:44:21     -284.424334        0.0947
BFGS:   99 15:54:43     -284.425346        0.1127
BFGS:  100 16:56:38     -284.426421        0.1217
BFGS:  101 18:27:59     -284.429520        0.1688
BFGS:  102 19:41:39     -284.431787        0.1404
BFGS:  103 21:12:04     -284.433577        0.1199
BFGS:  104 22:27:46     -284.434990        0.1039
BFGS:  105 23:35:41     -284.436136        0.0896
BFGS:  106 00:48:03     -284.437546        0.1058
BFGS:  107 01:55:15     -284.439645        0.1330
BFGS:  108 03:25:55     -284.443007        0.3907
