      Step     Time          Energy         fmax
BFGS:    0 17:16:48     -270.833786       22.9174
BFGS:    1 19:52:56     -272.804589       18.4171
BFGS:    2 22:52:04     -274.279959       15.7784
BFGS:    3 01:47:33     -275.454798       13.7049
BFGS:    4 04:22:40     -276.365323       12.0283
BFGS:    5 06:33:21     -277.107012       10.6027
BFGS:    6 08:44:54     -277.724625        9.4203
BFGS:    7 10:55:23     -278.256276        8.5503
BFGS:    8 13:03:30     -278.721191        8.0936
BFGS:    9 15:05:08     -279.132404        7.6284
BFGS:   10 16:59:40     -279.501945        7.1194
BFGS:   11 18:56:54     -279.834719        6.5343
BFGS:   12 20:39:41     -280.135829        5.9684
BFGS:   13 22:31:30     -280.408805        5.3662
BFGS:   14 00:20:35     -280.656381        4.8019
BFGS:   15 02:04:13     -280.880821        4.2479
BFGS:   16 03:43:57     -281.084494        3.7637
BFGS:   17 05:30:53     -281.270602        3.2805
BFGS:   18 07:14:59     -281.438879        2.8475
BFGS:   19 08:57:16     -281.593794        2.4774
BFGS:   20 10:43:31     -281.734155        2.1582
BFGS:   21 12:27:19     -281.862160        2.0735
BFGS:   22 14:08:39     -281.980987        2.0204
BFGS:   23 15:45:41     -282.090031        1.9893
BFGS:   24 17:22:10     -282.192269        1.9081
BFGS:   25 19:08:01     -282.285231        1.8669
BFGS:   26 20:46:48     -282.373323        1.7777
BFGS:   27 22:38:39     -282.454125        1.7248
BFGS:   28 00:21:20     -282.530994        1.6114
BFGS:   29 02:07:34     -282.602792        1.5108
BFGS:   30 03:54:39     -282.669441        1.4426
BFGS:   31 05:41:56     -282.733688        1.3439
BFGS:   32 07:23:18     -282.792870        1.2154
BFGS:   33 09:09:18     -282.849448        1.1316
BFGS:   34 10:55:50     -282.900633        1.0752
BFGS:   35 12:48:23     -282.949046        1.0259
BFGS:   36 14:35:38     -282.995901        0.9433
BFGS:   37 16:21:13     -283.038321        0.8886
BFGS:   38 18:07:17     -283.075840        0.7822
BFGS:   39 19:58:37     -283.111416        0.7622
BFGS:   40 21:21:49     -283.144302        0.6135
BFGS:   41 21:56:24     -283.170253        0.5378
BFGS:   42 22:33:41     -283.193229        0.5077
BFGS:   43 23:10:01     -283.216358        0.5368
BFGS:   44 23:46:26     -283.238974        0.6231
BFGS:   45 00:26:28     -283.264880        0.7180
BFGS:   46 01:10:50     -283.288353        0.8148
BFGS:   47 01:52:33     -283.318765        0.8936
BFGS:   48 02:36:03     -283.349704        0.9698
BFGS:   49 03:17:49     -283.386917        1.0369
BFGS:   50 03:59:32     -283.420847        1.1090
BFGS:   51 04:45:02     -283.458606        1.1780
BFGS:   52 05:25:01     -283.495240        1.2343
BFGS:   53 06:05:55     -283.537605        1.2762
BFGS:   54 06:46:50     -283.580723        1.3260
BFGS:   55 07:26:49     -283.624721        1.2033
BFGS:   56 08:07:37     -283.677926        1.2530
BFGS:   57 09:47:39     -283.723507        1.3018
BFGS:   58 11:36:38     -283.769097        1.2836
BFGS:   59 13:17:47     -283.819665        1.1528
BFGS:   60 14:53:37     -283.873729        0.9777
BFGS:   61 16:38:34     -283.939184        0.9386
BFGS:   62 18:19:41     -284.006702        0.8865
BFGS:   63 20:07:15     -284.073756        0.8384
BFGS:   64 21:44:50     -284.129926        0.7969
BFGS:   65 23:23:31     -284.176208        0.7455
BFGS:   66 00:57:57     -284.211275        0.5592
BFGS:   67 02:28:57     -284.234938        0.3624
BFGS:   68 03:54:21     -284.248557        0.2857
BFGS:   69 05:20:16     -284.254904        0.3803
BFGS:   70 06:48:13     -284.269739        0.4987
BFGS:   71 08:20:04     -284.279837        0.3646
BFGS:   72 09:57:36     -284.290553        0.3106
BFGS:   73 11:16:47     -284.296846        0.2658
BFGS:   74 12:49:11     -284.308271        0.4232
BFGS:   75 14:17:47     -284.317075        0.3905
BFGS:   76 15:38:24     -284.321993        0.2678
BFGS:   77 16:49:00     -284.324729        0.1679
BFGS:   78 17:54:17     -284.327806        0.2439
BFGS:   79 18:53:43     -284.330250        0.2296
BFGS:   80 20:04:03     -284.333126        0.2165
BFGS:   81 21:32:48     -284.336501        0.1561
BFGS:   82 22:30:20     -284.338586        0.1936
BFGS:   83 23:45:06     -284.343855        0.2972
BFGS:   84 00:53:21     -284.346791        0.3274
BFGS:   85 03:16:26     -284.352037        0.3062
BFGS:   86 04:40:29     -284.356643        0.1512
BFGS:   87 05:52:19     -284.359143        0.1186
BFGS:   88 07:14:07     -284.362064        0.1802
BFGS:   89 08:26:56     -284.363463        0.1666
BFGS:   90 09:29:54     -284.365031        0.1338
BFGS:   91 10:46:50     -284.367361        0.1758
BFGS:   92 12:06:48     -284.368962        0.2284
BFGS:   93 13:10:16     -284.370055        0.1191
BFGS:   94 14:15:51     -284.371548        0.1347
BFGS:   95 15:25:58     -284.373770        0.1311
BFGS:   96 16:36:58     -284.374952        0.1160
BFGS:   97 17:30:21     -284.375833        0.1205
BFGS:   98 18:40:21     -284.377738        0.1234
BFGS:   99 19:43:21     -284.378859        0.0890
BFGS:  100 20:50:54     -284.380080        0.0784
BFGS:  101 21:59:48     -284.380769        0.1274
BFGS:  102 22:54:52     -284.381337        0.0943
BFGS:  103 23:52:57     -284.381872        0.1038
BFGS:  104 00:50:53     -284.382316        0.0843
BFGS:  105 01:44:13     -284.382587        0.0489
