      Step     Time          Energy         fmax
BFGS:    0 16:19:23     -272.957641       19.9691
BFGS:    1 19:00:50     -274.462976       16.2574
BFGS:    2 21:02:14     -275.753927       14.0422
BFGS:    3 23:30:13     -276.958574       10.8284
BFGS:    4 01:52:57     -277.871989        9.7395
BFGS:    5 04:17:39     -278.648943        8.0807
BFGS:    6 06:26:07     -279.266853        7.0188
BFGS:    7 08:42:21     -279.791753        5.9066
BFGS:    8 10:46:35     -280.237789        5.1403
BFGS:    9 12:51:44     -280.617093        4.4478
BFGS:   10 14:42:59     -280.943725        3.8171
BFGS:   11 16:23:53     -281.226410        3.2854
BFGS:   12 18:09:44     -281.471068        2.9631
BFGS:   13 19:52:14     -281.684786        2.5441
BFGS:   14 21:34:17     -281.868608        2.2093
BFGS:   15 23:16:06     -282.029142        1.9883
BFGS:   16 00:55:04     -282.169029        1.7827
BFGS:   17 02:33:33     -282.287033        1.5925
BFGS:   18 04:11:39     -282.387915        1.4272
BFGS:   19 05:44:18     -282.473615        1.2915
BFGS:   20 07:16:56     -282.546514        1.1600
BFGS:   21 08:54:52     -282.607405        1.1117
BFGS:   22 10:39:13     -282.661435        1.0323
BFGS:   23 12:09:14     -282.706527        0.9230
BFGS:   24 13:48:00     -282.746035        0.8619
BFGS:   25 15:29:20     -282.781537        0.7998
BFGS:   26 17:05:49     -282.813001        0.7670
BFGS:   27 18:41:17     -282.840133        0.7481
BFGS:   28 20:12:03     -282.863689        0.6784
BFGS:   29 21:46:12     -282.884971        0.6659
BFGS:   30 23:22:24     -282.905305        0.5419
BFGS:   31 01:00:15     -282.925470        0.6135
BFGS:   32 02:33:16     -282.943235        0.4927
BFGS:   33 04:07:11     -282.961716        0.4231
BFGS:   34 05:39:42     -282.978985        0.5249
BFGS:   35 07:11:33     -282.996526        0.5055
BFGS:   36 08:50:22     -283.012347        0.4982
BFGS:   37 10:28:40     -283.028844        0.5357
BFGS:   38 11:59:58     -283.045185        0.5532
BFGS:   39 13:36:18     -283.063605        0.5690
BFGS:   40 15:12:18     -283.081087        0.5838
BFGS:   41 16:50:32     -283.099089        0.6245
BFGS:   42 18:30:19     -283.118058        0.6343
BFGS:   43 20:14:50     -283.136078        0.6771
BFGS:   44 21:59:07     -283.154611        0.7093
BFGS:   45 23:40:40     -283.173787        0.7487
BFGS:   46 01:20:52     -283.193952        0.7400
BFGS:   47 02:08:14     -283.213808        0.8146
BFGS:   48 02:43:39     -283.233723        0.7593
BFGS:   49 03:20:05     -283.253019        0.8483
BFGS:   50 03:53:47     -283.272204        0.8821
BFGS:   51 04:29:14     -283.289977        0.9227
BFGS:   52 05:03:02     -283.306965        0.9572
BFGS:   53 05:36:47     -283.323277        0.9858
BFGS:   54 06:12:18     -283.340563        0.9962
BFGS:   55 06:47:46     -283.355320        1.0050
BFGS:   56 07:25:04     -283.368920        1.0881
BFGS:   57 07:59:40     -283.383245        1.1487
BFGS:   58 09:16:02     -283.397676        1.0915
BFGS:   59 10:58:54     -283.413809        1.1304
BFGS:   60 12:44:06     -283.431985        1.1882
BFGS:   61 14:33:03     -283.447882        1.2696
BFGS:   62 16:15:38     -283.469124        1.3082
BFGS:   63 17:55:02     -283.486425        1.3998
BFGS:   64 19:33:57     -283.514333        1.4535
BFGS:   65 21:13:15     -283.538161        1.5043
BFGS:   66 22:56:59     -283.567000        1.5503
BFGS:   67 00:41:13     -283.595392        1.5606
BFGS:   68 02:26:23     -283.623495        1.5603
BFGS:   69 04:05:52     -283.657229        1.5332
BFGS:   70 05:54:35     -283.688808        1.4707
BFGS:   71 07:37:47     -283.725462        1.4213
BFGS:   72 09:23:07     -283.761329        1.3215
BFGS:   73 11:10:33     -283.807534        1.2529
BFGS:   74 13:03:04     -283.853395        1.2220
BFGS:   75 14:46:36     -283.899388        1.1009
BFGS:   76 16:28:22     -283.935826        1.3425
BFGS:   77 18:08:42     -283.972017        1.3197
BFGS:   78 19:39:35     -284.007149        1.3964
BFGS:   79 21:07:28     -284.041092        1.1204
BFGS:   80 22:38:59     -284.070519        0.9289
BFGS:   81 00:13:28     -284.093452        0.7613
BFGS:   82 01:56:26     -284.116773        0.4894
BFGS:   83 04:35:30     -284.135654        0.4269
BFGS:   84 06:06:04     -284.154566        0.5661
BFGS:   85 07:47:45     -284.178906        0.4688
BFGS:   86 09:19:45     -284.193931        0.3958
BFGS:   87 10:40:27     -284.200944        0.2746
BFGS:   88 12:01:56     -284.207661        0.3128
BFGS:   89 13:20:46     -284.215374        0.4036
BFGS:   90 14:44:22     -284.224270        0.3967
BFGS:   91 16:16:16     -284.233461        0.2385
BFGS:   92 17:44:51     -284.237850        0.1826
BFGS:   93 18:56:08     -284.240520        0.2541
BFGS:   94 20:23:46     -284.244595        0.2387
BFGS:   95 21:37:26     -284.248087        0.1575
BFGS:   96 23:09:20     -284.251137        0.1652
BFGS:   97 00:20:54     -284.252619        0.1223
BFGS:   98 01:39:06     -284.255480        0.1618
BFGS:   99 02:35:45     -284.257416        0.1821
BFGS:  100 03:54:21     -284.260555        0.2350
BFGS:  101 05:02:03     -284.261927        0.2144
BFGS:  102 06:11:14     -284.263486        0.1233
BFGS:  103 07:26:22     -284.264641        0.1271
BFGS:  104 09:02:38     -284.263751        0.1199
BFGS:  105 10:20:31     -284.265769        0.0693
BFGS:  106 11:26:02     -284.266216        0.0404
