      Step     Time          Energy         fmax
BFGS:    0 15:19:12     -270.435027       22.9077
BFGS:    1 16:05:38     -272.318498       18.4763
BFGS:    2 16:58:48     -273.702687       15.8773
BFGS:    3 17:46:54     -275.047990       13.2267
BFGS:    4 18:26:13     -276.195944       10.8318
BFGS:    5 19:00:32     -277.164531        8.8655
BFGS:    6 19:35:39     -277.985455        7.3334
BFGS:    7 20:11:19     -278.683173        6.1971
BFGS:    8 20:41:22     -279.273142        5.2710
BFGS:    9 21:15:46     -279.772378        4.4747
BFGS:   10 21:52:21     -280.203038        3.8472
BFGS:   11 22:23:44     -280.578669        3.3056
BFGS:   12 22:59:25     -280.905838        2.8217
BFGS:   13 23:32:17     -281.184640        2.4378
BFGS:   14 00:02:04     -281.425798        2.0760
BFGS:   15 00:33:28     -281.632469        1.8010
BFGS:   16 01:06:16     -281.809846        1.5220
BFGS:   17 01:35:30     -281.957224        1.3321
BFGS:   18 02:06:48     -282.084438        1.0779
BFGS:   19 02:35:47     -282.191165        0.9321
BFGS:   20 03:04:08     -282.282532        0.8279
BFGS:   21 03:32:38     -282.360464        0.7428
BFGS:   22 04:01:55     -282.425299        0.7032
BFGS:   23 04:29:44     -282.481912        0.6587
BFGS:   24 04:58:11     -282.531469        0.6043
BFGS:   25 05:26:39     -282.573143        0.6081
BFGS:   26 05:56:44     -282.610405        0.5730
BFGS:   27 06:24:01     -282.644904        0.6131
BFGS:   28 06:52:41     -282.676428        0.5892
BFGS:   29 07:20:35     -282.705785        0.6167
BFGS:   30 07:50:35     -282.733541        0.6404
BFGS:   31 08:18:33     -282.760898        0.6575
BFGS:   32 08:49:14     -282.785267        0.6727
BFGS:   33 09:17:44     -282.809952        0.6778
BFGS:   34 09:47:39     -282.836414        0.6714
BFGS:   35 10:16:54     -282.859238        0.6605
BFGS:   36 10:48:59     -282.883926        0.6292
BFGS:   37 11:17:29     -282.905285        0.5929
BFGS:   38 11:51:07     -282.929479        0.5052
BFGS:   39 12:23:59     -282.952671        0.3558
BFGS:   40 12:51:49     -282.966983        0.2135
BFGS:   41 13:21:03     -282.976068        0.2821
BFGS:   42 13:47:22     -282.984420        0.4974
BFGS:   43 14:16:36     -282.996097        0.4129
BFGS:   44 14:43:08     -283.006942        0.3894
BFGS:   45 15:14:38     -283.017608        0.3953
BFGS:   46 15:41:04     -283.030209        0.6193
BFGS:   47 16:10:28     -283.047195        0.5041
BFGS:   48 16:40:34     -283.059514        0.4554
BFGS:   49 17:09:16     -283.069143        0.2939
BFGS:   50 17:37:50     -283.077134        0.3133
BFGS:   51 18:06:29     -283.083720        0.3179
BFGS:   52 18:32:18     -283.091190        0.4946
BFGS:   53 18:57:16     -283.097265        0.4826
BFGS:   54 19:22:20     -283.107614        0.6400
BFGS:   55 19:47:09     -283.118799        0.7444
BFGS:   56 20:12:46     -283.132639        0.7280
BFGS:   57 20:36:54     -283.145064        0.7366
BFGS:   58 21:02:23     -283.157715        0.5607
BFGS:   59 21:28:42     -283.173524        0.3993
BFGS:   60 21:54:59     -283.187163        0.2458
BFGS:   61 22:22:06     -283.198399        0.3219
BFGS:   62 22:46:56     -283.205594        0.3777
BFGS:   63 23:11:46     -283.212838        0.5290
BFGS:   64 23:35:19     -283.217635        0.4863
BFGS:   65 23:59:29     -283.224196        0.4085
BFGS:   66 00:22:58     -283.230442        0.2184
BFGS:   67 00:47:57     -283.237720        0.1712
BFGS:   68 01:12:54     -283.242422        0.2289
BFGS:   69 01:37:09     -283.243164        0.2429
BFGS:   70 01:55:00     -283.246326        0.1591
BFGS:   71 02:20:03     -283.253179        0.1676
BFGS:   72 02:45:07     -283.261402        0.1872
BFGS:   73 03:13:02     -283.267336        0.2057
BFGS:   74 03:33:45     -283.269451        0.1472
BFGS:   75 04:06:10     -283.274654        0.2600
BFGS:   76 04:26:08     -283.276718        0.1771
BFGS:   77 04:53:28     -283.278565        0.3873
BFGS:   78 05:17:02     -283.283174        0.2651
BFGS:   79 05:39:45     -283.284498        0.1289
BFGS:   80 06:00:16     -283.285615        0.0671
BFGS:   81 06:27:30     -283.288260        0.1123
BFGS:   82 06:51:00     -283.289524        0.1081
BFGS:   83 07:18:14     -283.290863        0.1502
BFGS:   84 07:39:37     -283.292586        0.1670
BFGS:   85 08:05:19     -283.294084        0.3348
BFGS:   86 08:26:37     -283.296329        0.1783
BFGS:   87 08:50:03     -283.298536        0.1162
BFGS:   88 09:13:25     -283.299961        0.0826
BFGS:   89 09:38:52     -283.301025        0.1596
BFGS:   90 10:00:06     -283.302097        0.1378
BFGS:   91 10:27:20     -283.304131        0.1172
BFGS:   92 10:44:28     -283.304566        0.0933
BFGS:   93 11:09:26     -283.305110        0.0964
BFGS:   94 11:30:44     -283.305777        0.0671
BFGS:   95 11:56:31     -283.306269        0.0751
BFGS:   96 12:21:30     -283.307028        0.1263
BFGS:   97 12:51:32     -283.307714        0.2091
BFGS:   98 13:07:46     -283.308315        0.1601
BFGS:   99 13:29:02     -283.309666        0.1253
BFGS:  100 13:54:40     -283.310192        0.3024
BFGS:  101 14:13:11     -283.311142        0.2815
BFGS:  102 14:46:09     -283.312307        0.1051
BFGS:  103 15:08:58     -283.312626        0.0927
BFGS:  104 15:31:44     -283.313670        0.1064
BFGS:  105 15:59:41     -283.314234        0.1703
BFGS:  106 16:19:34     -283.315035        0.1096
BFGS:  107 16:37:57     -283.315491        0.0519
BFGS:  108 16:56:21     -283.315818        0.0406
