      Step     Time          Energy         fmax
BFGS:    0 20:39:30     -273.081954       20.0933
BFGS:    1 21:23:10     -274.541024       16.3616
BFGS:    2 21:57:31     -275.756331       14.0132
BFGS:    3 22:33:47     -276.817967       10.8430
BFGS:    4 23:08:49     -277.869177        8.7353
BFGS:    5 23:43:08     -278.785436        6.5058
BFGS:    6 00:12:22     -279.446305        5.3612
BFGS:    7 00:37:22     -279.946786        4.2482
BFGS:    8 01:02:23     -280.354904        3.7387
BFGS:    9 01:27:17     -280.700786        3.0818
BFGS:   10 01:50:45     -280.998380        2.6988
BFGS:   11 02:17:48     -281.258582        2.3003
BFGS:   12 02:40:31     -281.486604        2.0292
BFGS:   13 03:04:49     -281.687715        1.7820
BFGS:   14 03:30:26     -281.864585        1.5631
BFGS:   15 03:56:06     -282.019923        1.3999
BFGS:   16 04:21:01     -282.154281        1.2071
BFGS:   17 04:46:25     -282.270535        1.0665
BFGS:   18 05:11:10     -282.370620        0.9179
BFGS:   19 05:35:15     -282.455738        0.7625
BFGS:   20 05:59:28     -282.525260        0.6769
BFGS:   21 06:24:24     -282.583597        0.5372
BFGS:   22 06:48:35     -282.630747        0.5137
BFGS:   23 07:15:42     -282.668307        0.4954
BFGS:   24 07:41:29     -282.697904        0.4436
BFGS:   25 08:06:30     -282.721553        0.4706
BFGS:   26 08:32:55     -282.741455        0.3874
BFGS:   27 09:01:30     -282.756672        0.3987
BFGS:   28 09:30:02     -282.771889        0.3746
BFGS:   29 10:00:42     -282.789539        0.3098
BFGS:   30 10:31:17     -282.806577        0.4374
BFGS:   31 10:55:27     -282.817175        0.4272
BFGS:   32 11:22:31     -282.825200        0.3501
BFGS:   33 11:48:57     -282.833354        0.3261
BFGS:   34 12:08:44     -282.842407        0.3155
BFGS:   35 12:34:13     -282.858092        0.2645
BFGS:   36 12:59:49     -282.877382        0.2769
BFGS:   37 13:25:16     -282.889950        0.2978
BFGS:   38 13:54:23     -282.900689        0.3680
BFGS:   39 14:19:56     -282.910449        0.4169
BFGS:   40 14:47:07     -282.916651        0.4493
BFGS:   41 15:07:36     -282.924100        0.3728
BFGS:   42 15:31:45     -282.935040        0.2852
BFGS:   43 15:55:55     -282.949486        0.3404
BFGS:   44 16:20:48     -282.960881        0.3818
BFGS:   45 16:44:58     -282.975615        0.4067
BFGS:   46 17:10:00     -282.988943        0.4199
BFGS:   47 17:32:45     -283.000837        0.4297
BFGS:   48 18:00:41     -283.018744        0.4148
BFGS:   49 18:26:29     -283.033136        0.4059
BFGS:   50 18:52:21     -283.046451        0.4512
BFGS:   51 19:18:43     -283.062880        0.3893
BFGS:   52 19:45:05     -283.076883        0.4013
BFGS:   53 20:09:25     -283.094570        0.3670
BFGS:   54 20:33:39     -283.108023        0.3397
BFGS:   55 20:57:55     -283.119798        0.3182
BFGS:   56 21:22:56     -283.134737        0.2774
BFGS:   57 21:47:15     -283.144847        0.3421
BFGS:   58 22:09:13     -283.154719        0.2614
BFGS:   59 22:32:45     -283.163957        0.3653
BFGS:   60 22:55:38     -283.169369        0.3121
BFGS:   61 23:16:57     -283.176867        0.3361
BFGS:   62 23:40:26     -283.184417        0.3432
BFGS:   63 00:01:37     -283.192820        0.3076
BFGS:   64 00:25:39     -283.198445        0.2809
BFGS:   65 00:50:36     -283.212135        0.2851
BFGS:   66 01:14:39     -283.219828        0.3093
BFGS:   67 01:41:39     -283.230982        0.3416
BFGS:   68 02:09:30     -283.244983        0.3283
BFGS:   69 02:39:29     -283.252981        0.2281
BFGS:   70 03:06:34     -283.258478        0.1833
BFGS:   71 03:35:03     -283.262998        0.1421
BFGS:   72 03:51:56     -283.265071        0.1291
BFGS:   73 04:19:39     -283.270463        0.1360
BFGS:   74 04:50:18     -283.273414        0.1259
BFGS:   75 05:15:51     -283.276190        0.1120
BFGS:   76 05:42:51     -283.278791        0.0914
BFGS:   77 06:05:29     -283.280513        0.0860
BFGS:   78 06:37:34     -283.283047        0.1242
BFGS:   79 07:00:15     -283.285840        0.1358
BFGS:   80 07:25:19     -283.288495        0.0909
BFGS:   81 07:47:17     -283.289882        0.0949
BFGS:   82 08:05:32     -283.290882        0.0955
BFGS:   83 08:31:48     -283.294531        0.1393
BFGS:   84 08:57:26     -283.296157        0.1088
BFGS:   85 09:22:18     -283.297473        0.0546
BFGS:   86 09:45:41     -283.298176        0.0649
BFGS:   87 10:11:26     -283.299551        0.0971
BFGS:   88 10:47:10     -283.299434        0.1597
BFGS:   89 11:17:17     -283.301339        0.1248
BFGS:   90 11:37:55     -283.302048        0.1227
BFGS:   91 11:57:01     -283.303626        0.0879
BFGS:   92 12:22:51     -283.303960        0.1151
BFGS:   93 12:42:03     -283.305223        0.0957
BFGS:   94 13:09:13     -283.303904        0.1594
BFGS:   95 13:34:48     -283.305927        0.1130
BFGS:   96 14:05:40     -283.305376        0.1361
BFGS:   97 14:32:13     -283.306625        0.1087
BFGS:   98 15:07:25     -283.305528        0.0494
