      Step     Time          Energy         fmax
BFGS:    0 19:30:36     -323.165366       19.9201
BFGS:    1 19:37:17     -325.422478       14.3181
BFGS:    2 19:43:50     -326.685947       12.1477
BFGS:    3 19:49:23     -327.811901       10.5332
BFGS:    4 19:55:07     -328.635436        9.5099
BFGS:    5 20:00:50     -329.321240        8.5632
BFGS:    6 20:05:44     -329.905450        7.7125
BFGS:    7 20:10:39     -330.405380        6.8197
BFGS:    8 20:15:43     -330.840656        6.0065
BFGS:    9 20:20:24     -331.214955        5.1644
BFGS:   10 20:25:01     -331.545290        4.3301
BFGS:   11 20:29:24     -331.844580        3.6100
BFGS:   12 20:33:50     -332.108771        2.9515
BFGS:   13 20:38:25     -332.346930        2.4598
BFGS:   14 20:42:43     -332.566341        2.1871
BFGS:   15 20:47:19     -332.767511        1.9262
BFGS:   16 20:51:36     -332.950510        1.7219
BFGS:   17 20:55:59     -333.120010        1.5189
BFGS:   18 21:00:34     -333.274794        1.3381
BFGS:   19 21:05:07     -333.414534        1.2408
BFGS:   20 21:09:24     -333.544153        1.2367
BFGS:   21 21:14:12     -333.661081        1.2312
BFGS:   22 21:18:19     -333.766510        1.2568
BFGS:   23 21:22:36     -333.861436        1.1812
BFGS:   24 21:27:18     -333.946966        1.1047
BFGS:   25 21:31:39     -334.024674        1.0704
BFGS:   26 21:35:44     -334.095559        0.9984
BFGS:   27 21:39:54     -334.160083        0.9064
BFGS:   28 21:43:52     -334.218177        0.8264
BFGS:   29 21:47:58     -334.270927        0.8943
BFGS:   30 21:51:55     -334.320963        0.8999
BFGS:   31 21:55:54     -334.367039        0.9459
BFGS:   32 21:59:50     -334.410627        0.9896
BFGS:   33 22:03:42     -334.448593        0.9505
BFGS:   34 22:07:46     -334.483782        0.9865
BFGS:   35 22:11:34     -334.518112        1.0110
BFGS:   36 22:15:14     -334.549440        0.9684
BFGS:   37 22:19:05     -334.579472        0.9440
BFGS:   38 22:23:09     -334.614211        0.8781
BFGS:   39 22:27:29     -334.648187        0.8565
BFGS:   40 22:31:32     -334.681490        0.9068
BFGS:   41 22:35:40     -334.720716        1.0348
BFGS:   42 22:39:44     -334.764672        0.9965
BFGS:   43 22:43:55     -334.803798        1.0605
BFGS:   44 22:48:04     -334.845250        1.0144
BFGS:   45 22:52:16     -334.881600        1.0512
BFGS:   46 22:56:28     -334.913676        1.0378
BFGS:   47 23:00:31     -334.947485        1.0496
BFGS:   48 23:04:43     -334.978810        1.0114
BFGS:   49 23:08:42     -335.009039        1.0366
BFGS:   50 23:12:53     -335.040594        0.9537
BFGS:   51 23:17:04     -335.069950        0.9044
BFGS:   52 23:21:28     -335.122211        0.7987
BFGS:   53 23:25:44     -335.167266        0.7587
BFGS:   54 23:29:53     -335.213007        0.7284
BFGS:   55 23:33:42     -335.256096        0.5560
BFGS:   56 23:37:41     -335.284702        0.5645
BFGS:   57 23:41:40     -335.302391        0.3449
BFGS:   58 23:45:13     -335.315319        0.2983
BFGS:   59 23:48:56     -335.324237        0.3824
BFGS:   60 23:51:51     -335.331487        0.3045
BFGS:   61 23:56:02     -335.346154        0.1714
BFGS:   62 23:59:00     -335.348796        0.1373
BFGS:   63 00:02:06     -335.352551        0.1966
BFGS:   64 00:05:46     -335.360137        0.3234
BFGS:   65 00:09:36     -335.369838        0.3778
BFGS:   66 00:13:18     -335.378282        0.2212
BFGS:   67 00:16:50     -335.382802        0.1291
BFGS:   68 00:20:22     -335.385550        0.1520
BFGS:   69 00:23:12     -335.387645        0.1560
BFGS:   70 00:27:12     -335.391459        0.1481
BFGS:   71 00:30:15     -335.392982        0.0900
BFGS:   72 00:33:05     -335.394631        0.0652
BFGS:   73 00:36:04     -335.396693        0.1028
BFGS:   74 00:39:02     -335.398431        0.1014
BFGS:   75 00:42:19     -335.399972        0.0971
BFGS:   76 00:45:35     -335.401097        0.0960
BFGS:   77 00:49:02     -335.403374        0.1231
BFGS:   78 00:51:21     -335.404669        0.1081
BFGS:   79 00:55:22     -335.408384        0.1515
BFGS:   80 00:57:58     -335.409425        0.1146
BFGS:   81 01:00:57     -335.410428        0.0885
BFGS:   82 01:03:25     -335.411203        0.1131
BFGS:   83 01:06:13     -335.412481        0.0784
BFGS:   84 01:08:57     -335.413360        0.0597
BFGS:   85 01:12:00     -335.414168        0.0618
BFGS:   86 01:14:53     -335.414856        0.0561
BFGS:   87 01:17:52     -335.415657        0.0477
