      Step     Time          Energy         fmax
BFGS:    0 19:40:55     -319.334562       27.3062
BFGS:    1 19:47:23     -321.595181       23.2582
BFGS:    2 19:52:09     -323.290133       19.5700
BFGS:    3 19:57:49     -324.593560       16.7962
BFGS:    4 20:02:05     -325.870260       14.0585
BFGS:    5 20:06:41     -326.847733       11.8321
BFGS:    6 20:10:48     -327.783356        9.8911
BFGS:    7 20:15:00     -328.611325        8.7647
BFGS:    8 20:18:52     -329.375558        8.3742
BFGS:    9 20:23:16     -330.048622        7.8957
BFGS:   10 20:27:47     -330.637767        7.3823
BFGS:   11 20:31:52     -331.151702        6.8961
BFGS:   12 20:35:45     -331.593817        6.3022
BFGS:   13 20:40:02     -331.974913        5.8098
BFGS:   14 20:43:57     -332.300579        5.2276
BFGS:   15 20:48:01     -332.580794        4.6715
BFGS:   16 20:52:00     -332.819494        4.1099
BFGS:   17 20:55:48     -333.023564        3.6795
BFGS:   18 21:00:21     -333.199005        3.1832
BFGS:   19 21:04:17     -333.350537        2.7554
BFGS:   20 21:08:13     -333.480961        2.3818
BFGS:   21 21:12:00     -333.594579        2.0178
BFGS:   22 21:16:06     -333.692287        1.6893
BFGS:   23 21:20:02     -333.776804        1.4564
BFGS:   24 21:24:10     -333.849024        1.2089
BFGS:   25 21:28:41     -333.912020        1.0064
BFGS:   26 21:32:55     -333.965152        0.8053
BFGS:   27 21:37:06     -334.010513        0.6236
BFGS:   28 21:41:01     -334.048647        0.5998
BFGS:   29 21:44:55     -334.081471        0.5552
BFGS:   30 21:48:38     -334.107097        0.6477
BFGS:   31 21:52:17     -334.128563        0.6248
BFGS:   32 21:55:55     -334.144323        0.5411
BFGS:   33 22:00:08     -334.155026        0.5454
BFGS:   34 22:03:47     -334.165434        0.6124
BFGS:   35 22:07:45     -334.175722        0.5332
BFGS:   36 22:11:54     -334.186100        0.6081
BFGS:   37 22:15:49     -334.202676        0.6327
BFGS:   38 22:19:59     -334.219578        0.4371
BFGS:   39 22:24:32     -334.233939        0.2844
BFGS:   40 22:28:38     -334.240614        0.2389
BFGS:   41 22:32:18     -334.244694        0.1818
BFGS:   42 22:34:55     -334.247149        0.1434
BFGS:   43 22:39:00     -334.254071        0.2107
BFGS:   44 22:42:02     -334.256015        0.2333
BFGS:   45 22:45:33     -334.257801        0.2207
BFGS:   46 22:48:32     -334.260063        0.1588
BFGS:   47 22:52:07     -334.263719        0.2135
BFGS:   48 22:55:22     -334.265153        0.1889
BFGS:   49 22:58:15     -334.266170        0.1365
BFGS:   50 23:01:47     -334.268244        0.1181
BFGS:   51 23:04:32     -334.269453        0.1259
BFGS:   52 23:08:29     -334.268070        0.4318
BFGS:   53 23:13:40     -334.268982        0.2377
BFGS:   54 23:17:21     -334.272807        0.1260
BFGS:   55 23:19:55     -334.273661        0.1182
BFGS:   56 23:23:35     -334.276012        0.2152
BFGS:   57 23:27:11     -334.277280        0.1783
BFGS:   58 23:30:10     -334.278362        0.1348
BFGS:   59 23:33:34     -334.279112        0.1658
BFGS:   60 23:36:08     -334.279921        0.1425
BFGS:   61 23:39:27     -334.280965        0.0886
BFGS:   62 23:42:15     -334.281690        0.0567
BFGS:   63 23:44:53     -334.282429        0.0794
BFGS:   64 23:47:50     -334.283539        0.1285
BFGS:   65 23:50:54     -334.284521        0.1061
BFGS:   66 23:54:12     -334.285591        0.0891
BFGS:   67 23:58:07     -334.286719        0.0994
BFGS:   68 00:00:40     -334.287602        0.0851
BFGS:   69 00:03:56     -334.289913        0.0743
BFGS:   70 00:06:42     -334.290677        0.0680
BFGS:   71 00:10:28     -334.291133        0.0541
BFGS:   72 00:13:48     -334.291683        0.0475
