      Step     Time          Energy         fmax
BFGS:    0 18:48:48     -327.216404       14.6509
BFGS:    1 18:55:06     -328.331802       11.7585
BFGS:    2 19:02:11     -329.166802        9.8536
BFGS:    3 19:08:08     -329.946189        8.1434
BFGS:    4 19:13:38     -330.542584        6.7246
BFGS:    5 19:19:18     -331.016002        5.7503
BFGS:    6 19:24:38     -331.406170        4.8211
BFGS:    7 19:29:49     -331.734769        4.1807
BFGS:    8 19:34:29     -332.018237        3.5852
BFGS:    9 19:39:15     -332.262297        3.1961
BFGS:   10 19:43:39     -332.475552        2.8480
BFGS:   11 19:47:51     -332.663137        2.5957
BFGS:   12 19:52:11     -332.827697        2.3082
BFGS:   13 19:56:24     -332.973767        2.0765
BFGS:   14 20:00:19     -333.102907        1.8052
BFGS:   15 20:04:18     -333.219030        1.6184
BFGS:   16 20:08:14     -333.322474        1.4446
BFGS:   17 20:12:32     -333.415367        1.2148
BFGS:   18 20:16:35     -333.499895        1.0803
BFGS:   19 20:20:47     -333.575011        0.9350
BFGS:   20 20:24:57     -333.642820        0.7588
BFGS:   21 20:29:04     -333.703968        0.6811
BFGS:   22 20:33:02     -333.758981        0.6767
BFGS:   23 20:36:59     -333.809098        0.6398
BFGS:   24 20:40:58     -333.855216        0.6566
BFGS:   25 20:44:52     -333.896985        0.5832
BFGS:   26 20:48:47     -333.935427        0.5864
BFGS:   27 20:52:38     -333.970608        0.5055
BFGS:   28 20:56:35     -334.003008        0.5514
BFGS:   29 21:00:28     -334.031653        0.4377
BFGS:   30 21:04:25     -334.057456        0.4086
BFGS:   31 21:08:32     -334.080924        0.4064
BFGS:   32 21:12:14     -334.101852        0.4090
BFGS:   33 21:16:08     -334.120732        0.3876
BFGS:   34 21:20:06     -334.136863        0.4324
BFGS:   35 21:23:56     -334.150513        0.4224
BFGS:   36 21:28:01     -334.163506        0.4347
BFGS:   37 21:32:24     -334.176062        0.4236
BFGS:   38 21:36:42     -334.187477        0.4722
BFGS:   39 21:41:26     -334.203481        0.3941
BFGS:   40 21:46:05     -334.219470        0.4030
BFGS:   41 21:51:07     -334.240711        0.3246
BFGS:   42 21:55:48     -334.260038        0.2330
BFGS:   43 22:00:38     -334.271607        0.1953
BFGS:   44 22:05:13     -334.277417        0.2238
BFGS:   45 22:09:04     -334.284654        0.1537
BFGS:   46 22:13:59     -334.297247        0.2539
BFGS:   47 22:17:21     -334.308788        0.2699
BFGS:   48 22:21:42     -334.324132        0.2612
BFGS:   49 22:26:01     -334.333571        0.2893
BFGS:   50 22:30:19     -334.342165        0.3244
BFGS:   51 22:34:30     -334.356708        0.3165
BFGS:   52 22:39:02     -334.373112        0.2829
BFGS:   53 22:42:53     -334.391254        0.2530
BFGS:   54 22:46:42     -334.406729        0.2798
BFGS:   55 22:50:38     -334.413422        0.7214
BFGS:   56 22:54:38     -334.420050        0.3797
BFGS:   57 22:57:45     -334.427092        0.2260
BFGS:   58 23:01:19     -334.439640        0.1816
BFGS:   59 23:05:09     -334.447139        0.2338
BFGS:   60 23:09:01     -334.454806        0.2946
BFGS:   61 23:12:22     -334.462564        0.3988
BFGS:   62 23:16:09     -334.472889        0.2532
BFGS:   63 23:19:29     -334.480088        0.2895
BFGS:   64 23:22:57     -334.489139        0.1928
BFGS:   65 23:26:41     -334.495213        0.2334
BFGS:   66 23:30:21     -334.501256        0.2330
BFGS:   67 23:33:40     -334.505709        0.2364
BFGS:   68 23:36:54     -334.511198        0.1934
BFGS:   69 23:40:18     -334.514153        0.1547
BFGS:   70 23:43:36     -334.518217        0.1676
BFGS:   71 23:46:58     -334.521803        0.1955
BFGS:   72 23:50:30     -334.525507        0.1658
BFGS:   73 23:54:37     -334.530433        0.2326
BFGS:   74 23:58:34     -334.534471        0.2450
BFGS:   75 00:02:18     -334.539506        0.2969
BFGS:   76 00:05:44     -334.545290        0.2778
BFGS:   77 00:09:44     -334.548793        0.1520
BFGS:   78 00:13:18     -334.551100        0.1548
BFGS:   79 00:16:47     -334.553594        0.1752
BFGS:   80 00:20:49     -334.556534        0.2091
BFGS:   81 00:23:48     -334.558865        0.1538
BFGS:   82 00:27:10     -334.561812        0.1216
BFGS:   83 00:30:15     -334.563340        0.1188
BFGS:   84 00:34:13     -334.566425        0.1953
BFGS:   85 00:38:35     -334.569020        0.1610
BFGS:   86 00:41:18     -334.570795        0.1513
BFGS:   87 00:45:39     -334.576073        0.2441
BFGS:   88 00:48:28     -334.578762        0.2278
BFGS:   89 00:52:11     -334.582782        0.1017
BFGS:   90 00:55:43     -334.584180        0.0889
BFGS:   91 01:00:02     -334.586268        0.1293
BFGS:   92 01:02:45     -334.587298        0.1036
BFGS:   93 01:06:27     -334.588728        0.0751
BFGS:   94 01:09:47     -334.589434        0.0685
BFGS:   95 01:12:46     -334.590383        0.0717
BFGS:   96 01:16:06     -334.591937        0.0905
BFGS:   97 01:19:19     -334.593198        0.0945
BFGS:   98 01:22:32     -334.594584        0.0850
BFGS:   99 01:25:38     -334.595582        0.0710
BFGS:  100 01:29:35     -334.596756        0.1474
BFGS:  101 01:32:22     -334.597457        0.1170
BFGS:  102 01:36:39     -334.598297        0.0908
BFGS:  103 01:40:32     -334.599186        0.0681
BFGS:  104 01:43:29     -334.599797        0.0568
BFGS:  105 01:47:01     -334.600958        0.0560
BFGS:  106 01:49:51     -334.601626        0.0584
BFGS:  107 01:52:57     -334.602820        0.0493
