      Step     Time          Energy         fmax
BFGS:    0 18:51:46     -323.955646       12.7677
BFGS:    1 18:57:25     -325.395758       13.8160
BFGS:    2 19:03:32     -326.787405       13.0362
BFGS:    3 19:09:20     -327.870528       11.3874
BFGS:    4 19:14:54     -328.868198       10.7722
BFGS:    5 19:20:32     -329.559033        8.1459
BFGS:    6 19:26:26     -330.252981        7.9903
BFGS:    7 19:31:39     -330.772971        6.7895
BFGS:    8 19:36:45     -331.217259        6.1334
BFGS:    9 19:41:39     -331.585100        5.5381
BFGS:   10 19:47:08     -331.897955        5.0865
BFGS:   11 19:52:34     -332.169951        4.5913
BFGS:   12 19:58:14     -332.411754        4.2474
BFGS:   13 20:03:47     -332.626573        3.9213
BFGS:   14 20:08:39     -332.817099        3.6699
BFGS:   15 20:13:20     -332.984507        3.3674
BFGS:   16 20:17:49     -333.126644        3.0576
BFGS:   17 20:22:36     -333.247083        2.7479
BFGS:   18 20:27:07     -333.348522        2.4179
BFGS:   19 20:32:22     -333.439149        2.0933
BFGS:   20 20:37:00     -333.518232        1.8929
BFGS:   21 20:41:09     -333.588671        1.6143
BFGS:   22 20:45:39     -333.652638        1.4198
BFGS:   23 20:50:03     -333.709210        1.2153
BFGS:   24 20:54:11     -333.760836        1.1195
BFGS:   25 20:58:55     -333.804972        0.9918
BFGS:   26 21:03:11     -333.845591        0.8742
BFGS:   27 21:07:27     -333.880353        0.8726
BFGS:   28 21:11:57     -333.912656        0.7785
BFGS:   29 21:16:09     -333.942161        0.7894
BFGS:   30 21:20:32     -333.968984        0.8183
BFGS:   31 21:24:35     -333.996995        0.8623
BFGS:   32 21:28:42     -334.024158        0.8971
BFGS:   33 21:33:02     -334.050974        0.8963
BFGS:   34 21:37:19     -334.075860        0.9000
BFGS:   35 21:41:27     -334.102879        0.8822
BFGS:   36 21:45:50     -334.127158        0.9090
BFGS:   37 21:50:02     -334.153850        0.8053
BFGS:   38 21:54:27     -334.180033        0.5412
BFGS:   39 22:00:08     -334.196882        1.3785
BFGS:   40 22:06:07     -334.228390        0.9757
BFGS:   41 22:10:23     -334.252996        1.2604
BFGS:   42 22:14:44     -334.277729        1.4882
BFGS:   43 22:18:54     -334.303797        1.4872
BFGS:   44 22:23:12     -334.328180        1.3886
BFGS:   45 22:27:51     -334.350175        1.3182
BFGS:   46 22:32:39     -334.370483        1.0874
