      Step     Time          Energy         fmax
BFGS:    0 18:46:29     -327.228968       14.9760
BFGS:    1 18:52:52     -328.154337       12.2792
BFGS:    2 18:59:06     -328.873390       10.2980
BFGS:    3 19:04:51     -329.588353        8.5235
BFGS:    4 19:10:56     -330.237653        6.8848
BFGS:    5 19:16:50     -330.759438        5.6870
BFGS:    6 19:21:48     -331.176254        4.6793
BFGS:    7 19:26:38     -331.518829        3.8827
BFGS:    8 19:31:03     -331.806017        3.2531
BFGS:    9 19:35:14     -332.050146        2.8044
BFGS:   10 19:39:59     -332.259558        2.4360
BFGS:   11 19:44:11     -332.440542        2.1035
BFGS:   12 19:48:34     -332.595720        1.8002
BFGS:   13 19:52:44     -332.731170        1.4967
BFGS:   14 19:56:51     -332.847678        1.1918
BFGS:   15 20:00:39     -332.949680        0.9648
BFGS:   16 20:04:22     -333.037807        0.7058
BFGS:   17 20:08:27     -333.114125        0.5671
BFGS:   18 20:12:17     -333.183588        0.5152
BFGS:   19 20:16:29     -333.244383        0.4760
BFGS:   20 20:20:24     -333.295769        0.5040
BFGS:   21 20:24:43     -333.344322        0.5029
BFGS:   22 20:28:42     -333.387130        0.4738
BFGS:   23 20:32:47     -333.425244        0.4881
BFGS:   24 20:37:05     -333.459177        0.5180
BFGS:   25 20:41:15     -333.489266        0.5211
BFGS:   26 20:45:28     -333.515134        0.5399
BFGS:   27 20:49:38     -333.541020        0.5563
BFGS:   28 20:53:48     -333.566006        0.5602
BFGS:   29 20:58:11     -333.592779        0.5473
BFGS:   30 21:02:49     -333.616934        0.4514
BFGS:   31 21:08:15     -333.646292        0.3979
BFGS:   32 21:12:56     -333.669811        0.3215
BFGS:   33 21:17:09     -333.682489        0.3257
BFGS:   34 21:21:04     -333.689327        0.3137
BFGS:   35 21:25:22     -333.696351        0.2732
BFGS:   36 21:28:28     -333.701749        0.2231
BFGS:   37 21:32:21     -333.716351        0.1355
BFGS:   38 21:36:55     -333.730536        0.1801
BFGS:   39 21:41:13     -333.745381        0.1910
BFGS:   40 21:45:38     -333.754548        0.1795
BFGS:   41 21:49:44     -333.760126        0.1775
BFGS:   42 21:53:32     -333.767332        0.1786
BFGS:   43 21:57:21     -333.774695        0.1904
BFGS:   44 22:01:32     -333.786466        0.2385
BFGS:   45 22:06:00     -333.797092        0.3196
BFGS:   46 22:11:44     -333.807071        0.3009
BFGS:   47 22:16:10     -333.816696        0.3007
BFGS:   48 22:20:29     -333.830516        0.2572
BFGS:   49 22:24:55     -333.845409        0.2829
BFGS:   50 22:28:28     -333.856284        0.2915
BFGS:   51 22:32:11     -333.864720        0.2969
BFGS:   52 22:35:59     -333.872311        0.2657
BFGS:   53 22:40:08     -333.882270        0.2557
BFGS:   54 22:43:41     -333.892959        0.2455
BFGS:   55 22:47:46     -333.904522        0.2579
BFGS:   56 22:52:14     -333.917792        0.2508
BFGS:   57 22:56:30     -333.928444        0.2936
BFGS:   58 23:00:38     -333.940207        0.2578
BFGS:   59 23:04:42     -333.949154        0.2343
BFGS:   60 23:09:01     -333.957281        0.2269
BFGS:   61 23:13:03     -333.968027        0.1744
BFGS:   62 23:16:44     -333.978146        0.2408
BFGS:   63 23:20:33     -333.987300        0.2993
BFGS:   64 23:24:33     -333.994153        0.3390
BFGS:   65 23:28:11     -334.007841        0.3422
BFGS:   66 23:32:13     -334.029552        0.3104
BFGS:   67 23:36:20     -334.046355        0.2625
BFGS:   68 23:40:35     -334.055399        0.2217
BFGS:   69 23:44:19     -334.062939        0.2275
BFGS:   70 23:48:35     -334.072533        0.2124
BFGS:   71 23:52:32     -334.077981        0.1647
BFGS:   72 23:56:22     -334.084492        0.1588
BFGS:   73 00:00:15     -334.089088        0.1528
BFGS:   74 00:03:44     -334.091333        0.1892
BFGS:   75 00:08:00     -334.097480        0.1647
BFGS:   76 00:12:33     -334.107942        0.2231
BFGS:   77 00:17:22     -334.116102        0.2193
BFGS:   78 00:22:04     -334.122082        0.1844
BFGS:   79 00:27:10     -334.131014        0.1840
BFGS:   80 00:31:36     -334.133598        0.1652
BFGS:   81 00:34:51     -334.137747        0.1574
BFGS:   82 00:38:57     -334.141396        0.1663
BFGS:   83 00:42:03     -334.145010        0.0994
BFGS:   84 00:45:20     -334.148513        0.0757
BFGS:   85 00:49:19     -334.150451        0.0773
BFGS:   86 00:53:29     -334.151883        0.0911
BFGS:   87 00:57:43     -334.153228        0.0888
BFGS:   88 01:02:05     -334.154681        0.0884
BFGS:   89 01:05:47     -334.156052        0.1156
BFGS:   90 01:09:39     -334.157286        0.1085
BFGS:   91 01:13:24     -334.159246        0.0811
BFGS:   92 01:17:35     -334.160560        0.0818
BFGS:   93 01:20:49     -334.161548        0.0688
BFGS:   94 01:23:26     -334.162422        0.0596
BFGS:   95 01:26:37     -334.163047        0.0577
BFGS:   96 01:30:16     -334.163743        0.0596
BFGS:   97 01:33:50     -334.164468        0.0540
BFGS:   98 01:38:36     -334.165471        0.0890
BFGS:   99 01:41:35     -334.166061        0.0693
BFGS:  100 01:44:32     -334.166707        0.0523
BFGS:  101 01:47:57     -334.167158        0.0453
