      Step     Time          Energy         fmax
BFGS:    0 22:09:04     -345.771180       15.3775
BFGS:    1 22:15:28     -346.805220        9.6757
BFGS:    2 22:22:02     -347.621435        7.8009
BFGS:    3 22:29:20     -348.308321        6.7165
BFGS:    4 22:35:57     -348.858274        5.7140
BFGS:    5 22:42:04     -349.312057        4.9577
BFGS:    6 22:47:27     -349.700234        4.2795
BFGS:    7 22:53:05     -350.030534        3.7995
BFGS:    8 22:58:12     -350.320940        3.4754
BFGS:    9 23:02:43     -350.573016        3.1203
BFGS:   10 23:07:39     -350.794153        2.7849
BFGS:   11 23:12:03     -350.991633        2.5184
BFGS:   12 23:16:28     -351.166128        2.2393
BFGS:   13 23:20:59     -351.323360        2.0305
BFGS:   14 23:25:24     -351.464106        1.7940
BFGS:   15 23:29:52     -351.590732        1.5757
BFGS:   16 23:34:06     -351.704318        1.3693
BFGS:   17 23:38:28     -351.807757        1.2172
BFGS:   18 23:42:53     -351.901714        1.0185
BFGS:   19 23:47:07     -351.988192        0.8915
BFGS:   20 23:51:30     -352.064467        0.7818
BFGS:   21 23:55:49     -352.134227        0.7911
BFGS:   22 00:00:24     -352.198881        0.7471
BFGS:   23 00:04:54     -352.257210        0.8016
BFGS:   24 00:09:01     -352.311641        0.7944
BFGS:   25 00:13:26     -352.361771        0.7070
BFGS:   26 00:17:49     -352.406779        0.6725
BFGS:   27 00:22:13     -352.446097        0.6366
BFGS:   28 00:26:43     -352.481570        0.5347
BFGS:   29 00:31:36     -352.509724        0.5857
BFGS:   30 00:36:13     -352.532364        0.5717
BFGS:   31 00:40:42     -352.552319        0.6360
BFGS:   32 00:45:31     -352.577618        0.7932
BFGS:   33 00:50:11     -352.601251        0.9341
BFGS:   34 00:54:54     -352.631970        1.0040
BFGS:   35 00:59:54     -352.661283        1.0561
BFGS:   36 01:04:23     -352.696308        1.0473
BFGS:   37 01:08:49     -352.729307        1.0284
BFGS:   38 01:13:18     -352.761664        0.9743
BFGS:   39 01:17:57     -352.797746        0.8634
BFGS:   40 01:22:33     -352.829868        0.7476
BFGS:   41 01:26:49     -352.857451        0.6269
BFGS:   42 01:31:38     -352.883303        0.6370
BFGS:   43 01:36:17     -352.907844        0.6603
BFGS:   44 01:40:46     -352.929420        0.6751
BFGS:   45 01:45:17     -352.950799        0.6808
BFGS:   46 01:49:40     -352.969042        0.6821
BFGS:   47 01:54:20     -352.998268        0.6855
BFGS:   48 01:59:03     -353.024987        0.7991
BFGS:   49 02:03:21     -353.060899        1.0123
BFGS:   50 02:07:33     -353.093261        1.0579
BFGS:   51 02:12:13     -353.139240        0.9869
BFGS:   52 02:16:36     -353.176579        0.8911
BFGS:   53 02:21:25     -353.216249        0.7474
BFGS:   54 02:25:54     -353.251478        0.7919
BFGS:   55 02:30:25     -353.281216        0.7732
BFGS:   56 02:34:41     -353.316029        0.7660
BFGS:   57 02:38:58     -353.349286        0.6692
BFGS:   58 02:43:37     -353.381462        0.5130
BFGS:   59 02:48:15     -353.410252        0.4970
BFGS:   60 02:52:56     -353.432989        0.3438
BFGS:   61 02:56:55     -353.443205        0.2683
BFGS:   62 03:00:19     -353.448937        0.2327
BFGS:   63 03:04:11     -353.462693        0.2778
BFGS:   64 03:08:24     -353.476143        0.3868
BFGS:   65 03:12:30     -353.489489        0.3804
BFGS:   66 03:16:28     -353.496385        0.3372
BFGS:   67 03:19:39     -353.500571        0.2923
BFGS:   68 03:23:16     -353.505344        0.2372
BFGS:   69 03:26:46     -353.512430        0.2119
BFGS:   70 03:31:02     -353.522719        0.1822
BFGS:   71 03:34:30     -353.527114        0.1954
BFGS:   72 03:37:41     -353.531321        0.1891
BFGS:   73 03:41:19     -353.534964        0.2011
BFGS:   74 03:44:59     -353.539318        0.2669
BFGS:   75 03:48:45     -353.543448        0.3232
BFGS:   76 03:52:57     -353.548056        0.2930
BFGS:   77 03:56:49     -353.550910        0.2230
BFGS:   78 04:00:31     -353.557529        0.1900
BFGS:   79 04:04:38     -353.564279        0.2590
BFGS:   80 04:08:13     -353.569642        0.2182
BFGS:   81 04:11:57     -353.572591        0.1264
BFGS:   82 04:15:09     -353.574749        0.1770
BFGS:   83 04:18:21     -353.577393        0.1618
BFGS:   84 04:21:38     -353.580525        0.1496
BFGS:   85 04:25:06     -353.582697        0.0878
BFGS:   86 04:28:41     -353.584988        0.1695
BFGS:   87 04:32:52     -353.587389        0.3123
BFGS:   88 04:35:32     -353.589521        0.2346
BFGS:   89 04:39:02     -353.593348        0.0895
BFGS:   90 04:42:14     -353.595617        0.1306
BFGS:   91 04:46:45     -353.600290        0.1732
BFGS:   92 04:50:09     -353.603033        0.1638
BFGS:   93 04:54:31     -353.606757        0.1496
BFGS:   94 04:57:55     -353.609452        0.1046
BFGS:   95 05:02:08     -353.612865        0.1759
BFGS:   96 05:05:11     -353.614791        0.1990
BFGS:   97 05:08:57     -353.619888        0.1842
BFGS:   98 05:13:42     -353.621847        0.2017
BFGS:   99 05:17:10     -353.625405        0.1489
BFGS:  100 05:20:43     -353.628847        0.0860
BFGS:  101 05:23:56     -353.630327        0.0757
BFGS:  102 05:28:00     -353.634414        0.1502
BFGS:  103 05:32:27     -353.634745        0.1872
BFGS:  104 05:36:04     -353.636746        0.1119
BFGS:  105 05:39:38     -353.639986        0.0997
BFGS:  106 05:42:42     -353.642051        0.0874
BFGS:  107 05:46:18     -353.644130        0.0849
BFGS:  108 05:49:06     -353.645042        0.0905
BFGS:  109 05:53:13     -353.646593        0.0978
BFGS:  110 05:56:53     -353.648561        0.1044
BFGS:  111 06:00:44     -353.649965        0.0603
