      Step     Time          Energy         fmax
BFGS:    0 22:10:54     -341.388148       12.7387
BFGS:    1 22:18:28     -342.532268       16.7424
BFGS:    2 22:26:49     -343.394854       17.5042
BFGS:    3 22:34:24     -344.606173       16.5522
BFGS:    4 22:40:37     -345.675042       15.0209
BFGS:    5 22:47:07     -346.569386       12.9783
BFGS:    6 22:53:00     -347.323836       10.9225
BFGS:    7 22:58:56     -347.965995        9.1696
BFGS:    8 23:04:30     -348.515892        7.6424
BFGS:    9 23:09:29     -348.987360        6.7671
BFGS:   10 23:14:20     -349.394946        6.0940
BFGS:   11 23:19:08     -349.747894        5.4353
BFGS:   12 23:23:59     -350.058914        4.8947
BFGS:   13 23:28:59     -350.334874        4.3724
BFGS:   14 23:34:05     -350.583470        3.9895
BFGS:   15 23:39:07     -350.803763        3.5289
BFGS:   16 23:44:05     -351.002017        3.1917
BFGS:   17 23:48:48     -351.175263        2.8275
BFGS:   18 23:53:28     -351.330588        2.4898
BFGS:   19 23:58:19     -351.466872        2.1957
BFGS:   20 00:02:46     -351.584477        1.9110
BFGS:   21 00:07:37     -351.685486        1.6099
BFGS:   22 00:12:01     -351.768857        1.4003
BFGS:   23 00:16:29     -351.837590        1.1887
BFGS:   24 00:21:26     -351.895565        0.9390
BFGS:   25 00:26:31     -351.941275        0.7563
BFGS:   26 00:30:53     -351.978133        0.6952
BFGS:   27 00:35:29     -352.009032        0.5976
BFGS:   28 00:39:46     -352.035191        0.5746
BFGS:   29 00:43:42     -352.057497        0.6239
BFGS:   30 00:47:35     -352.076633        0.6492
BFGS:   31 00:51:48     -352.094831        0.6194
BFGS:   32 00:55:59     -352.111019        0.5707
BFGS:   33 00:59:49     -352.126397        0.5069
BFGS:   34 01:03:37     -352.138493        0.4523
BFGS:   35 01:07:23     -352.151424        0.4115
BFGS:   36 01:11:08     -352.162982        0.3589
BFGS:   37 01:15:02     -352.175913        0.4036
BFGS:   38 01:18:41     -352.185721        0.3954
BFGS:   39 01:22:26     -352.194230        0.3233
BFGS:   40 01:26:32     -352.206976        0.4920
BFGS:   41 01:30:45     -352.216179        0.4116
BFGS:   42 01:35:01     -352.230638        0.5582
BFGS:   43 01:39:35     -352.243355        0.5039
BFGS:   44 01:43:46     -352.257815        0.5078
BFGS:   45 01:48:17     -352.269204        0.4463
BFGS:   46 01:52:28     -352.283748        0.4252
BFGS:   47 01:57:36     -352.296955        0.4010
BFGS:   48 02:02:19     -352.310457        0.4219
BFGS:   49 02:07:11     -352.323122        0.6034
BFGS:   50 02:11:30     -352.338136        0.5465
BFGS:   51 02:16:25     -352.363732        0.4014
BFGS:   52 02:20:38     -352.380874        0.6913
BFGS:   53 02:24:55     -352.396183        0.6283
BFGS:   54 02:29:05     -352.406931        0.4683
BFGS:   55 02:33:01     -352.417746        0.3824
BFGS:   56 02:37:12     -352.425865        0.2359
BFGS:   57 02:41:15     -352.432542        0.1983
BFGS:   58 02:44:28     -352.436217        0.1885
BFGS:   59 02:48:49     -352.443627        0.1952
BFGS:   60 02:53:43     -352.447753        0.2618
BFGS:   61 02:58:25     -352.452217        0.2947
BFGS:   62 03:03:15     -352.456143        0.3366
BFGS:   63 03:06:24     -352.458436        0.2184
BFGS:   64 03:10:34     -352.463903        0.2537
BFGS:   65 03:14:23     -352.467612        0.2697
BFGS:   66 03:19:21     -352.472701        0.3720
BFGS:   67 03:24:30     -352.478018        0.3276
BFGS:   68 03:28:25     -352.481134        0.2756
BFGS:   69 03:31:31     -352.484629        0.2331
BFGS:   70 03:35:25     -352.491618        0.2483
BFGS:   71 03:38:59     -352.494990        0.1910
BFGS:   72 03:42:51     -352.499874        0.1903
BFGS:   73 03:47:13     -352.502751        0.1269
BFGS:   74 03:51:06     -352.504642        0.1168
BFGS:   75 03:55:45     -352.506125        0.1092
BFGS:   76 03:58:52     -352.507814        0.1827
BFGS:   77 04:02:23     -352.509630        0.2005
BFGS:   78 04:05:53     -352.513104        0.1630
BFGS:   79 04:10:07     -352.516425        0.1510
BFGS:   80 04:14:11     -352.519848        0.2821
BFGS:   81 04:18:29     -352.522938        0.3104
BFGS:   82 04:22:39     -352.525090        0.1966
BFGS:   83 04:26:09     -352.526555        0.0875
BFGS:   84 04:29:37     -352.527665        0.3098
BFGS:   85 04:32:38     -352.528976        0.2735
BFGS:   86 04:36:39     -352.531504        0.1186
BFGS:   87 04:40:11     -352.532677        0.1076
BFGS:   88 04:43:28     -352.533957        0.1515
BFGS:   89 04:47:38     -352.536268        0.2117
BFGS:   90 04:52:19     -352.538343        0.1825
BFGS:   91 04:55:45     -352.540313        0.1359
BFGS:   92 04:59:57     -352.541127        0.1163
BFGS:   93 05:03:54     -352.543607        0.0614
BFGS:   94 05:06:59     -352.544380        0.0611
BFGS:   95 05:12:15     -352.547769        0.0626
BFGS:   96 05:16:26     -352.548981        0.0928
BFGS:   97 05:21:27     -352.550399        0.1685
