      Step     Time          Energy         fmax
BFGS:    0 22:05:56     -341.410306       24.8815
BFGS:    1 22:13:18     -343.638819       18.5524
BFGS:    2 22:19:46     -344.951697       15.9227
BFGS:    3 22:26:12     -346.018020       13.7110
BFGS:    4 22:32:32     -346.771882       12.3447
BFGS:    5 22:38:59     -347.401407       11.0880
BFGS:    6 22:44:22     -347.935273        9.9906
BFGS:    7 22:50:27     -348.405071        9.0023
BFGS:    8 22:55:39     -348.813768        7.9544
BFGS:    9 23:00:35     -349.182017        7.1405
BFGS:   10 23:05:35     -349.507386        6.3191
BFGS:   11 23:10:17     -349.799917        5.5641
BFGS:   12 23:15:02     -350.062495        4.8941
BFGS:   13 23:19:49     -350.298910        4.3113
BFGS:   14 23:24:21     -350.513249        3.7717
BFGS:   15 23:28:48     -350.707401        3.3073
BFGS:   16 23:33:27     -350.882852        2.8757
BFGS:   17 23:38:02     -351.041472        2.4885
BFGS:   18 23:42:22     -351.184225        2.1608
BFGS:   19 23:46:48     -351.312542        1.8123
BFGS:   20 23:51:14     -351.429624        1.5266
BFGS:   21 23:55:47     -351.533740        1.2635
BFGS:   22 00:00:08     -351.627315        1.0505
BFGS:   23 00:04:41     -351.713925        1.0032
BFGS:   24 00:08:57     -351.793271        0.9120
BFGS:   25 00:13:35     -351.865906        0.9240
BFGS:   26 00:17:56     -351.936046        0.8738
BFGS:   27 00:22:22     -352.001994        0.8831
BFGS:   28 00:26:55     -352.066811        0.8323
BFGS:   29 00:31:29     -352.125780        0.8917
BFGS:   30 00:35:35     -352.178066        0.9123
BFGS:   31 00:40:00     -352.225580        0.9215
BFGS:   32 00:44:33     -352.268645        0.8150
BFGS:   33 00:49:22     -352.304754        0.8483
BFGS:   34 00:53:58     -352.340405        0.8150
BFGS:   35 00:58:48     -352.372767        0.7134
BFGS:   36 01:03:35     -352.404896        0.8535
BFGS:   37 01:08:18     -352.438433        0.9572
BFGS:   38 01:12:47     -352.472772        1.0350
BFGS:   39 01:17:30     -352.503744        1.0997
BFGS:   40 01:22:07     -352.539630        1.1033
BFGS:   41 01:26:48     -352.576878        1.0719
BFGS:   42 01:31:13     -352.609866        1.0339
BFGS:   43 01:35:44     -352.642709        0.9721
BFGS:   44 01:40:15     -352.674703        0.8892
BFGS:   45 01:44:55     -352.710628        0.7489
BFGS:   46 01:49:49     -352.739415        0.6364
BFGS:   47 01:54:13     -352.768646        0.5860
BFGS:   48 01:58:43     -352.796918        0.6222
BFGS:   49 02:03:09     -352.824665        0.6420
BFGS:   50 02:07:32     -352.857630        0.6419
BFGS:   51 02:11:55     -352.892537        0.6302
BFGS:   52 02:16:25     -352.932145        0.8396
BFGS:   53 02:21:14     -352.968805        0.7469
BFGS:   54 02:25:27     -353.002001        0.7322
BFGS:   55 02:29:54     -353.036832        0.6950
BFGS:   56 02:34:23     -353.075055        0.7191
BFGS:   57 02:38:41     -353.115058        0.7978
BFGS:   58 02:42:44     -353.152679        0.7989
BFGS:   59 02:47:03     -353.191478        0.8158
BFGS:   60 02:51:23     -353.230716        0.8178
BFGS:   61 02:55:39     -353.267353        0.7652
BFGS:   62 02:59:59     -353.301621        0.6166
BFGS:   63 03:04:15     -353.338127        0.6741
BFGS:   64 03:08:32     -353.366820        0.6972
BFGS:   65 03:12:26     -353.394540        0.6066
BFGS:   66 03:16:16     -353.423259        0.4189
BFGS:   67 03:20:43     -353.451129        0.6338
BFGS:   68 03:25:25     -353.473029        0.5537
BFGS:   69 03:28:45     -353.479676        0.2332
BFGS:   70 03:32:30     -353.486015        0.3128
BFGS:   71 03:36:05     -353.491715        0.3478
BFGS:   72 03:39:55     -353.499589        0.4576
BFGS:   73 03:44:04     -353.507290        0.3433
BFGS:   74 03:48:08     -353.515125        0.2558
BFGS:   75 03:51:54     -353.517958        0.2875
BFGS:   76 03:54:50     -353.519699        0.2425
BFGS:   77 03:58:32     -353.523786        0.1924
BFGS:   78 04:01:28     -353.526232        0.1531
BFGS:   79 04:05:44     -353.531586        0.1318
BFGS:   80 04:09:10     -353.533471        0.1069
BFGS:   81 04:13:03     -353.535607        0.1668
BFGS:   82 04:16:07     -353.536823        0.1550
BFGS:   83 04:19:23     -353.539530        0.1489
BFGS:   84 04:23:20     -353.541213        0.1394
BFGS:   85 04:26:24     -353.542486        0.0917
BFGS:   86 04:29:30     -353.544247        0.0577
BFGS:   87 04:32:45     -353.545881        0.0766
BFGS:   88 04:36:08     -353.546973        0.0957
BFGS:   89 04:39:14     -353.547966        0.0494
