      Step     Time          Energy         fmax
BFGS:    0 22:06:22     -342.574110       21.9892
BFGS:    1 22:13:02     -344.601420       17.6070
BFGS:    2 22:19:33     -345.829718       15.1755
BFGS:    3 22:25:56     -346.700244       13.4783
BFGS:    4 22:31:29     -347.379580       11.9570
BFGS:    5 22:36:34     -347.955181       10.6747
BFGS:    6 22:41:06     -348.442147        9.3603
BFGS:    7 22:46:42     -348.870459        8.2278
BFGS:    8 22:51:12     -349.245176        7.1825
BFGS:    9 22:56:59     -349.575521        6.2256
BFGS:   10 23:01:14     -349.874512        5.3899
BFGS:   11 23:05:38     -350.141940        4.6280
BFGS:   12 23:10:03     -350.381982        4.0492
BFGS:   13 23:14:05     -350.595437        3.4684
BFGS:   14 23:18:11     -350.787422        3.0305
BFGS:   15 23:22:19     -350.960126        2.5981
BFGS:   16 23:26:53     -351.113977        2.3139
BFGS:   17 23:31:01     -351.250886        1.9895
BFGS:   18 23:35:01     -351.372024        1.7627
BFGS:   19 23:38:54     -351.478276        1.5439
BFGS:   20 23:43:01     -351.572271        1.3554
BFGS:   21 23:46:59     -351.655956        1.2019
BFGS:   22 23:51:06     -351.731562        1.0649
BFGS:   23 23:55:41     -351.799380        0.9494
BFGS:   24 23:59:46     -351.860244        0.8306
BFGS:   25 00:03:47     -351.916861        0.7390
BFGS:   26 00:07:38     -351.969426        0.6966
BFGS:   27 00:11:57     -352.018016        0.6566
BFGS:   28 00:16:04     -352.063149        0.6193
BFGS:   29 00:20:05     -352.105023        0.5789
BFGS:   30 00:24:05     -352.143660        0.5422
BFGS:   31 00:28:06     -352.178720        0.5028
BFGS:   32 00:32:12     -352.209809        0.4673
BFGS:   33 00:36:20     -352.235961        0.4265
BFGS:   34 00:40:26     -352.257883        0.3871
BFGS:   35 00:44:30     -352.273718        0.3424
BFGS:   36 00:48:26     -352.285988        0.2959
BFGS:   37 00:52:34     -352.298197        0.3701
BFGS:   38 00:57:36     -352.319142        0.3090
BFGS:   39 01:02:16     -352.330450        0.2519
BFGS:   40 01:06:29     -352.336441        0.2557
BFGS:   41 01:11:07     -352.347087        0.2790
BFGS:   42 01:15:31     -352.355434        0.2121
BFGS:   43 01:20:18     -352.366791        0.2779
BFGS:   44 01:25:23     -352.378645        0.3155
BFGS:   45 01:30:11     -352.390143        0.3187
BFGS:   46 01:35:25     -352.400589        0.3140
BFGS:   47 01:40:03     -352.411246        0.3175
BFGS:   48 01:44:35     -352.423072        0.3159
BFGS:   49 01:49:32     -352.434993        0.3531
BFGS:   50 01:54:19     -352.446919        0.4566
BFGS:   51 01:59:08     -352.460254        0.5275
BFGS:   52 02:03:57     -352.473703        0.5417
BFGS:   53 02:08:52     -352.487382        0.6316
BFGS:   54 02:13:43     -352.501304        0.6784
BFGS:   55 02:18:15     -352.516496        0.8012
BFGS:   56 02:22:38     -352.532496        0.7574
BFGS:   57 02:27:11     -352.549706        0.8290
BFGS:   58 02:31:35     -352.565119        0.9163
BFGS:   59 02:36:14     -352.580466        0.9330
BFGS:   60 02:40:50     -352.595199        0.9141
BFGS:   61 02:45:12     -352.611268        0.9617
BFGS:   62 02:49:27     -352.629080        0.8886
BFGS:   63 02:54:00     -352.651506        0.8635
BFGS:   64 02:58:27     -352.682875        0.7253
BFGS:   65 03:02:51     -352.714423        0.6935
BFGS:   66 03:07:24     -352.750533        0.7131
BFGS:   67 03:11:37     -352.796959        0.7185
BFGS:   68 03:15:58     -352.840798        0.6997
BFGS:   69 03:20:20     -352.880881        0.6582
BFGS:   70 03:24:53     -352.925352        0.6189
BFGS:   71 03:29:10     -352.960457        0.6834
BFGS:   72 03:33:25     -352.998339        0.8269
BFGS:   73 03:37:40     -353.033466        0.8617
BFGS:   74 03:42:20     -353.071206        0.7314
BFGS:   75 03:46:43     -353.095030        0.4963
BFGS:   76 03:51:13     -353.114391        0.3413
BFGS:   77 03:55:48     -353.133976        0.3612
BFGS:   78 04:00:09     -353.148511        0.4928
BFGS:   79 04:03:54     -353.154912        0.3272
BFGS:   80 04:07:45     -353.161554        0.2203
BFGS:   81 04:11:54     -353.168358        0.3021
BFGS:   82 04:15:50     -353.175000        0.2709
BFGS:   83 04:20:45     -353.188170        0.2921
BFGS:   84 04:25:02     -353.195773        0.2502
BFGS:   85 04:29:29     -353.207482        0.1652
BFGS:   86 04:33:20     -353.211370        0.1670
BFGS:   87 04:36:40     -353.214656        0.1386
BFGS:   88 04:40:32     -353.218485        0.1285
BFGS:   89 04:44:43     -353.221677        0.1399
BFGS:   90 04:47:57     -353.224535        0.1883
BFGS:   91 04:51:57     -353.230339        0.1952
BFGS:   92 04:55:58     -353.234263        0.1241
BFGS:   93 05:00:02     -353.237494        0.0948
BFGS:   94 05:03:45     -353.239453        0.0848
BFGS:   95 05:06:47     -353.240749        0.0642
BFGS:   96 05:09:49     -353.241786        0.0477
