      Step     Time          Energy         fmax
BFGS:    0 22:10:14     -336.519585       28.6797
BFGS:    1 22:16:57     -339.313604       23.8057
BFGS:    2 22:22:18     -340.983122       20.9954
BFGS:    3 22:27:40     -342.625750       18.0926
BFGS:    4 22:33:11     -344.111491       16.9072
BFGS:    5 22:38:32     -345.343541       13.0332
BFGS:    6 22:44:47     -346.376511       11.7784
BFGS:    7 22:50:12     -347.188686        9.7099
BFGS:    8 22:55:15     -347.878508        8.5506
BFGS:    9 23:00:41     -348.464504        7.3543
BFGS:   10 23:05:10     -348.967325        6.4049
BFGS:   11 23:09:48     -349.400003        5.4939
BFGS:   12 23:14:00     -349.765809        4.7790
BFGS:   13 23:18:37     -350.070161        4.1378
BFGS:   14 23:22:49     -350.322523        3.5162
BFGS:   15 23:27:13     -350.532165        3.0379
BFGS:   16 23:31:37     -350.705823        2.6210
BFGS:   17 23:36:08     -350.852727        2.1844
BFGS:   18 23:40:38     -350.976887        1.9029
BFGS:   19 23:45:07     -351.082242        1.5885
BFGS:   20 23:49:45     -351.171524        1.3262
BFGS:   21 23:54:03     -351.248171        1.0460
BFGS:   22 23:58:37     -351.314023        0.8695
BFGS:   23 00:03:17     -351.371057        0.6883
BFGS:   24 00:07:55     -351.419100        0.6370
BFGS:   25 00:12:50     -351.460953        0.6565
BFGS:   26 00:17:28     -351.497979        0.6603
BFGS:   27 00:22:00     -351.529423        0.6789
BFGS:   28 00:26:31     -351.557015        0.6911
BFGS:   29 00:31:10     -351.581989        0.7231
BFGS:   30 00:35:52     -351.601514        0.7325
BFGS:   31 00:40:29     -351.621150        0.7576
BFGS:   32 00:45:16     -351.638957        0.7713
BFGS:   33 00:50:03     -351.653872        0.7928
BFGS:   34 00:54:45     -351.671173        0.8336
BFGS:   35 00:59:54     -351.691230        0.9004
BFGS:   36 01:05:12     -351.721445        0.9321
BFGS:   37 01:10:42     -351.748397        0.9193
BFGS:   38 01:15:31     -351.771916        0.8499
BFGS:   39 01:19:31     -351.795440        0.7268
BFGS:   40 01:23:38     -351.814875        0.5863
BFGS:   41 01:27:38     -351.832163        0.4431
BFGS:   42 01:31:59     -351.846184        0.4343
BFGS:   43 01:36:21     -351.863227        0.4428
BFGS:   44 01:40:33     -351.884142        0.3369
BFGS:   45 01:44:44     -351.904702        0.4319
BFGS:   46 01:49:09     -351.921689        0.4446
BFGS:   47 01:53:45     -351.932675        0.4384
BFGS:   48 01:57:57     -351.944892        0.4989
BFGS:   49 02:02:16     -351.957649        0.5443
BFGS:   50 02:06:23     -351.978573        0.5450
BFGS:   51 02:10:45     -351.993025        0.5565
BFGS:   52 02:14:49     -352.011162        0.5271
BFGS:   53 02:19:13     -352.031740        0.4587
BFGS:   54 02:23:14     -352.048086        0.4506
BFGS:   55 02:27:44     -352.062560        0.4736
BFGS:   56 02:32:11     -352.073979        0.5043
BFGS:   57 02:36:36     -352.083958        0.4878
BFGS:   58 02:40:58     -352.093229        0.4842
BFGS:   59 02:45:11     -352.106315        0.3643
BFGS:   60 02:49:09     -352.120033        0.3790
BFGS:   61 02:53:16     -352.130181        0.4243
BFGS:   62 02:57:15     -352.139708        0.4325
BFGS:   63 03:01:19     -352.150006        0.4197
BFGS:   64 03:05:01     -352.159355        0.4202
BFGS:   65 03:08:40     -352.169759        0.4466
BFGS:   66 03:12:38     -352.182554        0.4303
BFGS:   67 03:16:29     -352.191650        0.4236
BFGS:   68 03:20:23     -352.200108        0.4250
BFGS:   69 03:24:31     -352.213491        0.4241
BFGS:   70 03:28:45     -352.224683        0.4407
BFGS:   71 03:32:56     -352.236345        0.5116
BFGS:   72 03:37:14     -352.244022        0.5534
BFGS:   73 03:41:32     -352.254312        0.4354
BFGS:   74 03:45:49     -352.260172        0.3933
BFGS:   75 03:50:19     -352.266546        0.1220
BFGS:   76 03:54:45     -352.272696        0.2772
BFGS:   77 03:58:38     -352.275838        0.2818
BFGS:   78 04:03:05     -352.278797        0.2704
BFGS:   79 04:06:45     -352.281859        0.2667
BFGS:   80 04:11:24     -352.291987        0.3159
BFGS:   81 04:15:05     -352.295346        0.2813
BFGS:   82 04:19:12     -352.300931        0.2459
BFGS:   83 04:23:34     -352.304572        0.2335
BFGS:   84 04:28:04     -352.308828        0.1457
BFGS:   85 04:33:06     -352.311850        0.1451
BFGS:   86 04:36:37     -352.315081        0.3379
BFGS:   87 04:43:13     -352.320784        0.5480
BFGS:   88 04:47:01     -352.323302        0.1941
BFGS:   89 04:50:34     -352.324930        0.0947
BFGS:   90 04:54:54     -352.328222        0.2897
BFGS:   91 04:59:21     -352.330423        0.3117
BFGS:   92 05:05:27     -352.331761        0.1299
BFGS:   93 05:09:17     -352.333734        0.1058
BFGS:   94 05:12:39     -352.335388        0.1454
BFGS:   95 05:16:05     -352.336909        0.1452
BFGS:   96 05:20:17     -352.338087        0.0878
BFGS:   97 05:23:35     -352.338645        0.1350
BFGS:   98 05:27:45     -352.339406        0.1657
BFGS:   99 05:31:27     -352.340375        0.1465
BFGS:  100 05:34:27     -352.341398        0.0641
BFGS:  101 05:38:16     -352.342165        0.0858
BFGS:  102 05:41:56     -352.342755        0.1508
BFGS:  103 05:46:17     -352.343263        0.1491
BFGS:  104 05:49:26     -352.343906        0.1358
BFGS:  105 05:54:02     -352.341870        0.3034
BFGS:  106 05:58:38     -352.344692        0.2268
BFGS:  107 06:02:34     -352.345399        0.0923
BFGS:  108 06:06:37     -352.345555        0.0884
BFGS:  109 06:09:06     -352.345869        0.0535
BFGS:  110 06:11:40     -352.346205        0.0326
