      Step     Time          Energy         fmax
BFGS:    0 09:27:34     -308.547109        0.5884
BFGS:    1 11:55:02     -308.540761        1.5552
BFGS:    2 14:31:52     -308.550592        0.2126
BFGS:    3 15:33:08     -308.552550        0.1694
BFGS:    4 17:09:34     -308.562830        0.7398
BFGS:    5 18:48:48     -308.572968        0.9168
BFGS:    6 20:07:28     -308.579983        0.5730
BFGS:    7 21:38:18     -308.587238        0.2156
BFGS:    8 22:40:42     -308.589553        0.3064
BFGS:    9 23:51:32     -308.592185        0.2216
BFGS:   10 00:52:15     -308.593758        0.0905
BFGS:   11 01:58:18     -308.596030        0.2374
BFGS:   12 03:07:32     -308.596808        0.3395
BFGS:   13 04:05:01     -308.597975        0.2048
BFGS:   14 05:20:24     -308.599329        0.1028
BFGS:   15 06:25:40     -308.600083        0.1553
BFGS:   16 08:10:14     -308.602819        0.3062
BFGS:   17 09:48:23     -308.604054        0.3328
BFGS:   18 10:55:58     -308.604984        0.1535
BFGS:   19 11:44:57     -308.605903        0.0804
BFGS:   20 12:52:27     -308.606465        0.1486
BFGS:   21 14:00:58     -308.606865        0.1192
BFGS:   22 15:18:17     -308.607192        0.0435
