      Step     Time          Energy         fmax
BFGS:    0 12:45:41     -299.648401       17.0073
BFGS:    1 14:57:12     -300.966645       14.2878
BFGS:    2 17:01:19     -302.186333       12.0564
BFGS:    3 19:02:31     -303.398466        9.9373
BFGS:    4 20:58:57     -304.371902        8.1985
BFGS:    5 22:49:31     -305.160650        6.6574
BFGS:    6 00:33:40     -305.795939        5.7126
BFGS:    7 02:18:30     -306.282089        4.7769
BFGS:    8 04:09:41     -306.680332        4.2650
BFGS:    9 05:51:40     -307.004483        3.8071
BFGS:   10 07:30:54     -307.275278        3.3509
BFGS:   11 09:12:11     -307.502281        3.0418
BFGS:   12 10:40:57     -307.691978        2.8026
BFGS:   13 12:15:19     -307.852903        2.4707
BFGS:   14 13:45:31     -307.989678        2.1428
BFGS:   15 15:12:07     -308.105949        1.9337
BFGS:   16 16:30:30     -308.203753        1.6639
BFGS:   17 17:50:25     -308.283614        1.3896
BFGS:   18 19:10:46     -308.351125        1.1865
BFGS:   19 20:26:02     -308.406153        1.0102
BFGS:   20 21:38:10     -308.451490        0.7423
BFGS:   21 22:50:44     -308.488566        0.5885
BFGS:   22 00:03:04     -308.519342        0.4366
BFGS:   23 01:22:17     -308.544321        0.4662
BFGS:   24 02:33:50     -308.565237        0.3651
BFGS:   25 03:49:47     -308.582703        0.4491
BFGS:   26 05:00:57     -308.596932        0.3457
BFGS:   27 06:13:30     -308.609811        0.3836
BFGS:   28 07:23:43     -308.621590        0.3262
BFGS:   29 08:34:22     -308.630100        0.3158
BFGS:   30 09:54:08     -308.640010        0.3871
BFGS:   31 11:19:32     -308.648386        0.4020
BFGS:   32 12:54:11     -308.657205        0.7096
BFGS:   33 14:19:52     -308.663668        0.5442
BFGS:   34 15:48:06     -308.674615        0.5431
BFGS:   35 17:18:53     -308.685286        0.3623
BFGS:   36 18:58:20     -308.703232        0.3779
BFGS:   37 20:42:48     -308.714829        0.5483
BFGS:   38 22:14:34     -308.724709        0.6442
BFGS:   39 23:37:50     -308.738547        0.3667
BFGS:   40 00:53:03     -308.746105        0.2213
BFGS:   41 02:05:38     -308.753141        0.3798
BFGS:   42 03:28:02     -308.760457        0.1975
BFGS:   43 04:50:58     -308.768310        0.4281
BFGS:   44 06:13:27     -308.774363        0.3326
BFGS:   45 07:27:08     -308.778791        0.3166
BFGS:   46 08:39:53     -308.781909        0.3074
BFGS:   47 09:42:32     -308.784409        0.1401
BFGS:   48 11:19:59     -308.788600        0.4575
BFGS:   49 12:32:34     -308.790583        0.5756
BFGS:   50 13:31:47     -308.793822        0.4459
BFGS:   51 14:47:12     -308.799601        0.1745
BFGS:   52 16:00:01     -308.801950        0.4473
BFGS:   53 17:15:24     -308.805625        0.4250
BFGS:   54 18:35:49     -308.811785        0.2390
BFGS:   55 19:55:53     -308.816560        0.1444
BFGS:   56 21:14:46     -308.820037        0.1934
BFGS:   57 22:31:16     -308.821565        0.3116
BFGS:   58 23:25:04     -308.823756        0.2121
BFGS:   59 23:58:39     -308.830587        0.4701
BFGS:   60 00:25:05     -308.833769        0.3713
BFGS:   61 00:56:03     -308.836303        0.2713
BFGS:   62 01:21:35     -308.837586        0.1051
BFGS:   63 01:39:56     -308.838367        0.0800
BFGS:   64 02:05:37     -308.840312        0.2661
BFGS:   65 02:28:31     -308.842145        0.1176
BFGS:   66 02:58:36     -308.844691        0.2331
BFGS:   67 03:19:40     -308.846657        0.1004
BFGS:   68 03:42:36     -308.848321        0.0877
BFGS:   69 04:06:21     -308.849982        0.2112
BFGS:   70 04:29:12     -308.851016        0.1607
BFGS:   71 04:53:00     -308.852094        0.0872
BFGS:   72 05:17:40     -308.852312        0.1017
BFGS:   73 05:39:35     -308.853183        0.1768
BFGS:   74 06:00:38     -308.853789        0.1422
BFGS:   75 06:21:45     -308.854673        0.0996
BFGS:   76 06:46:28     -308.855386        0.0938
BFGS:   77 07:12:00     -308.855960        0.0819
BFGS:   78 07:38:27     -308.856481        0.1201
BFGS:   79 07:58:34     -308.856969        0.0923
BFGS:   80 08:20:02     -308.857458        0.0774
BFGS:   81 09:22:52     -308.857900        0.0708
BFGS:   82 10:24:25     -308.858172        0.0422
