      Step     Time          Energy         fmax
BFGS:    0 22:12:39     -306.589345        5.2090
BFGS:    1 00:42:38     -306.894247        5.7549
BFGS:    2 02:55:09     -307.189089        2.9348
BFGS:    3 04:58:33     -307.476525        2.6030
BFGS:    4 06:41:09     -307.686758        1.9377
BFGS:    5 08:19:35     -307.853774        1.4627
BFGS:    6 10:06:28     -307.986253        1.0944
BFGS:    7 11:59:54     -308.095194        0.8456
BFGS:    8 13:38:22     -308.185165        0.7096
BFGS:    9 15:16:33     -308.259815        0.7305
BFGS:   10 16:53:35     -308.320905        0.6243
BFGS:   11 18:38:31     -308.372660        0.5210
BFGS:   12 20:14:06     -308.416499        0.5094
BFGS:   13 21:56:03     -308.453406        0.4570
BFGS:   14 23:35:04     -308.484482        0.3356
BFGS:   15 01:33:26     -308.509362        0.4115
BFGS:   16 03:21:42     -308.530249        0.2679
BFGS:   17 05:13:03     -308.548086        0.2566
BFGS:   18 07:04:01     -308.563653        0.2314
BFGS:   19 08:45:48     -308.574449        0.2466
BFGS:   20 10:25:10     -308.584569        0.1466
BFGS:   21 11:50:26     -308.592097        0.1423
BFGS:   22 13:05:58     -308.598091        0.1399
BFGS:   23 14:34:07     -308.606699        0.1723
BFGS:   24 16:03:55     -308.614505        0.1921
BFGS:   25 17:33:02     -308.621899        0.2114
BFGS:   26 19:04:58     -308.630859        0.2413
BFGS:   27 20:34:05     -308.640175        0.2644
BFGS:   28 22:07:47     -308.648073        0.2643
BFGS:   29 23:36:25     -308.657563        0.3234
BFGS:   30 01:06:23     -308.667689        0.3683
BFGS:   31 02:35:31     -308.678558        0.3496
BFGS:   32 03:58:04     -308.687791        0.3380
BFGS:   33 05:27:10     -308.694270        0.3973
BFGS:   34 06:35:11     -308.698988        0.2951
BFGS:   35 07:59:35     -308.705750        0.2342
BFGS:   36 09:02:15     -308.711009        0.2294
BFGS:   37 10:30:04     -308.726325        0.3036
BFGS:   38 11:55:36     -308.735067        0.4620
BFGS:   39 13:20:56     -308.739815        0.3508
BFGS:   40 14:40:15     -308.743137        0.1717
BFGS:   41 16:06:24     -308.749628        0.1890
BFGS:   42 17:26:11     -308.758161        0.4496
BFGS:   43 18:50:31     -308.763453        0.2332
BFGS:   44 19:56:33     -308.766462        0.1589
BFGS:   45 21:35:33     -308.766877        0.5150
BFGS:   46 22:57:19     -308.770555        0.1128
BFGS:   47 23:50:49     -308.772284        0.1400
BFGS:   48 00:59:26     -308.777086        0.3032
BFGS:   49 02:10:09     -308.779598        0.3598
BFGS:   50 03:31:28     -308.783210        0.2181
BFGS:   51 04:55:48     -308.784865        0.1761
BFGS:   52 05:53:21     -308.787258        0.1241
BFGS:   53 07:11:23     -308.787550        0.1593
BFGS:   54 08:15:51     -308.789409        0.0950
BFGS:   55 09:39:06     -308.788855        0.1002
BFGS:   56 10:45:05     -308.790108        0.1032
BFGS:   57 12:11:54     -308.788160        0.1310
BFGS:   58 13:26:59     -308.790671        0.0886
BFGS:   59 14:37:59     -308.790725        0.1272
BFGS:   60 15:35:28     -308.791295        0.0587
BFGS:   61 16:14:42     -308.791511        0.0515
BFGS:   62 17:17:53     -308.792278        0.0346
